student,source,target,valid,start,end,duration
9BKD,slot_plants,slot_atmosphere,1,40.252,42.767,2.515
9BKD,slot_atmosphere,slot_plants,1,45.157,45.778,0.621
9BKD,slot_animals,slot_atmosphere,1,46.776,47.852,1.076
9BKD,slot_atmosphere,slot_animals,0,48.609,49.061,0.452
9BKD,slot_factory,slot_atmosphere,1,50.66,51.43,0.77
9BKD,slot_fossil_fuel,slot_factory,1,53.815,54.523,0.708
9BKD,slot_decomposers_land,slot_dead_land,1,55.48,55.882,0.402
9BKD,slot_dead_land,slot_decomposers_land,1,56.663,57.018,0.355
9BKD,slot_plants,slot_animals,1,58.263,58.557,0.294
9BKD,slot_animals,slot_dead_land,1,59.251,59.702,0.451
9BKD,slot_plants,slot_decomposers_land,0,60.816,61.207,0.391
9BKD,slot_dead_land,slot_plants,0,62.299,62.748,0.449
9BKD,slot_algae,slot_fish,1,64.447,64.703,0.256
9BKD,slot_carbon_dioxide,slot_atmosphere,1,66.244,66.737,0.493
9BKD,slot_atmosphere,slot_carbon_dioxide,1,68.739,69.602,0.863
9BKD,slot_carbon_dioxide,slot_decomposers_ocean,0,72.079,72.618,0.539
9BKD,slot_dead_ocean,slot_decomposers_ocean,1,73.696,74.183,0.487
9BKD,slot_fish,slot_dead_ocean,1,75.638,76.036,0.398
9BKD,slot_dead_ocean,slot_fish,0,77.682,78.562,0.88
9BKD,slot_decomposers_ocean,slot_dead_ocean,1,79.732,80.127,0.395
9BKD,slot_carbon_dioxide,slot_decomposers_ocean,0,83.718,84.299,0.581
9BKD,slot_decomposers_ocean,slot_carbon_dioxide,1,85.869,86.408,0.539
9BKD,slot_fish,slot_carbon_dioxide,1,87.638,88.049,0.411
9BKD,slot_algae,slot_carbon_dioxide,1,89.328,89.912,0.584
9BKD,slot_carbon_dioxide,slot_algae,1,91.035,91.594,0.559
9BKD,slot_plants,slot_algae,0,96.137,96.692,0.555
9BKD,slot_algae,slot_dead_ocean,1,97.576,101.802,4.226
9BKD,slot_dead_land,slot_decomposers_land,1,103.888,104.704,0.816
9BKD,slot_decomposers_land,slot_atmosphere,1,105.577,106.993,1.416
9BKD,slot_dead_land,slot_atmosphere,0,108.277,108.8,0.523
9BKD,slot_dead_land,slot_plants,0,110.374,111.02,0.646
9BKD,slot_plants,slot_dead_land,1,112.162,113.43,1.268
