student,source,target,valid,start,end,duration
9CKC,slot_decomposers_land,slot_animals,0,23.033,27.36,4.327
9CKC,slot_fossil_fuel,slot_dead_land,0,39.131,39.423,0.292
9CKC,slot_fossil_fuel,slot_atmosphere,0,46.938,48.619,1.681
9CKC,slot_fossil_fuel,slot_factory,1,51.134,52.339,1.205
9CKC,slot_decomposers_land,slot_plants,0,54.398,54.654,0.256
9CKC,slot_atmosphere,slot_algae,0,66.964,69.397,2.433
9CKC,slot_atmosphere,slot_carbon_dioxide,1,71.573,72.976,1.403
9CKC,slot_atmosphere,slot_fish,0,74.515,75.791,1.276
9CKC,slot_atmosphere,slot_dead_ocean,0,77.081,78.337,1.256
9CKC,slot_atmosphere,slot_decomposers_ocean,0,79.848,81.799,1.951
9CKC,slot_atmosphere,slot_animals,0,83.449,83.973,0.524
9CKC,slot_atmosphere,slot_plants,1,85.505,86.402,0.897
9CKC,slot_atmosphere,slot_dead_land,0,89.117,90.296,1.179
9CKC,slot_atmosphere,slot_decomposers_land,0,93.153,95.095,1.942
9CKC,slot_atmosphere,slot_fossil_fuel,0,96.632,97.969,1.337
9CKC,slot_animals,slot_atmosphere,1,102.273,102.991,0.718
9CKC,slot_dead_land,slot_atmosphere,0,105.649,106.706,1.057
9CKC,slot_decomposers_land,slot_dead_land,1,108.34,109.143,0.803
9CKC,slot_algae,slot_fossil_fuel,0,114.701,115.995,1.294
9CKC,slot_dead_ocean,slot_algae,0,118.172,118.788,0.616
9CKC,slot_fish,slot_dead_ocean,1,120.147,120.625,0.478
9CKC,slot_fish,slot_algae,0,123.233,124.02,0.787
9CKC,slot_dead_ocean,slot_algae,0,125.85,126.558,0.708
9CKC,slot_decomposers_ocean,slot_dead_ocean,1,128.658,130.095,1.437
9CKC,slot_decomposers_ocean,slot_atmosphere,0,133.602,133.937,0.335
9CKC,slot_decomposers_land,slot_factory,0,138.526,140.475,1.949
9CKC,slot_dead_land,slot_factory,0,142.241,143.052,0.811
9CKC,slot_decomposers_land,slot_plants,0,144.241,144.856,0.615
9CKC,slot_animals,slot_decomposers_land,0,146.201,147.155,0.954
9CKC,slot_dead_land,slot_animals,0,148.604,149.339,0.735
9CKC,slot_algae,slot_fish,1,150.657,151.26,0.603
9CKC,slot_carbon_dioxide,slot_fish,0,153.121,153.674,0.553
9CKC,slot_carbon_dioxide,slot_decomposers_ocean,0,155.035,155.759,0.724
9CKC,slot_carbon_dioxide,slot_fossil_fuel,0,157.421,158.496,1.075
9CKC,slot_carbon_dioxide,slot_dead_land,0,160.376,161.286,0.91
9CKC,slot_carbon_dioxide,slot_animals,0,162.878,163.671,0.793
9CKC,slot_carbon_dioxide,slot_atmosphere,1,165.168,165.918,0.75
9CKC,slot_carbon_dioxide,slot_atmosphere,1,168.959,170.199,1.24
9CKC,slot_carbon_dioxide,slot_dead_land,0,171.812,172.808,0.996
9CKC,slot_carbon_dioxide,slot_decomposers_land,0,174.003,175.028,1.025
9CKC,slot_factory,slot_carbon_dioxide,0,177.21,178.264,1.054
