student,source,target,valid,start,end,duration
9DF2,slot_factory,slot_atmosphere,1,17.398,18.408,1.01
9DF2,slot_atmosphere,slot_carbon_dioxide,1,22.53,23.838,1.308
9DF2,slot_atmosphere,slot_plants,1,25.038,25.937,0.899
9DF2,slot_atmosphere,slot_animals,0,27.235,27.738,0.503
9DF2,slot_atmosphere,slot_algae,0,28.991,29.822,0.831
9DF2,slot_atmosphere,slot_fish,0,31.118,31.627,0.509
9DF2,slot_atmosphere,slot_decomposers_ocean,0,33.47,35.218,1.748
9DF2,slot_atmosphere,slot_dead_land,0,37.845,38.561,0.716
9DF2,slot_atmosphere,slot_decomposers_land,0,39.7,40.213,0.513
9DF2,slot_atmosphere,slot_fossil_fuel,0,41.91,42.631,0.721
9DF2,slot_factory,slot_plants,0,46.191,46.588,0.397
9DF2,slot_factory,slot_decomposers_land,0,48.126,48.531,0.405
9DF2,slot_factory,slot_animals,0,49.747,50.352,0.605
9DF2,slot_factory,slot_fossil_fuel,0,51.929,52.457,0.528
9DF2,slot_fossil_fuel,slot_factory,1,53.21,54.001,0.791
9DF2,slot_decomposers_land,slot_plants,0,55.708,56.253,0.545
9DF2,slot_decomposers_land,slot_dead_land,1,57.536,57.978,0.442
9DF2,slot_dead_land,slot_animals,0,59.345,59.682,0.337
9DF2,slot_dead_land,slot_plants,0,60.914,61.472,0.558
9DF2,slot_plants,slot_animals,1,62.355,62.84,0.485
9DF2,slot_animals,slot_dead_land,1,64.029,64.678,0.649
9DF2,slot_animals,slot_decomposers_land,0,66.078,66.594,0.516
9DF2,slot_plants,slot_decomposers_land,0,68.876,72.55,3.674
9DF2,slot_plants,slot_atmosphere,1,74.758,76.274,1.516
9DF2,slot_animals,slot_atmosphere,1,79.877,81.032,1.155
9DF2,slot_decomposers_land,slot_atmosphere,1,84.287,84.773,0.486
9DF2,slot_dead_land,slot_atmosphere,0,86.016,86.984,0.968
9DF2,slot_dead_land,slot_plants,0,88.74,89.197,0.457
9DF2,slot_decomposers_land,slot_plants,0,90.427,90.937,0.51
9DF2,slot_dead_land,slot_decomposers_land,1,93.7,94.245,0.545
9DF2,slot_dead_land,slot_plants,0,96.595,96.944,0.349
9DF2,slot_plants,slot_dead_land,1,99.139,99.693,0.554
9DF2,slot_carbon_dioxide,slot_algae,1,101.7,102.182,0.482
9DF2,slot_algae,slot_dead_ocean,1,103.232,103.827,0.595
9DF2,slot_dead_ocean,slot_decomposers_ocean,1,105.334,105.749,0.415
9DF2,slot_decomposers_ocean,slot_fish,0,106.714,107.252,0.538
9DF2,slot_decomposers_ocean,slot_carbon_dioxide,1,109.162,109.574,0.412
9DF2,slot_fish,slot_algae,0,110.768,111.162,0.394
9DF2,slot_algae,slot_fish,1,112.107,112.599,0.492
9DF2,slot_dead_ocean,slot_fish,0,114.258,114.497,0.239
9DF2,slot_fish,slot_dead_ocean,1,115.834,116.268,0.434
9DF2,slot_fish,slot_decomposers_ocean,0,117.576,118.051,0.475
9DF2,slot_decomposers_ocean,slot_fish,0,119.255,119.794,0.539
9DF2,slot_algae,slot_carbon_dioxide,1,121.544,121.9,0.356
9DF2,slot_carbon_dioxide,slot_fish,0,123.297,123.736,0.439
9DF2,slot_fish,slot_atmosphere,0,125.933,127.339,1.406
9DF2,slot_carbon_dioxide,slot_decomposers_ocean,0,129.728,130.441,0.713
9DF2,slot_carbon_dioxide,slot_atmosphere,1,131.731,132.657,0.926
9DF2,slot_decomposers_ocean,slot_dead_ocean,1,134.809,135.474,0.665
9DF2,slot_carbon_dioxide,slot_fish,0,137.774,138.443,0.669
9DF2,slot_fish,slot_carbon_dioxide,1,139.813,140.263,0.45
