student,source,target,valid,start,end,duration
B3BV,slot_factory,slot_atmosphere,1,31.479,33.185,1.706
B3BV,slot_atmosphere,slot_plants,1,42.266,44.12,1.854
B3BV,slot_animals,slot_atmosphere,1,47.259,49.078,1.819
B3BV,slot_plants,slot_animals,1,50.805,51.531,0.726
B3BV,slot_animals,slot_dead_land,1,55.818,56.369,0.551
B3BV,slot_dead_land,slot_decomposers_land,1,66.418,66.985,0.567
B3BV,slot_dead_land,slot_factory,0,81.965,84.245,2.28
B3BV,slot_dead_land,slot_fossil_fuel,0,87.674,88.291,0.617
B3BV,slot_decomposers_land,slot_fossil_fuel,0,89.873,90.555,0.682
B3BV,slot_fossil_fuel,slot_factory,1,93.934,95.076,1.142
B3BV,slot_atmosphere,slot_algae,0,103.72,104.513,0.793
B3BV,slot_atmosphere,slot_carbon_dioxide,1,108.349,108.832,0.483
B3BV,slot_carbon_dioxide,slot_algae,1,109.796,110.461,0.665
B3BV,slot_algae,slot_fish,1,120.182,120.722,0.54
B3BV,slot_fish,slot_dead_ocean,1,124.052,124.738,0.686
B3BV,slot_dead_ocean,slot_decomposers_ocean,1,125.459,125.948,0.489
B3BV,slot_carbon_dioxide,slot_fish,0,127.74,128.297,0.557
B3BV,slot_plants,slot_atmosphere,1,141.644,142.567,0.923
B3BV,slot_decomposers_land,slot_plants,0,149.328,149.785,0.457
B3BV,slot_plants,slot_decomposers_land,0,150.993,151.376,0.383
B3BV,slot_dead_land,slot_atmosphere,0,157.535,158.313,0.778
B3BV,slot_carbon_dioxide,slot_algae,1,163.082,164.132,1.05
B3BV,slot_carbon_dioxide,slot_decomposers_ocean,0,166.291,166.833,0.542
B3BV,slot_carbon_dioxide,slot_dead_ocean,0,168.371,169.004,0.633
B3BV,slot_carbon_dioxide,slot_atmosphere,1,171.717,172.575,0.858
B3BV,slot_algae,slot_carbon_dioxide,1,179.89,180.443,0.553
B3BV,slot_fish,slot_carbon_dioxide,1,186.283,186.645,0.362
B3BV,slot_dead_ocean,slot_algae,0,209.991,210.676,0.685
B3BV,slot_dead_ocean,slot_fossil_fuel,0,213.913,214.52,0.607
B3BV,slot_decomposers_ocean,slot_algae,0,220.49,221.188,0.698
B3BV,slot_decomposers_ocean,slot_carbon_dioxide,1,222.518,222.831,0.313
B3BV,slot_decomposers_land,slot_plants,0,225.69,226.275,0.585
B3BV,slot_decomposers_land,slot_atmosphere,1,230.248,231.093,0.845
B3BV,slot_plants,slot_dead_land,1,237.65,238.182,0.532
B3BV,slot_algae,slot_dead_ocean,1,242.377,242.979,0.602
B3BV,slot_dead_land,slot_decomposers_ocean,0,247.054,247.711,0.657
B3BV,slot_decomposers_ocean,slot_dead_ocean,1,255.693,256.431,0.738
B3BV,slot_decomposers_land,slot_dead_land,1,259.332,259.844,0.512
