student,source,target,valid,start,end,duration
BCFH,slot_fossil_fuel,slot_factory,1,24.434,26.598,2.164
BCFH,slot_factory,slot_atmosphere,1,29.662,30.392,0.73
BCFH,slot_animals,slot_dead_land,1,37.391,39.326,1.935
BCFH,slot_dead_land,slot_decomposers_land,1,50.783,51.487,0.704
BCFH,slot_plants,slot_decomposers_land,0,55.637,57.048,1.411
BCFH,slot_carbon_dioxide,slot_fish,0,67.743,68.664,0.921
BCFH,slot_carbon_dioxide,slot_atmosphere,1,70.428,76.808,6.38
BCFH,slot_algae,slot_fish,1,83.335,84.962,1.627
BCFH,slot_decomposers_ocean,slot_fish,0,87.856,88.737,0.881
BCFH,slot_fish,slot_decomposers_ocean,0,89.902,90.634,0.732
BCFH,slot_decomposers_ocean,slot_dead_ocean,1,93.857,94.656,0.799
BCFH,slot_animals,slot_atmosphere,1,104.974,106.214,1.24
BCFH,slot_plants,slot_atmosphere,1,109.396,114.401,5.005
BCFH,slot_plants,slot_dead_land,1,119.901,123.425,3.524
BCFH,slot_animals,slot_decomposers_land,0,126.097,127.289,1.192
BCFH,slot_decomposers_land,slot_atmosphere,1,131.318,131.987,0.669
BCFH,slot_dead_land,slot_atmosphere,0,135.083,136.166,1.083
BCFH,slot_algae,slot_atmosphere,0,145.177,146.539,1.362
BCFH,slot_fish,slot_atmosphere,0,150.334,151.013,0.679
BCFH,slot_decomposers_ocean,slot_atmosphere,0,162.329,163.566,1.237
BCFH,slot_dead_ocean,slot_atmosphere,0,165.677,167.344,1.667
BCFH,slot_dead_land,slot_atmosphere,0,169.367,170.407,1.04
BCFH,slot_carbon_dioxide,slot_animals,0,187.506,188.294,0.788
BCFH,slot_carbon_dioxide,slot_plants,0,190.11,191.933,1.823
BCFH,slot_algae,slot_dead_ocean,1,211.348,211.971,0.623
BCFH,slot_fish,slot_dead_ocean,1,216.995,218.049,1.054
BCFH,slot_carbon_dioxide,slot_fish,0,222.971,223.63,0.659
BCFH,slot_carbon_dioxide,slot_algae,1,226.298,227.221,0.923
BCFH,slot_carbon_dioxide,slot_decomposers_ocean,0,232.604,233.478,0.874
BCFH,slot_fish,slot_decomposers_ocean,0,235.533,236.039,0.506
BCFH,slot_plants,slot_animals,1,255.041,256.167,1.126
BCFH,slot_plants,slot_decomposers_land,0,262.183,265.916,3.733
BCFH,slot_plants,slot_carbon_dioxide,0,275.29,282.808,7.518
BCFH,slot_plants,slot_algae,0,286.417,291.127,4.71
BCFH,slot_plants,slot_decomposers_land,0,293.97,303.996,10.026
BCFH,slot_plants,slot_dead_land,1,306.006,311.378,5.372
BCFH,slot_plants,slot_fish,0,316.844,325.085,8.241
BCFH,slot_atmosphere,slot_dead_land,0,374.797,375.887,1.09
BCFH,slot_dead_land,slot_atmosphere,0,377.244,378.427,1.183
BCFH,slot_atmosphere,slot_algae,0,384.695,388.133,3.438
BCFH,slot_atmosphere,slot_fish,0,389.835,391.089,1.254
BCFH,slot_atmosphere,slot_decomposers_ocean,0,393.673,395.381,1.708
BCFH,slot_atmosphere,slot_dead_ocean,0,396.889,398.381,1.492
BCFH,slot_carbon_dioxide,slot_fish,0,418.036,418.651,0.615
BCFH,slot_carbon_dioxide,slot_algae,1,419.789,420.466,0.677
BCFH,slot_carbon_dioxide,slot_decomposers_ocean,0,422.738,423.547,0.809
BCFH,slot_carbon_dioxide,slot_dead_ocean,0,425.2,426.28,1.08
BCFH,slot_carbon_dioxide,slot_plants,0,428.162,429.511,1.349
BCFH,slot_carbon_dioxide,slot_dead_land,0,431.433,432.198,0.765
BCFH,slot_carbon_dioxide,slot_decomposers_land,0,433.468,436.021,2.553
BCFH,slot_fish,slot_dead_ocean,1,467.316,468.166,0.85
BCFH,slot_fish,slot_carbon_dioxide,1,470.652,471.501,0.849
BCFH,slot_decomposers_ocean,slot_carbon_dioxide,1,479.589,480.544,0.955
BCFH,slot_decomposers_ocean,slot_algae,0,488.502,489.464,0.962
BCFH,slot_decomposers_ocean,slot_dead_ocean,1,491.14,491.908,0.768
BCFH,slot_algae,slot_decomposers_ocean,0,496.708,497.768,1.06
BCFH,slot_decomposers_ocean,slot_dead_ocean,1,500.063,502.678,2.615
BCFH,slot_decomposers_ocean,slot_atmosphere,0,508.555,509.58,1.025
BCFH,slot_atmosphere,slot_decomposers_ocean,0,511.844,513.96,2.116
BCFH,slot_algae,slot_carbon_dioxide,1,526.286,528.278,1.992
BCFH,slot_decomposers_ocean,slot_carbon_dioxide,1,532.721,533.748,1.027
BCFH,slot_dead_ocean,slot_carbon_dioxide,0,536.957,537.851,0.894
BCFH,slot_carbon_dioxide,slot_dead_ocean,0,539.055,539.705,0.65
BCFH,slot_carbon_dioxide,slot_decomposers_ocean,0,541.348,545.449,4.101
BCFH,slot_decomposers_ocean,slot_carbon_dioxide,1,546.864,547.716,0.852
BCFH,slot_decomposers_land,slot_plants,0,558.72,559.574,0.854
BCFH,slot_plants,slot_decomposers_land,0,560.635,564.712,4.077
BCFH,slot_dead_land,slot_atmosphere,0,574.271,575.849,1.578
BCFH,slot_atmosphere,slot_dead_land,0,576.961,578.164,1.203
BCFH,slot_decomposers_land,slot_atmosphere,1,579.733,580.633,0.9
BCFH,slot_atmosphere,slot_decomposers_land,0,582.733,583.652,0.919
BCFH,slot_carbon_dioxide,slot_plants,0,611.453,613.224,1.771
BCFH,slot_carbon_dioxide,slot_dead_land,0,616.092,617.089,0.997
BCFH,slot_carbon_dioxide,slot_decomposers_land,0,618.831,620.04,1.209
BCFH,slot_decomposers_land,slot_carbon_dioxide,0,621.081,622.714,1.633
BCFH,slot_dead_land,slot_carbon_dioxide,0,624.784,626.156,1.372
BCFH,slot_plants,slot_carbon_dioxide,0,630.131,633.738,3.607
