student,source,target,valid,start,end,duration
C6PH,slot_plants,slot_animals,1,14.735,15.359,0.624
C6PH,slot_animals,slot_dead_land,1,20.669,21.221,0.552
C6PH,slot_dead_land,slot_decomposers_land,1,25.427,26.123,0.696
C6PH,slot_decomposers_land,slot_fossil_fuel,0,28.641,29.682,1.041
C6PH,slot_fossil_fuel,slot_decomposers_land,0,31.058,31.818,0.76
C6PH,slot_decomposers_land,slot_factory,0,38.883,40.752,1.869
C6PH,slot_fossil_fuel,slot_factory,1,42.813,43.85,1.037
C6PH,slot_algae,slot_dead_land,0,47.178,48.586,1.408
C6PH,slot_fish,slot_dead_ocean,1,53.838,55.51,1.672
C6PH,slot_algae,slot_dead_ocean,1,57.536,59.309,1.773
C6PH,slot_decomposers_ocean,slot_dead_ocean,1,61.6,62.112,0.512
C6PH,slot_carbon_dioxide,slot_decomposers_ocean,0,65.646,67.087,1.441
C6PH,slot_carbon_dioxide,slot_dead_ocean,0,68.666,69.631,0.965
C6PH,slot_carbon_dioxide,slot_algae,1,70.928,71.945,1.017
C6PH,slot_dead_ocean,slot_factory,0,77.653,78.874,1.221
C6PH,slot_dead_ocean,slot_decomposers_land,0,80.851,83.105,2.254
C6PH,slot_dead_ocean,slot_dead_land,0,84.792,85.521,0.729
C6PH,slot_factory,slot_atmosphere,1,88.78,89.532,0.752
C6PH,slot_atmosphere,slot_plants,1,94.557,95.273,0.716
C6PH,slot_carbon_dioxide,slot_plants,0,98.655,100.607,1.952
C6PH,slot_algae,slot_animals,0,103.7,104.16,0.46
C6PH,slot_carbon_dioxide,slot_fish,0,109.382,111.052,1.67
C6PH,slot_carbon_dioxide,slot_atmosphere,1,115.143,116.152,1.009
C6PH,slot_carbon_dioxide,slot_factory,0,118.973,121.131,2.158
C6PH,slot_decomposers_land,slot_plants,0,130.347,131.086,0.739
C6PH,slot_plants,slot_decomposers_land,0,133.363,133.7,0.337
C6PH,slot_animals,slot_decomposers_land,0,134.896,135.927,1.031
C6PH,slot_decomposers_ocean,slot_carbon_dioxide,1,143.253,144.176,0.923
C6PH,slot_decomposers_land,slot_plants,0,149.05,149.612,0.562
C6PH,slot_decomposers_land,slot_dead_land,1,157.408,158.01,0.602
C6PH,slot_decomposers_land,slot_animals,0,161.291,163.877,2.586
C6PH,slot_animals,slot_decomposers_land,0,164.536,165.193,0.657
C6PH,slot_plants,slot_decomposers_land,0,167.573,168.772,1.199
C6PH,slot_decomposers_land,slot_plants,0,169.517,169.773,0.256
C6PH,slot_plants,slot_atmosphere,1,176.344,181.255,4.911
C6PH,slot_animals,slot_atmosphere,1,184.111,184.898,0.787
C6PH,slot_plants,slot_dead_land,1,191.535,192.489,0.954
C6PH,slot_decomposers_land,slot_dead_land,1,195.33,196.833,1.503
C6PH,slot_decomposers_land,slot_atmosphere,1,198.928,201.842,2.914
C6PH,slot_carbon_dioxide,slot_atmosphere,1,205.44,206.079,0.639
C6PH,slot_atmosphere,slot_carbon_dioxide,1,206.806,207.288,0.482
C6PH,slot_fish,slot_carbon_dioxide,1,210.218,213.238,3.02
C6PH,slot_decomposers_ocean,slot_fish,0,215.735,216.09,0.355
C6PH,slot_algae,slot_carbon_dioxide,1,220.596,221.686,1.09
C6PH,slot_algae,slot_dead_ocean,1,223.793,224.302,0.509
C6PH,slot_decomposers_ocean,slot_dead_ocean,1,227.39,227.983,0.593
C6PH,slot_dead_ocean,slot_decomposers_ocean,1,229.767,230.997,1.23
C6PH,slot_fish,slot_algae,0,234.652,235.535,0.883
C6PH,slot_algae,slot_fish,1,237.763,238.886,1.123
