student,source,target,valid,start,end,duration
CTVZ,slot_fossil_fuel,slot_atmosphere,0,24.123,25.14,1.017
CTVZ,slot_fossil_fuel,slot_factory,1,26.824,27.636,0.812
CTVZ,slot_factory,slot_atmosphere,1,29.791,30.958,1.167
CTVZ,slot_dead_land,slot_decomposers_land,1,40.094,42.886,2.792
CTVZ,slot_decomposers_land,slot_plants,0,55.399,55.96,0.561
CTVZ,slot_plants,slot_carbon_dioxide,0,68.297,70.792,2.495
CTVZ,slot_plants,slot_animals,1,72.631,73.458,0.827
CTVZ,slot_animals,slot_decomposers_land,0,75.815,76.572,0.757
CTVZ,slot_decomposers_land,slot_atmosphere,1,79.317,81.687,2.37
CTVZ,slot_plants,slot_dead_land,1,84.119,85.141,1.022
CTVZ,slot_plants,slot_decomposers_land,0,88.085,88.873,0.788
CTVZ,slot_plants,slot_atmosphere,1,95.737,96.381,0.644
CTVZ,slot_plants,slot_carbon_dioxide,0,97.974,100.298,2.324
CTVZ,slot_plants,slot_fish,0,101.953,108.745,6.792
CTVZ,slot_plants,slot_algae,0,110.171,110.646,0.475
CTVZ,slot_plants,slot_decomposers_ocean,0,112.071,112.966,0.895
CTVZ,slot_plants,slot_dead_ocean,0,114.473,116.972,2.499
CTVZ,slot_plants,slot_atmosphere,1,127.075,135.061,7.986
CTVZ,slot_plants,slot_animals,1,138.092,138.187,0.095
CTVZ,slot_decomposers_land,slot_animals,0,148.112,149.616,1.504
CTVZ,slot_decomposers_land,slot_plants,0,151.414,151.969,0.555
CTVZ,slot_decomposers_land,slot_dead_ocean,0,153.896,155.25,1.354
CTVZ,slot_decomposers_land,slot_carbon_dioxide,0,157.199,158.018,0.819
CTVZ,slot_decomposers_land,slot_algae,0,159.883,160.899,1.016
CTVZ,slot_decomposers_land,slot_fish,0,162.12,162.953,0.833
CTVZ,slot_decomposers_land,slot_decomposers_ocean,0,164.448,165.193,0.745
CTVZ,slot_fish,slot_algae,0,174.149,174.992,0.843
CTVZ,slot_fish,slot_dead_ocean,1,176.132,176.578,0.446
CTVZ,slot_fish,slot_carbon_dioxide,1,182.266,183.007,0.741
CTVZ,slot_fish,slot_decomposers_ocean,0,186.718,187.666,0.948
CTVZ,slot_dead_ocean,slot_decomposers_ocean,1,188.971,189.435,0.464
CTVZ,slot_dead_ocean,slot_algae,0,191.751,192.36,0.609
CTVZ,slot_fish,slot_algae,0,193.425,193.876,0.451
CTVZ,slot_fish,slot_decomposers_land,0,195.185,196.123,0.938
CTVZ,slot_fish,slot_dead_land,0,197.656,198.363,0.707
CTVZ,slot_dead_ocean,slot_dead_land,0,199.475,200.349,0.874
CTVZ,slot_animals,slot_fish,0,203.253,203.957,0.704
CTVZ,slot_animals,slot_algae,0,205.442,206.055,0.613
CTVZ,slot_atmosphere,slot_plants,1,234.527,235.246,0.719
CTVZ,slot_animals,slot_atmosphere,1,240.943,241.986,1.043
CTVZ,slot_atmosphere,slot_animals,0,242.812,243.653,0.841
CTVZ,slot_animals,slot_dead_land,1,250.494,252.705,2.211
CTVZ,slot_decomposers_land,slot_dead_land,1,262.08,263.057,0.977
CTVZ,slot_atmosphere,slot_carbon_dioxide,1,274.981,275.603,0.622
CTVZ,slot_fish,slot_carbon_dioxide,1,279.385,279.928,0.543
CTVZ,slot_carbon_dioxide,slot_fish,0,281.536,281.929,0.393
CTVZ,slot_fish,slot_atmosphere,0,283.053,285.487,2.434
CTVZ,slot_fish,slot_carbon_dioxide,1,286.809,287.287,0.478
CTVZ,slot_algae,slot_fish,1,295.39,295.865,0.475
CTVZ,slot_algae,slot_dead_ocean,1,297.952,298.699,0.747
CTVZ,slot_dead_ocean,slot_decomposers_ocean,1,307.304,307.869,0.565
CTVZ,slot_decomposers_ocean,slot_dead_ocean,1,309.794,310.374,0.58
CTVZ,slot_carbon_dioxide,slot_decomposers_ocean,0,314.594,315.19,0.596
CTVZ,slot_carbon_dioxide,slot_decomposers_ocean,0,322.21,323.304,1.094
CTVZ,slot_carbon_dioxide,slot_algae,1,326.378,327.791,1.413
CTVZ,slot_carbon_dioxide,slot_decomposers_ocean,0,331.734,332.297,0.563
CTVZ,slot_atmosphere,slot_carbon_dioxide,1,336.443,337.088,0.645
CTVZ,slot_carbon_dioxide,slot_atmosphere,1,338.928,339.772,0.844
CTVZ,slot_algae,slot_carbon_dioxide,1,344.926,347.89,2.964
CTVZ,slot_carbon_dioxide,slot_decomposers_ocean,0,349.362,350.049,0.687
CTVZ,slot_decomposers_ocean,slot_carbon_dioxide,1,351.768,352.23,0.462
