student,source,target,valid,start,end,duration
D2RK,slot_fossil_fuel,slot_factory,1,17.931,18.92,0.989
D2RK,slot_factory,slot_dead_ocean,0,31.219,32.034,0.815
D2RK,slot_factory,slot_fish,0,33.785,34.295,0.51
D2RK,slot_factory,slot_algae,0,36.216,37.477,1.261
D2RK,slot_factory,slot_plants,0,39.015,39.38,0.365
D2RK,slot_factory,slot_dead_land,0,40.462,41.386,0.924
D2RK,slot_factory,slot_fossil_fuel,0,51.288,51.763,0.475
D2RK,slot_factory,slot_decomposers_ocean,0,70.24,71.213,0.973
D2RK,slot_dead_ocean,slot_factory,0,74.653,75.316,0.663
D2RK,slot_fish,slot_factory,0,76.552,77.371,0.819
D2RK,slot_factory,slot_atmosphere,1,83.779,86.108,2.329
D2RK,slot_atmosphere,slot_plants,1,110.474,111.068,0.594
D2RK,slot_atmosphere,slot_carbon_dioxide,1,115.475,116.249,0.774
D2RK,slot_atmosphere,slot_fossil_fuel,0,140.136,141.058,0.922
D2RK,slot_atmosphere,slot_factory,0,142.237,142.939,0.702
D2RK,slot_plants,slot_animals,1,151.526,151.946,0.42
D2RK,slot_animals,slot_dead_land,1,152.51,152.926,0.416
D2RK,slot_dead_land,slot_decomposers_land,1,154.442,155.8,1.358
D2RK,slot_decomposers_land,slot_atmosphere,1,156.392,157.906,1.514
D2RK,slot_carbon_dioxide,slot_algae,1,167.564,168.073,0.509
D2RK,slot_algae,slot_fish,1,171.227,171.836,0.609
D2RK,slot_fish,slot_decomposers_ocean,0,172.334,172.729,0.395
D2RK,slot_fish,slot_dead_ocean,1,174.329,174.735,0.406
D2RK,slot_dead_ocean,slot_decomposers_ocean,1,179.555,180.252,0.697
D2RK,slot_decomposers_ocean,slot_carbon_dioxide,1,182.686,183.191,0.505
D2RK,slot_decomposers_ocean,slot_atmosphere,0,185.766,186.296,0.53
D2RK,slot_carbon_dioxide,slot_atmosphere,1,189.463,189.97,0.507
D2RK,slot_carbon_dioxide,slot_decomposers_land,0,197.157,197.856,0.699
D2RK,slot_animals,slot_atmosphere,1,201.471,202.274,0.803
D2RK,slot_plants,slot_dead_ocean,0,209.714,210.44,0.726
D2RK,slot_plants,slot_algae,0,212.479,212.839,0.36
D2RK,slot_plants,slot_decomposers_land,0,214.282,214.9,0.618
D2RK,slot_algae,slot_atmosphere,0,216.9,218.795,1.895
D2RK,slot_decomposers_ocean,slot_carbon_dioxide,1,232.498,232.881,0.383
D2RK,slot_algae,slot_carbon_dioxide,1,239.418,239.884,0.466
D2RK,slot_decomposers_land,slot_atmosphere,1,247.419,248.602,1.183
D2RK,slot_decomposers_land,slot_algae,0,250.268,251.075,0.807
D2RK,slot_decomposers_land,slot_fish,0,252.381,252.857,0.476
D2RK,slot_decomposers_land,slot_dead_ocean,0,254.364,255.69,1.326
D2RK,slot_decomposers_land,slot_decomposers_ocean,0,256.845,258.039,1.194
D2RK,slot_decomposers_land,slot_dead_land,1,260.784,261.008,0.224
D2RK,slot_algae,slot_dead_ocean,1,266.005,266.332,0.327
D2RK,slot_dead_land,slot_plants,0,279.127,279.511,0.384
D2RK,slot_plants,slot_dead_land,1,280.418,280.826,0.408
D2RK,slot_fish,slot_carbon_dioxide,1,287.238,287.794,0.556
D2RK,slot_dead_ocean,slot_decomposers_ocean,1,289.459,290.028,0.569
D2RK,slot_decomposers_ocean,slot_dead_ocean,1,291.685,292.176,0.491
D2RK,slot_plants,slot_atmosphere,1,301.827,302.243,0.416
