student,source,target,valid,start,end,duration
D9MH,slot_animals,slot_plants,0,39.011,39.499,0.488
D9MH,slot_plants,slot_animals,1,40.509,40.901,0.392
D9MH,slot_factory,slot_plants,0,42.64,43.29,0.65
D9MH,slot_plants,slot_factory,0,44.487,44.935,0.448
D9MH,slot_animals,slot_factory,0,46.502,47.103,0.601
D9MH,slot_factory,slot_animals,0,48.116,48.83,0.714
D9MH,slot_dead_land,slot_animals,0,50.18,50.636,0.456
D9MH,slot_animals,slot_dead_land,1,51.463,51.987,0.524
D9MH,slot_dead_land,slot_decomposers_land,1,53.231,53.647,0.416
D9MH,slot_decomposers_land,slot_factory,0,54.908,55.301,0.393
D9MH,slot_factory,slot_decomposers_land,0,56.306,56.765,0.459
D9MH,slot_plants,slot_decomposers_land,0,58.041,58.676,0.635
D9MH,slot_decomposers_land,slot_animals,0,60.218,61.019,0.801
D9MH,slot_dead_ocean,slot_carbon_dioxide,0,70.924,71.778,0.854
D9MH,slot_fish,slot_carbon_dioxide,1,73.538,73.968,0.43
D9MH,slot_decomposers_ocean,slot_carbon_dioxide,1,75.618,76.237,0.619
D9MH,slot_algae,slot_carbon_dioxide,1,77.446,78.031,0.585
D9MH,slot_dead_ocean,slot_fish,0,79.613,80.005,0.392
D9MH,slot_fish,slot_dead_ocean,1,80.974,81.53,0.556
D9MH,slot_decomposers_ocean,slot_dead_ocean,1,83.454,84.266,0.812
D9MH,slot_algae,slot_dead_ocean,1,85.502,86.04,0.538
D9MH,slot_animals,slot_dead_land,1,91.331,91.938,0.607
D9MH,slot_decomposers_land,slot_dead_land,1,98.691,99.345,0.654
D9MH,slot_fossil_fuel,slot_dead_land,0,101.049,101.521,0.472
D9MH,slot_dead_land,slot_fossil_fuel,0,102.5,103.107,0.607
D9MH,slot_decomposers_land,slot_fossil_fuel,0,105.043,105.505,0.462
D9MH,slot_factory,slot_fossil_fuel,0,107.257,108.132,0.875
D9MH,slot_fossil_fuel,slot_factory,1,109.122,109.984,0.862
D9MH,slot_plants,slot_fossil_fuel,0,114.299,115.04,0.741
D9MH,slot_carbon_dioxide,slot_atmosphere,1,125.101,125.607,0.506
D9MH,slot_factory,slot_atmosphere,1,127.781,128.292,0.511
D9MH,slot_plants,slot_atmosphere,1,129.502,130.102,0.6
D9MH,slot_animals,slot_atmosphere,1,131.477,132.148,0.671
D9MH,slot_algae,slot_atmosphere,0,133.709,134.447,0.738
D9MH,slot_fish,slot_atmosphere,0,136.107,136.542,0.435
D9MH,slot_dead_ocean,slot_atmosphere,0,140.831,141.928,1.097
D9MH,slot_dead_land,slot_atmosphere,0,144.511,147.13,2.619
D9MH,slot_decomposers_land,slot_atmosphere,1,149.072,150.032,0.96
D9MH,slot_dead_land,slot_plants,0,152.451,152.893,0.442
D9MH,slot_plants,slot_carbon_dioxide,0,155.7,159.21,3.51
D9MH,slot_carbon_dioxide,slot_plants,0,162.039,165.934,3.895
D9MH,slot_atmosphere,slot_plants,1,171.675,172.203,0.528
D9MH,slot_atmosphere,slot_dead_land,0,173.706,174.667,0.961
D9MH,slot_decomposers_ocean,slot_dead_ocean,1,196.627,197.166,0.539
D9MH,slot_decomposers_ocean,slot_dead_ocean,1,200.239,201.831,1.592
D9MH,slot_dead_ocean,slot_decomposers_ocean,1,202.877,204.397,1.52
D9MH,slot_carbon_dioxide,slot_fish,0,211.375,211.858,0.483
D9MH,slot_carbon_dioxide,slot_algae,1,215.17,215.8,0.63
D9MH,slot_carbon_dioxide,slot_fish,0,217.633,218.345,0.712
D9MH,slot_carbon_dioxide,slot_dead_land,0,221.763,222.718,0.955
D9MH,slot_carbon_dioxide,slot_plants,0,225.024,225.791,0.767
D9MH,slot_algae,slot_fish,1,227.456,228.903,1.447
D9MH,slot_carbon_dioxide,slot_atmosphere,1,231.733,232.806,1.073
D9MH,slot_carbon_dioxide,slot_plants,0,234.084,235.043,0.959
D9MH,slot_carbon_dioxide,slot_dead_land,0,236.644,237.223,0.579
D9MH,slot_dead_land,slot_carbon_dioxide,0,238.375,239.571,1.196
D9MH,slot_plants,slot_carbon_dioxide,0,240.993,241.927,0.934
D9MH,slot_atmosphere,slot_carbon_dioxide,1,245.849,246.567,0.718
D9MH,slot_plants,slot_dead_land,1,248.611,249.888,1.277
