student,source,target,valid,start,end,duration
DF7J,slot_fossil_fuel,slot_factory,1,53.865,54.883,1.018
DF7J,slot_factory,slot_plants,0,63.085,68.377,5.292
DF7J,slot_decomposers_land,slot_factory,0,71.954,73.675,1.721
DF7J,slot_decomposers_land,slot_plants,0,76.213,76.855,0.642
DF7J,slot_factory,slot_atmosphere,1,176.041,176.611,0.57
DF7J,slot_atmosphere,slot_carbon_dioxide,1,178.151,178.97,0.819
DF7J,slot_carbon_dioxide,slot_decomposers_ocean,0,180.675,181.048,0.373
DF7J,slot_carbon_dioxide,slot_fish,0,182.518,182.819,0.301
DF7J,slot_carbon_dioxide,slot_algae,1,183.731,184.094,0.363
DF7J,slot_algae,slot_dead_ocean,1,185.465,185.992,0.527
DF7J,slot_dead_ocean,slot_decomposers_ocean,1,186.676,187.473,0.797
DF7J,slot_decomposers_ocean,slot_fish,0,188.12,188.714,0.594
DF7J,slot_decomposers_ocean,slot_carbon_dioxide,1,192.5,195.151,2.651
DF7J,slot_decomposers_ocean,slot_fish,0,198.313,198.794,0.481
DF7J,slot_carbon_dioxide,slot_fish,0,200.459,201.994,1.535
DF7J,slot_algae,slot_fish,1,213.475,215.081,1.606
DF7J,slot_dead_ocean,slot_fish,0,216.809,217.295,0.486
DF7J,slot_dead_land,slot_decomposers_land,1,222.126,222.538,0.412
DF7J,slot_decomposers_land,slot_plants,0,223.795,224.554,0.759
DF7J,slot_dead_land,slot_plants,0,226.079,226.464,0.385
DF7J,slot_animals,slot_plants,0,227.695,227.957,0.262
DF7J,slot_plants,slot_decomposers_land,0,228.719,229.735,1.016
DF7J,slot_animals,slot_dead_land,1,247.049,247.486,0.437
DF7J,slot_animals,slot_plants,0,248.518,248.828,0.31
DF7J,slot_plants,slot_animals,1,249.732,250.117,0.385
DF7J,slot_plants,slot_decomposers_land,0,252.146,254.705,2.559
DF7J,slot_plants,slot_dead_land,1,256.009,257.147,1.138
DF7J,slot_animals,slot_decomposers_land,0,258.966,260.225,1.259
DF7J,slot_decomposers_land,slot_animals,0,261.127,261.779,0.652
DF7J,slot_algae,slot_fish,1,263.124,263.713,0.589
DF7J,slot_dead_land,slot_fish,0,265.568,266.226,0.658
DF7J,slot_decomposers_land,slot_fish,0,267.657,268.644,0.987
DF7J,slot_animals,slot_fish,0,270.065,270.669,0.604
DF7J,slot_plants,slot_carbon_dioxide,0,272.439,273.728,1.289
DF7J,slot_decomposers_land,slot_plants,0,281.141,281.637,0.496
DF7J,slot_plants,slot_decomposers_land,0,283.035,284.193,1.158
DF7J,slot_animals,slot_decomposers_land,0,292.921,293.82,0.899
DF7J,slot_decomposers_land,slot_animals,0,294.522,295.289,0.767
