student,source,target,valid,start,end,duration
DKBJ,slot_atmosphere,slot_carbon_dioxide,1,19.399,19.936,0.537
DKBJ,slot_atmosphere,slot_plants,1,23.029,24.072,1.043
DKBJ,slot_atmosphere,slot_animals,0,25.367,28.576,3.209
DKBJ,slot_atmosphere,slot_fish,0,30.338,33.831,3.493
DKBJ,slot_atmosphere,slot_algae,0,35.216,36.003,0.787
DKBJ,slot_atmosphere,slot_carbon_dioxide,1,41.563,42.533,0.97
DKBJ,slot_atmosphere,slot_animals,0,44.14,44.649,0.509
DKBJ,slot_atmosphere,slot_algae,0,46.462,47.549,1.087
DKBJ,slot_atmosphere,slot_factory,0,49.495,50.132,0.637
DKBJ,slot_factory,slot_atmosphere,1,54.099,54.56,0.461
DKBJ,slot_decomposers_land,slot_atmosphere,1,57.87,59.035,1.165
DKBJ,slot_fossil_fuel,slot_atmosphere,0,61.371,62.232,0.861
DKBJ,slot_dead_land,slot_atmosphere,0,63.984,66.78,2.796
DKBJ,slot_decomposers_ocean,slot_atmosphere,0,73.438,74.172,0.734
DKBJ,slot_fish,slot_atmosphere,0,76.068,76.969,0.901
DKBJ,slot_algae,slot_atmosphere,0,78.566,79.151,0.585
DKBJ,slot_dead_ocean,slot_atmosphere,0,81.282,82.099,0.817
DKBJ,slot_carbon_dioxide,slot_atmosphere,1,84.423,84.852,0.429
DKBJ,slot_plants,slot_atmosphere,1,88.397,89.148,0.751
DKBJ,slot_animals,slot_atmosphere,1,90.311,90.992,0.681
DKBJ,slot_decomposers_land,slot_algae,0,103.113,105.189,2.076
DKBJ,slot_algae,slot_decomposers_land,0,106.402,106.957,0.555
DKBJ,slot_decomposers_land,slot_dead_land,1,110.027,110.711,0.684
DKBJ,slot_decomposers_land,slot_plants,0,112.443,112.882,0.439
DKBJ,slot_decomposers_land,slot_animals,0,114.267,114.568,0.301
DKBJ,slot_dead_land,slot_plants,0,115.399,117.048,1.649
DKBJ,slot_plants,slot_dead_land,1,118.094,118.764,0.67
DKBJ,slot_dead_land,slot_decomposers_land,1,119.989,120.502,0.513
DKBJ,slot_dead_land,slot_animals,0,121.906,122.622,0.716
DKBJ,slot_animals,slot_dead_land,1,123.715,124.322,0.607
DKBJ,slot_animals,slot_plants,0,127.449,128.153,0.704
DKBJ,slot_plants,slot_animals,1,131.267,131.927,0.66
DKBJ,slot_factory,slot_fossil_fuel,0,134.523,135.649,1.126
DKBJ,slot_fossil_fuel,slot_decomposers_land,0,136.732,136.917,0.185
DKBJ,slot_fossil_fuel,slot_factory,1,138.632,141.335,2.703
DKBJ,slot_carbon_dioxide,slot_fish,0,145.219,145.515,0.296
DKBJ,slot_carbon_dioxide,slot_decomposers_ocean,0,146.991,147.564,0.573
DKBJ,slot_carbon_dioxide,slot_algae,1,148.964,149.819,0.855
DKBJ,slot_dead_ocean,slot_carbon_dioxide,0,151.118,151.913,0.795
DKBJ,slot_fish,slot_carbon_dioxide,1,153.094,153.628,0.534
DKBJ,slot_decomposers_ocean,slot_carbon_dioxide,1,154.672,155.159,0.487
DKBJ,slot_algae,slot_carbon_dioxide,1,156.237,156.777,0.54
DKBJ,slot_algae,slot_fish,1,158.862,159.246,0.384
DKBJ,slot_algae,slot_decomposers_ocean,0,160.872,161.469,0.597
DKBJ,slot_decomposers_ocean,slot_algae,0,162.477,163.042,0.565
DKBJ,slot_fish,slot_algae,0,164.206,164.913,0.707
DKBJ,slot_dead_ocean,slot_algae,0,166.724,167.53,0.806
DKBJ,slot_dead_ocean,slot_decomposers_ocean,1,169.941,170.349,0.408
DKBJ,slot_dead_ocean,slot_fish,0,171.794,172.244,0.45
DKBJ,slot_dead_ocean,slot_algae,0,173.58,174.194,0.614
DKBJ,slot_fish,slot_dead_ocean,1,175.43,175.767,0.337
DKBJ,slot_algae,slot_dead_ocean,1,177.46,178.17,0.71
DKBJ,slot_dead_ocean,slot_decomposers_ocean,1,180.201,181.502,1.301
DKBJ,slot_decomposers_ocean,slot_dead_ocean,1,183.396,183.586,0.19
