student,source,target,valid,start,end,duration
F4CW,slot_plants,slot_animals,1,40.755,41.445,0.69
F4CW,slot_factory,slot_plants,0,43.652,44.259,0.607
F4CW,slot_factory,slot_atmosphere,1,46.096,46.766,0.67
F4CW,slot_fossil_fuel,slot_factory,1,50.308,51.895,1.587
F4CW,slot_dead_land,slot_fossil_fuel,0,53.803,55.161,1.358
F4CW,slot_animals,slot_decomposers_land,0,59.481,59.935,0.454
F4CW,slot_decomposers_land,slot_animals,0,60.816,61.495,0.679
F4CW,slot_decomposers_land,slot_dead_land,1,63.262,64.22,0.958
F4CW,slot_animals,slot_dead_land,1,69.121,69.82,0.699
F4CW,slot_dead_ocean,slot_fossil_fuel,0,74.527,75.802,1.275
F4CW,slot_dead_land,slot_decomposers_land,1,81.973,82.569,0.596
F4CW,slot_animals,slot_plants,0,85.95,87.264,1.314
F4CW,slot_plants,slot_atmosphere,1,90.242,93.677,3.435
F4CW,slot_atmosphere,slot_plants,1,94.825,95.571,0.746
F4CW,slot_decomposers_land,slot_plants,0,98.904,99.623,0.719
F4CW,slot_animals,slot_plants,0,101.095,101.783,0.688
F4CW,slot_fish,slot_algae,0,107.462,108.21,0.748
F4CW,slot_decomposers_ocean,slot_dead_ocean,1,109.903,111.016,1.113
F4CW,slot_dead_ocean,slot_decomposers_ocean,1,112.766,113.605,0.839
F4CW,slot_dead_ocean,slot_fish,0,115.244,115.596,0.352
F4CW,slot_fish,slot_dead_ocean,1,116.633,117.121,0.488
F4CW,slot_algae,slot_fish,1,118.808,119.129,0.321
F4CW,slot_carbon_dioxide,slot_fish,0,121.2,121.662,0.462
F4CW,slot_fish,slot_carbon_dioxide,1,123.215,123.543,0.328
F4CW,slot_decomposers_ocean,slot_algae,0,127.211,129.985,2.774
F4CW,slot_algae,slot_decomposers_ocean,0,131.187,132.25,1.063
F4CW,slot_carbon_dioxide,slot_algae,1,133.774,134.243,0.469
F4CW,slot_algae,slot_carbon_dioxide,1,135.884,141.034,5.15
F4CW,slot_decomposers_ocean,slot_carbon_dioxide,1,143.03,143.862,0.832
F4CW,slot_carbon_dioxide,slot_dead_ocean,0,145.17,147.086,1.916
F4CW,slot_carbon_dioxide,slot_atmosphere,1,149.186,149.71,0.524
F4CW,slot_atmosphere,slot_carbon_dioxide,1,150.447,151.437,0.99
F4CW,slot_atmosphere,slot_animals,0,153.68,154.207,0.527
F4CW,slot_animals,slot_atmosphere,1,155.295,157.277,1.982
F4CW,slot_dead_ocean,slot_dead_land,0,161.802,162.603,0.801
F4CW,slot_dead_ocean,slot_algae,0,164.116,164.703,0.587
F4CW,slot_algae,slot_dead_ocean,1,165.631,166.329,0.698
F4CW,slot_plants,slot_dead_land,1,168.691,169.231,0.54
F4CW,slot_decomposers_land,slot_plants,0,171.29,172.095,0.805
F4CW,slot_decomposers_land,slot_fossil_fuel,0,173.334,173.958,0.624
F4CW,slot_decomposers_land,slot_factory,0,176.09,176.733,0.643
F4CW,slot_decomposers_land,slot_plants,0,178.348,179.839,1.491
F4CW,slot_decomposers_land,slot_dead_land,1,181.085,183.435,2.35
F4CW,slot_decomposers_land,slot_animals,0,185.21,186.064,0.854
F4CW,slot_decomposers_land,slot_algae,0,187.927,188.945,1.018
F4CW,slot_decomposers_land,slot_atmosphere,1,190.789,191.686,0.897
