student,source,target,valid,start,end,duration
FCG6,slot_fossil_fuel,slot_atmosphere,0,16.255,18.482,2.227
FCG6,slot_fossil_fuel,slot_decomposers_land,0,20.868,21.48,0.612
FCG6,slot_fossil_fuel,slot_factory,1,25.682,26.521,0.839
FCG6,slot_factory,slot_atmosphere,1,28.696,29.162,0.466
FCG6,slot_dead_land,slot_decomposers_land,1,33.958,34.548,0.59
FCG6,slot_decomposers_land,slot_plants,0,35.792,35.99,0.198
FCG6,slot_decomposers_land,slot_dead_land,1,37.325,37.846,0.521
FCG6,slot_dead_land,slot_plants,0,44.306,45.441,1.135
FCG6,slot_dead_land,slot_animals,0,46.432,46.762,0.33
FCG6,slot_plants,slot_atmosphere,1,54.343,54.775,0.432
FCG6,slot_atmosphere,slot_animals,0,56.757,57.418,0.661
FCG6,slot_atmosphere,slot_carbon_dioxide,1,63.307,63.841,0.534
FCG6,slot_carbon_dioxide,slot_atmosphere,1,67.666,68.278,0.612
FCG6,slot_dead_ocean,slot_algae,0,76.358,76.923,0.565
FCG6,slot_dead_ocean,slot_decomposers_ocean,1,81.059,81.395,0.336
FCG6,slot_decomposers_ocean,slot_fish,0,82.988,83.298,0.31
FCG6,slot_decomposers_ocean,slot_algae,0,84.436,85.729,1.293
FCG6,slot_algae,slot_decomposers_ocean,0,86.867,87.459,0.592
FCG6,slot_decomposers_ocean,slot_carbon_dioxide,1,89.548,89.975,0.427
FCG6,slot_carbon_dioxide,slot_animals,0,99.24,99.918,0.678
FCG6,slot_algae,slot_atmosphere,0,106.385,107.042,0.657
FCG6,slot_atmosphere,slot_plants,1,111.881,112.464,0.583
FCG6,slot_animals,slot_plants,0,114.699,115.035,0.336
FCG6,slot_plants,slot_animals,1,119.076,120.428,1.352
FCG6,slot_decomposers_land,slot_animals,0,124.006,124.723,0.717
FCG6,slot_animals,slot_decomposers_land,0,125.488,126.009,0.521
FCG6,slot_animals,slot_dead_land,1,127.202,127.542,0.34
FCG6,slot_dead_land,slot_atmosphere,0,132.898,133.654,0.756
FCG6,slot_plants,slot_decomposers_land,0,144.725,145.812,1.087
FCG6,slot_animals,slot_atmosphere,1,149.541,149.942,0.401
FCG6,slot_dead_ocean,slot_fish,0,160.278,160.72,0.442
FCG6,slot_fish,slot_dead_ocean,1,164.473,164.72,0.247
FCG6,slot_decomposers_ocean,slot_dead_ocean,1,169.437,170.245,0.808
FCG6,slot_carbon_dioxide,slot_fish,0,173.254,173.547,0.293
FCG6,slot_algae,slot_plants,0,179.814,180.198,0.384
FCG6,slot_carbon_dioxide,slot_plants,0,181.548,182.516,0.968
FCG6,slot_algae,slot_carbon_dioxide,1,204.776,205.129,0.353
FCG6,slot_fish,slot_algae,0,215.084,215.407,0.323
FCG6,slot_algae,slot_fish,1,216.117,216.519,0.402
FCG6,slot_algae,slot_atmosphere,0,223.879,224.787,0.908
FCG6,slot_atmosphere,slot_algae,0,225.546,226.002,0.456
FCG6,slot_carbon_dioxide,slot_algae,1,230.373,230.861,0.488
FCG6,slot_carbon_dioxide,slot_fish,0,232.24,232.991,0.751
FCG6,slot_carbon_dioxide,slot_dead_ocean,0,235.336,236.027,0.691
FCG6,slot_plants,slot_dead_land,1,241.032,242.664,1.632
FCG6,slot_decomposers_land,slot_dead_ocean,0,246.627,247.383,0.756
FCG6,slot_decomposers_land,slot_atmosphere,1,248.66,250.047,1.387
FCG6,slot_dead_ocean,slot_atmosphere,0,253.039,253.762,0.723
FCG6,slot_dead_ocean,slot_algae,0,257.485,257.775,0.29
FCG6,slot_algae,slot_dead_ocean,1,260.389,261.02,0.631
FCG6,slot_fish,slot_carbon_dioxide,1,263.98,264.239,0.259
