student,source,target,valid,start,end,duration
FHXX,slot_dead_ocean,slot_fossil_fuel,0,50.132,50.94,0.808
FHXX,slot_fossil_fuel,slot_dead_ocean,0,52.044,52.927,0.883
FHXX,slot_decomposers_ocean,slot_fish,0,56.752,57.335,0.583
FHXX,slot_fish,slot_decomposers_ocean,0,58.434,58.944,0.51
FHXX,slot_decomposers_ocean,slot_dead_ocean,1,60.03,60.552,0.522
FHXX,slot_fish,slot_algae,0,64.255,64.596,0.341
FHXX,slot_algae,slot_fish,1,65.541,65.87,0.329
FHXX,slot_carbon_dioxide,slot_atmosphere,1,70.179,70.767,0.588
FHXX,slot_animals,slot_atmosphere,1,73.69,74.393,0.703
FHXX,slot_atmosphere,slot_animals,0,75.636,76.08,0.444
FHXX,slot_animals,slot_plants,0,77.035,77.425,0.39
FHXX,slot_plants,slot_animals,1,78.496,78.807,0.311
FHXX,slot_atmosphere,slot_plants,1,80.193,80.545,0.352
FHXX,slot_plants,slot_atmosphere,1,81.267,81.632,0.365
FHXX,slot_plants,slot_dead_land,1,84.968,86.154,1.186
FHXX,slot_animals,slot_dead_land,1,89.494,92.416,2.922
FHXX,slot_fossil_fuel,slot_factory,1,97.114,97.763,0.649
FHXX,slot_factory,slot_atmosphere,1,99.243,99.656,0.413
FHXX,slot_dead_land,slot_decomposers_land,1,105.2,105.44,0.24
FHXX,slot_decomposers_land,slot_dead_land,1,106.713,107.16,0.447
FHXX,slot_carbon_dioxide,slot_fish,0,112.038,112.334,0.296
FHXX,slot_carbon_dioxide,slot_algae,1,113.519,113.958,0.439
FHXX,slot_algae,slot_atmosphere,0,123.7,124.498,0.798
FHXX,slot_atmosphere,slot_algae,0,126.383,127.648,1.265
FHXX,slot_decomposers_ocean,slot_algae,0,131.188,131.63,0.442
FHXX,slot_algae,slot_decomposers_ocean,0,132.501,133.215,0.714
FHXX,slot_algae,slot_dead_ocean,1,134.48,134.843,0.363
FHXX,slot_dead_ocean,slot_fish,0,138.028,138.342,0.314
FHXX,slot_fish,slot_dead_ocean,1,139.279,139.672,0.393
FHXX,slot_decomposers_ocean,slot_dead_ocean,1,141.842,142.21,0.368
FHXX,slot_dead_ocean,slot_decomposers_ocean,1,143.788,144.231,0.443
FHXX,slot_decomposers_ocean,slot_fish,0,146.443,146.925,0.482
FHXX,slot_fish,slot_decomposers_ocean,0,147.992,148.261,0.269
FHXX,slot_carbon_dioxide,slot_decomposers_ocean,0,149.67,150.224,0.554
FHXX,slot_carbon_dioxide,slot_algae,1,151.485,152.002,0.517
FHXX,slot_decomposers_land,slot_algae,0,154.665,155.268,0.603
FHXX,slot_decomposers_land,slot_decomposers_ocean,0,159.885,164.189,4.304
FHXX,slot_decomposers_ocean,slot_fish,0,165.263,166.345,1.082
FHXX,slot_algae,slot_carbon_dioxide,1,168.958,169.429,0.471
FHXX,slot_fish,slot_carbon_dioxide,1,171.34,171.694,0.354
FHXX,slot_decomposers_ocean,slot_carbon_dioxide,1,173.473,173.84,0.367
FHXX,slot_decomposers_land,slot_carbon_dioxide,0,176.012,176.721,0.709
FHXX,slot_atmosphere,slot_decomposers_land,0,179.462,180.299,0.837
FHXX,slot_decomposers_land,slot_atmosphere,1,181.215,182.222,1.007
FHXX,slot_carbon_dioxide,slot_atmosphere,1,183.796,184.425,0.629
FHXX,slot_atmosphere,slot_carbon_dioxide,1,185.629,186.378,0.749
