student,source,target,valid,start,end,duration
FZVW,slot_dead_ocean,slot_fish,0,50.769,51.128,0.359
FZVW,slot_dead_ocean,slot_algae,0,52.868,53.324,0.456
FZVW,slot_carbon_dioxide,slot_dead_ocean,0,54.72,55.244,0.524
FZVW,slot_carbon_dioxide,slot_fish,0,56.25,56.489,0.239
FZVW,slot_carbon_dioxide,slot_decomposers_ocean,0,57.301,57.673,0.372
FZVW,slot_decomposers_ocean,slot_carbon_dioxide,1,58.304,58.618,0.314
FZVW,slot_decomposers_ocean,slot_fish,0,60.201,60.438,0.237
FZVW,slot_decomposers_ocean,slot_algae,0,61.35,62.071,0.721
FZVW,slot_decomposers_ocean,slot_atmosphere,0,63.25,63.889,0.639
FZVW,slot_carbon_dioxide,slot_atmosphere,1,65.884,66.417,0.533
FZVW,slot_fish,slot_dead_land,0,68.7,71.103,2.403
FZVW,slot_fish,slot_algae,0,72.267,72.773,0.506
FZVW,slot_algae,slot_animals,0,73.699,75.807,2.108
FZVW,slot_algae,slot_factory,0,77.286,78.157,0.871
FZVW,slot_algae,slot_atmosphere,0,79.55,80.195,0.645
FZVW,slot_fish,slot_atmosphere,0,81.165,81.614,0.449
FZVW,slot_decomposers_ocean,slot_atmosphere,0,82.582,83.044,0.462
FZVW,slot_dead_ocean,slot_atmosphere,0,84.182,84.697,0.515
FZVW,slot_fossil_fuel,slot_atmosphere,0,86.683,87.017,0.334
FZVW,slot_fossil_fuel,slot_dead_ocean,0,88.067,88.613,0.546
FZVW,slot_fossil_fuel,slot_decomposers_land,0,89.617,89.896,0.279
FZVW,slot_fossil_fuel,slot_factory,1,91.482,92.105,0.623
FZVW,slot_decomposers_land,slot_dead_land,1,93.182,94.528,1.346
FZVW,slot_animals,slot_dead_land,1,95.781,96.23,0.449
FZVW,slot_animals,slot_plants,0,97.298,97.569,0.271
FZVW,slot_plants,slot_animals,1,98.514,99.653,1.139
FZVW,slot_plants,slot_decomposers_land,0,100.9,108.518,7.618
FZVW,slot_factory,slot_atmosphere,1,109.939,111.046,1.107
FZVW,slot_animals,slot_fish,0,114.665,116.084,1.419
FZVW,slot_animals,slot_dead_ocean,0,117.167,117.885,0.718
FZVW,slot_animals,slot_decomposers_ocean,0,119.048,120.314,1.266
FZVW,slot_fish,slot_animals,0,125.548,126.072,0.524
FZVW,slot_fish,slot_atmosphere,0,126.963,127.42,0.457
FZVW,slot_fish,slot_dead_land,0,128.513,128.983,0.47
FZVW,slot_fish,slot_decomposers_land,0,130.585,131.832,1.247
FZVW,slot_fish,slot_dead_ocean,1,133.083,133.421,0.338
FZVW,slot_dead_ocean,slot_fish,0,134.119,134.64,0.521
FZVW,slot_algae,slot_fish,1,135.696,135.907,0.211
FZVW,slot_carbon_dioxide,slot_fish,0,137.038,137.307,0.269
FZVW,slot_decomposers_ocean,slot_fish,0,138.216,138.448,0.232
