student,source,target,valid,start,end,duration
GB4J,slot_atmosphere,slot_factory,0,13.13,14.314,1.184
GB4J,slot_atmosphere,slot_carbon_dioxide,1,16.175,16.879,0.704
GB4J,slot_carbon_dioxide,slot_decomposers_ocean,0,18.505,19.081,0.576
GB4J,slot_carbon_dioxide,slot_fish,0,20.835,21.36,0.525
GB4J,slot_carbon_dioxide,slot_algae,1,22.849,23.362,0.513
GB4J,slot_algae,slot_dead_ocean,1,24.939,25.638,0.699
GB4J,slot_dead_ocean,slot_decomposers_ocean,1,27.244,27.783,0.539
GB4J,slot_decomposers_ocean,slot_fish,0,28.843,29.443,0.6
GB4J,slot_decomposers_ocean,slot_carbon_dioxide,1,31.322,32.21,0.888
GB4J,slot_carbon_dioxide,slot_fish,0,33.802,34.413,0.611
GB4J,slot_carbon_dioxide,slot_dead_land,0,35.833,36.329,0.496
GB4J,slot_carbon_dioxide,slot_atmosphere,1,38.114,38.752,0.638
GB4J,slot_atmosphere,slot_factory,0,40.794,41.684,0.89
GB4J,slot_atmosphere,slot_animals,0,43.225,44.213,0.988
GB4J,slot_atmosphere,slot_plants,1,45.97,46.684,0.714
GB4J,slot_plants,slot_animals,1,47.786,48.258,0.472
GB4J,slot_animals,slot_atmosphere,1,49.117,49.89,0.773
GB4J,slot_atmosphere,slot_factory,0,51.065,52.314,1.249
GB4J,slot_atmosphere,slot_fish,0,54.099,54.781,0.682
GB4J,slot_dead_land,slot_plants,0,57.362,58.013,0.651
GB4J,slot_plants,slot_animals,1,59.153,59.789,0.636
GB4J,slot_animals,slot_decomposers_land,0,61.184,61.886,0.702
GB4J,slot_fossil_fuel,slot_atmosphere,0,64.147,64.924,0.777
GB4J,slot_atmosphere,slot_fossil_fuel,0,65.851,66.788,0.937
GB4J,slot_atmosphere,slot_decomposers_land,0,68.275,69.06,0.785
GB4J,slot_atmosphere,slot_factory,0,73.356,74.987,1.631
GB4J,slot_fish,slot_atmosphere,0,80.243,83.293,3.05
GB4J,slot_decomposers_ocean,slot_fish,0,86.355,87.037,0.682
GB4J,slot_carbon_dioxide,slot_fish,0,89.149,89.643,0.494
GB4J,slot_dead_ocean,slot_fish,0,91.199,91.648,0.449
GB4J,slot_algae,slot_fish,1,94.974,96.328,1.354
GB4J,slot_fish,slot_dead_ocean,1,98.437,98.926,0.489
GB4J,slot_decomposers_ocean,slot_dead_land,0,102.251,103.579,1.328
GB4J,slot_decomposers_land,slot_atmosphere,1,105.048,105.62,0.572
GB4J,slot_atmosphere,slot_dead_land,0,108.343,109.231,0.888
GB4J,slot_decomposers_land,slot_dead_land,1,110.61,111.085,0.475
GB4J,slot_dead_land,slot_atmosphere,0,112.509,113.333,0.824
GB4J,slot_dead_land,slot_factory,0,125.776,126.748,0.972
GB4J,slot_dead_land,slot_atmosphere,0,128.201,129.061,0.86
GB4J,slot_atmosphere,slot_dead_land,0,130.085,131.17,1.085
GB4J,slot_fossil_fuel,slot_dead_land,0,132.544,133.487,0.943
GB4J,slot_decomposers_land,slot_fossil_fuel,0,135.056,136.185,1.129
GB4J,slot_atmosphere,slot_dead_land,0,138.702,139.437,0.735
GB4J,slot_dead_land,slot_animals,0,140.406,140.838,0.432
GB4J,slot_dead_land,slot_plants,0,142.614,143.238,0.624
GB4J,slot_dead_land,slot_factory,0,145.743,147.514,1.771
GB4J,slot_factory,slot_plants,0,150.77,152.016,1.246
GB4J,slot_factory,slot_decomposers_land,0,153.517,156.697,3.18
GB4J,slot_factory,slot_atmosphere,1,157.977,158.597,0.62
GB4J,slot_atmosphere,slot_fossil_fuel,0,161.181,162.861,1.68
GB4J,slot_fossil_fuel,slot_factory,1,164.088,165.844,1.756
GB4J,slot_fish,slot_decomposers_ocean,0,172.275,173.247,0.972
GB4J,slot_decomposers_ocean,slot_fish,0,174.123,174.853,0.73
GB4J,slot_fish,slot_carbon_dioxide,1,175.588,176.08,0.492
GB4J,slot_decomposers_ocean,slot_dead_ocean,1,177.519,178.141,0.622
GB4J,slot_algae,slot_carbon_dioxide,1,179.983,183.037,3.054
GB4J,slot_dead_land,slot_animals,0,185.334,186.166,0.832
GB4J,slot_decomposers_land,slot_dead_land,1,189.953,190.35,0.397
GB4J,slot_dead_land,slot_decomposers_land,1,191.373,192.11,0.737
GB4J,slot_dead_land,slot_plants,0,193.768,194.312,0.544
GB4J,slot_dead_land,slot_animals,0,195.779,196.319,0.54
GB4J,slot_dead_land,slot_atmosphere,0,197.461,197.941,0.48
GB4J,slot_atmosphere,slot_dead_land,0,198.95,199.963,1.013
GB4J,slot_atmosphere,slot_animals,0,201.255,201.943,0.688
GB4J,slot_atmosphere,slot_dead_land,0,203.139,203.919,0.78
GB4J,slot_dead_land,slot_plants,0,204.691,205.313,0.622
GB4J,slot_plants,slot_dead_land,1,205.95,206.59,0.64
GB4J,slot_dead_land,slot_animals,0,208.431,209.213,0.782
GB4J,slot_plants,slot_dead_land,1,212.232,213.285,1.053
GB4J,slot_animals,slot_dead_land,1,214.405,215.632,1.227
GB4J,slot_plants,slot_atmosphere,1,222.195,225.653,3.458
