student,source,target,valid,start,end,duration
GF46,slot_plants,slot_atmosphere,1,10.351,11.002,0.651
GF46,slot_decomposers_land,slot_atmosphere,1,17.579,18.183,0.604
GF46,slot_dead_land,slot_atmosphere,0,19.745,20.269,0.524
GF46,slot_fossil_fuel,slot_atmosphere,0,22.458,23.998,1.54
GF46,slot_algae,slot_atmosphere,0,26.622,27.291,0.669
GF46,slot_carbon_dioxide,slot_atmosphere,1,31.151,31.63,0.479
GF46,slot_factory,slot_atmosphere,1,34.066,34.799,0.733
GF46,slot_dead_land,slot_factory,0,38.029,38.688,0.659
GF46,slot_decomposers_land,slot_factory,0,40.328,40.956,0.628
GF46,slot_fossil_fuel,slot_factory,1,42.947,43.727,0.78
GF46,slot_dead_ocean,slot_dead_land,0,50.087,50.778,0.691
GF46,slot_dead_ocean,slot_algae,0,52.901,53.237,0.336
GF46,slot_dead_ocean,slot_fish,0,54.851,55.279,0.428
GF46,slot_decomposers_ocean,slot_dead_ocean,1,56.667,57.16,0.493
GF46,slot_fish,slot_dead_ocean,1,62.477,62.983,0.506
GF46,slot_algae,slot_dead_ocean,1,64.509,65.022,0.513
GF46,slot_carbon_dioxide,slot_dead_ocean,0,66.294,66.865,0.571
GF46,slot_dead_ocean,slot_carbon_dioxide,0,68.429,69.064,0.635
GF46,slot_dead_ocean,slot_atmosphere,0,73.652,74.236,0.584
GF46,slot_decomposers_ocean,slot_fish,0,76.866,77.525,0.659
GF46,slot_fish,slot_decomposers_ocean,0,78.685,79.205,0.52
GF46,slot_algae,slot_decomposers_ocean,0,83.38,85.109,1.729
GF46,slot_algae,slot_fish,1,88.507,91.606,3.099
GF46,slot_fish,slot_carbon_dioxide,1,96.285,96.843,0.558
GF46,slot_algae,slot_carbon_dioxide,1,100.581,102.535,1.954
GF46,slot_decomposers_ocean,slot_carbon_dioxide,1,104.514,105.135,0.621
GF46,slot_algae,slot_decomposers_ocean,0,111.656,116.06,4.404
GF46,slot_animals,slot_plants,0,120.756,121.229,0.473
GF46,slot_decomposers_land,slot_plants,0,122.581,122.949,0.368
GF46,slot_decomposers_land,slot_dead_land,1,125.029,125.382,0.353
GF46,slot_plants,slot_dead_land,1,126.678,130.765,4.087
GF46,slot_animals,slot_dead_land,1,132.675,133.486,0.811
GF46,slot_decomposers_land,slot_plants,0,136.309,138.454,2.145
GF46,slot_animals,slot_decomposers_land,0,141.749,142.661,0.912
GF46,slot_dead_land,slot_algae,0,148.635,149.901,1.266
GF46,slot_animals,slot_carbon_dioxide,0,152.398,152.991,0.593
GF46,slot_dead_land,slot_algae,0,154.663,155.332,0.669
GF46,slot_dead_land,slot_dead_ocean,0,156.562,157.311,0.749
GF46,slot_decomposers_land,slot_plants,0,158.72,159.311,0.591
GF46,slot_animals,slot_plants,0,160.718,161.308,0.59
GF46,slot_dead_land,slot_animals,0,163.222,163.844,0.622
GF46,slot_decomposers_land,slot_plants,0,165.381,165.938,0.557
GF46,slot_animals,slot_atmosphere,1,170.777,171.366,0.589
GF46,slot_plants,slot_animals,1,176.722,177.31,0.588
GF46,slot_algae,slot_atmosphere,0,182.668,184.546,1.878
GF46,slot_algae,slot_carbon_dioxide,1,187.097,187.687,0.59
GF46,slot_decomposers_ocean,slot_dead_ocean,1,190.328,190.932,0.604
GF46,slot_decomposers_ocean,slot_atmosphere,0,192.182,192.868,0.686
GF46,slot_carbon_dioxide,slot_atmosphere,1,196.607,197.593,0.986
GF46,slot_carbon_dioxide,slot_atmosphere,1,199.58,200.36,0.78
GF46,slot_dead_land,slot_algae,0,209.614,210.136,0.522
GF46,slot_plants,slot_atmosphere,1,212.747,219.447,6.7
GF46,slot_algae,slot_atmosphere,0,225.884,226.872,0.988
GF46,slot_decomposers_ocean,slot_atmosphere,0,228.566,229.367,0.801
GF46,slot_dead_ocean,slot_decomposers_ocean,1,230.964,231.438,0.474
GF46,slot_algae,slot_dead_ocean,1,236.526,243.083,6.557
GF46,slot_algae,slot_carbon_dioxide,1,244.879,246.207,1.328
GF46,slot_carbon_dioxide,slot_algae,1,247.95,248.689,0.739
GF46,slot_carbon_dioxide,slot_atmosphere,1,251.83,252.39,0.56
GF46,slot_carbon_dioxide,slot_dead_land,0,255.786,262.075,6.289
GF46,slot_carbon_dioxide,slot_plants,0,263.813,264.643,0.83
GF46,slot_carbon_dioxide,slot_decomposers_land,0,266.213,267.03,0.817
GF46,slot_carbon_dioxide,slot_atmosphere,1,268.884,269.823,0.939
GF46,slot_dead_land,slot_plants,0,278.644,279.254,0.61
GF46,slot_plants,slot_dead_land,1,281.024,281.776,0.752
GF46,slot_plants,slot_decomposers_land,0,284.531,297.995,13.464
GF46,slot_carbon_dioxide,slot_atmosphere,1,299.899,300.655,0.756
GF46,slot_atmosphere,slot_carbon_dioxide,1,306.955,307.585,0.63
GF46,slot_atmosphere,slot_plants,1,309.139,309.797,0.658
GF46,slot_decomposers_land,slot_dead_land,1,311.721,312.544,0.823
GF46,slot_dead_land,slot_decomposers_land,1,314.09,314.647,0.557
