student,source,target,valid,start,end,duration
GPHW,slot_animals,slot_plants,0,16.915,17.344,0.429
GPHW,slot_plants,slot_animals,1,20.426,20.962,0.536
GPHW,slot_animals,slot_dead_land,1,24.387,25.177,0.79
GPHW,slot_decomposers_land,slot_animals,0,28.869,29.944,1.075
GPHW,slot_animals,slot_decomposers_land,0,32.061,32.768,0.707
GPHW,slot_decomposers_land,slot_plants,0,34.364,34.94,0.576
GPHW,slot_decomposers_land,slot_dead_land,1,36.094,36.398,0.304
GPHW,slot_fossil_fuel,slot_factory,1,42.935,47.453,4.518
GPHW,slot_decomposers_land,slot_algae,0,53.078,56.771,3.693
GPHW,slot_algae,slot_decomposers_land,0,57.727,58.551,0.824
GPHW,slot_decomposers_land,slot_plants,0,61.529,64.784,3.255
GPHW,slot_decomposers_land,slot_plants,0,66.366,66.66,0.294
GPHW,slot_decomposers_land,slot_animals,0,68.204,69.456,1.252
GPHW,slot_factory,slot_carbon_dioxide,0,75.711,76.469,0.758
GPHW,slot_factory,slot_fish,0,79.773,80.902,1.129
GPHW,slot_factory,slot_dead_land,0,87.723,88.982,1.259
GPHW,slot_dead_land,slot_factory,0,89.713,90.319,0.606
GPHW,slot_algae,slot_animals,0,96.629,97.117,0.488
GPHW,slot_algae,slot_fish,1,99.294,99.912,0.618
GPHW,slot_fish,slot_dead_ocean,1,109.147,109.534,0.387
GPHW,slot_dead_ocean,slot_decomposers_ocean,1,113.827,114.318,0.491
GPHW,slot_dead_land,slot_decomposers_land,1,116.145,116.567,0.422
GPHW,slot_decomposers_land,slot_dead_ocean,0,125.188,126.218,1.03
GPHW,slot_fish,slot_algae,0,151.328,151.973,0.645
GPHW,slot_decomposers_ocean,slot_fish,0,153.799,154.17,0.371
GPHW,slot_fish,slot_decomposers_ocean,0,155.127,155.452,0.325
GPHW,slot_carbon_dioxide,slot_fish,0,158.28,158.858,0.578
GPHW,slot_carbon_dioxide,slot_algae,1,160.363,160.796,0.433
GPHW,slot_carbon_dioxide,slot_decomposers_ocean,0,162.652,163.002,0.35
GPHW,slot_decomposers_ocean,slot_carbon_dioxide,1,163.926,164.366,0.44
GPHW,slot_animals,slot_plants,0,173.718,174.184,0.466
GPHW,slot_dead_land,slot_plants,0,175.542,176.059,0.517
GPHW,slot_plants,slot_dead_land,1,176.961,177.478,0.517
GPHW,slot_plants,slot_factory,0,182.902,184.385,1.483
GPHW,slot_factory,slot_plants,0,185.189,185.895,0.706
GPHW,slot_decomposers_land,slot_plants,0,189.085,189.534,0.449
GPHW,slot_algae,slot_decomposers_ocean,0,200.273,201.157,0.884
GPHW,slot_decomposers_ocean,slot_algae,0,201.892,202.34,0.448
GPHW,slot_carbon_dioxide,slot_plants,0,222.819,223.507,0.688
GPHW,slot_plants,slot_carbon_dioxide,0,225.683,228.981,3.298
GPHW,slot_fish,slot_algae,0,233.08,233.575,0.495
GPHW,slot_fish,slot_algae,0,235.912,236.243,0.331
GPHW,slot_decomposers_ocean,slot_fish,0,238.777,239.095,0.318
GPHW,slot_fish,slot_decomposers_ocean,0,239.614,239.972,0.358
GPHW,slot_dead_ocean,slot_decomposers_ocean,1,241.316,242.046,0.73
GPHW,slot_decomposers_ocean,slot_dead_ocean,1,243.288,243.713,0.425
GPHW,slot_dead_ocean,slot_carbon_dioxide,0,248.347,249.95,1.603
GPHW,slot_carbon_dioxide,slot_dead_ocean,0,250.822,251.765,0.943
GPHW,slot_algae,slot_dead_ocean,1,254.183,258.71,4.527
GPHW,slot_algae,slot_carbon_dioxide,1,262.169,264.375,2.206
GPHW,slot_fish,slot_carbon_dioxide,1,268.335,269.575,1.24
GPHW,slot_carbon_dioxide,slot_animals,0,272.544,273.345,0.801
GPHW,slot_animals,slot_carbon_dioxide,0,275.235,276.018,0.783
GPHW,slot_carbon_dioxide,slot_decomposers_ocean,0,286.266,286.999,0.733
GPHW,slot_factory,slot_decomposers_land,0,291.078,291.674,0.596
GPHW,slot_decomposers_land,slot_factory,0,292.834,293.369,0.535
GPHW,slot_plants,slot_factory,0,295.585,296.735,1.15
GPHW,slot_factory,slot_plants,0,298.03,298.565,0.535
GPHW,slot_carbon_dioxide,slot_decomposers_land,0,309.843,310.62,0.777
GPHW,slot_carbon_dioxide,slot_animals,0,312.073,312.407,0.334
GPHW,slot_carbon_dioxide,slot_plants,0,313.46,314.561,1.101
GPHW,slot_plants,slot_carbon_dioxide,0,315.944,318.397,2.453
GPHW,slot_animals,slot_carbon_dioxide,0,320.001,320.486,0.485
GPHW,slot_decomposers_land,slot_carbon_dioxide,0,321.776,323.285,1.509
GPHW,slot_plants,slot_factory,0,338.965,341.904,2.939
GPHW,slot_factory,slot_carbon_dioxide,0,344.735,345.622,0.887
GPHW,slot_carbon_dioxide,slot_atmosphere,1,346.183,348.595,2.412
GPHW,slot_atmosphere,slot_plants,1,353.953,354.644,0.691
GPHW,slot_plants,slot_atmosphere,1,356.713,358.098,1.385
GPHW,slot_animals,slot_atmosphere,1,359.529,361.383,1.854
GPHW,slot_atmosphere,slot_factory,0,363.646,364.066,0.42
GPHW,slot_factory,slot_atmosphere,1,365.108,365.524,0.416
GPHW,slot_decomposers_land,slot_atmosphere,1,367.089,367.695,0.606
GPHW,slot_carbon_dioxide,slot_atmosphere,1,369.05,369.622,0.572
GPHW,slot_atmosphere,slot_carbon_dioxide,1,370.936,371.353,0.417
