student,source,target,valid,start,end,duration
GWWD,slot_decomposers_land,slot_plants,0,46.755,47.422,0.667
GWWD,slot_decomposers_land,slot_animals,0,48.771,49.554,0.783
GWWD,slot_decomposers_ocean,slot_dead_ocean,1,55.76,56.383,0.623
GWWD,slot_dead_ocean,slot_algae,0,61.863,62.796,0.933
GWWD,slot_dead_ocean,slot_fish,0,64.277,64.849,0.572
GWWD,slot_fish,slot_dead_ocean,1,73.63,74.34,0.71
GWWD,slot_carbon_dioxide,slot_algae,1,79.762,80.891,1.129
GWWD,slot_carbon_dioxide,slot_atmosphere,1,88.702,89.777,1.075
GWWD,slot_animals,slot_dead_land,1,95.741,96.787,1.046
GWWD,slot_atmosphere,slot_plants,1,104.526,105.047,0.521
GWWD,slot_factory,slot_atmosphere,1,108.764,109.937,1.173
GWWD,slot_plants,slot_animals,1,129.397,132.082,2.685
GWWD,slot_decomposers_land,slot_dead_land,1,146.283,146.914,0.631
GWWD,slot_fossil_fuel,slot_algae,0,157.841,159.085,1.244
GWWD,slot_algae,slot_dead_ocean,1,161.628,162.682,1.054
GWWD,slot_fossil_fuel,slot_factory,1,164.013,165.166,1.153
GWWD,slot_fish,slot_carbon_dioxide,1,171.369,171.805,0.436
GWWD,slot_decomposers_ocean,slot_carbon_dioxide,1,181.887,182.84,0.953
GWWD,slot_decomposers_land,slot_plants,0,200.842,201.541,0.699
GWWD,slot_plants,slot_decomposers_land,0,202.698,208.444,5.746
GWWD,slot_atmosphere,slot_carbon_dioxide,1,215.837,217.086,1.249
GWWD,slot_atmosphere,slot_plants,1,220.253,221.596,1.343
GWWD,slot_plants,slot_atmosphere,1,227.204,231.071,3.867
GWWD,slot_plants,slot_dead_land,1,252.183,253.139,0.956
GWWD,slot_decomposers_land,slot_atmosphere,1,271.861,272.663,0.802
GWWD,slot_dead_land,slot_decomposers_land,1,287.52,288.047,0.527
GWWD,slot_algae,slot_fish,1,293.219,293.766,0.547
GWWD,slot_decomposers_ocean,slot_fish,0,295.892,296.664,0.772
GWWD,slot_decomposers_ocean,slot_fish,0,299.457,300.767,1.31
GWWD,slot_animals,slot_atmosphere,1,325.447,326.207,0.76
GWWD,slot_carbon_dioxide,slot_algae,1,341.907,343.038,1.131
GWWD,slot_algae,slot_carbon_dioxide,1,344.102,345.057,0.955
GWWD,slot_dead_ocean,slot_decomposers_ocean,1,348.825,349.754,0.929
