student,source,target,valid,start,end,duration
H634,slot_fossil_fuel,slot_dead_land,0,15.755,16.08,0.325
H634,slot_fossil_fuel,slot_decomposers_land,0,18.602,18.939,0.337
H634,slot_fossil_fuel,slot_carbon_dioxide,0,20.199,21.899,1.7
H634,slot_fossil_fuel,slot_factory,1,25.33,26.119,0.789
H634,slot_factory,slot_dead_land,0,29.644,33.116,3.472
H634,slot_factory,slot_plants,0,34.421,34.885,0.464
H634,slot_factory,slot_decomposers_land,0,36.122,36.709,0.587
H634,slot_factory,slot_animals,0,38.171,38.911,0.74
H634,slot_animals,slot_algae,0,40.384,41.424,1.04
H634,slot_factory,slot_fish,0,44.88,46.125,1.245
H634,slot_factory,slot_carbon_dioxide,0,47.878,48.492,0.614
H634,slot_factory,slot_plants,0,50.944,51.365,0.421
H634,slot_factory,slot_dead_ocean,0,52.526,54.136,1.61
H634,slot_factory,slot_animals,0,55.752,56.462,0.71
H634,slot_factory,slot_dead_land,0,57.921,58.44,0.519
H634,slot_factory,slot_decomposers_land,0,60.27,60.571,0.301
H634,slot_factory,slot_decomposers_ocean,0,64.182,65.84,1.658
H634,slot_factory,slot_plants,0,76.056,76.387,0.331
H634,slot_factory,slot_decomposers_land,0,79.287,81.278,1.991
H634,slot_factory,slot_plants,0,82.801,83.136,0.335
H634,slot_factory,slot_dead_land,0,84.317,85.259,0.942
H634,slot_factory,slot_animals,0,86.499,87.0,0.501
H634,slot_factory,slot_carbon_dioxide,0,88.063,89.576,1.513
H634,slot_factory,slot_algae,0,91.611,92.541,0.93
H634,slot_factory,slot_fish,0,93.676,94.73,1.054
H634,slot_factory,slot_decomposers_ocean,0,96.609,97.86,1.251
H634,slot_factory,slot_dead_ocean,0,99.421,100.633,1.212
H634,slot_factory,slot_atmosphere,1,105.135,105.407,0.272
H634,slot_atmosphere,slot_plants,1,121.108,121.833,0.725
H634,slot_atmosphere,slot_dead_land,0,123.095,123.606,0.511
H634,slot_atmosphere,slot_animals,0,125.074,126.144,1.07
H634,slot_atmosphere,slot_carbon_dioxide,1,127.384,128.825,1.441
H634,slot_atmosphere,slot_algae,0,131.58,133.041,1.461
H634,slot_atmosphere,slot_fish,0,134.414,136.313,1.899
H634,slot_atmosphere,slot_decomposers_ocean,0,137.876,139.229,1.353
H634,slot_atmosphere,slot_dead_ocean,0,140.591,141.729,1.138
H634,slot_atmosphere,slot_decomposers_land,0,146.485,147.171,0.686
H634,slot_atmosphere,slot_dead_land,0,149.484,150.443,0.959
H634,slot_plants,slot_decomposers_land,0,157.67,157.974,0.304
H634,slot_plants,slot_animals,1,159.329,159.662,0.333
H634,slot_animals,slot_dead_land,1,160.494,161.057,0.563
H634,slot_dead_land,slot_decomposers_land,1,161.892,162.399,0.507
H634,slot_decomposers_land,slot_plants,0,163.729,164.447,0.718
H634,slot_decomposers_land,slot_atmosphere,1,166.005,167.204,1.199
H634,slot_carbon_dioxide,slot_fish,0,174.796,175.057,0.261
H634,slot_carbon_dioxide,slot_decomposers_ocean,0,175.88,176.223,0.343
H634,slot_carbon_dioxide,slot_algae,1,178.148,178.782,0.634
H634,slot_algae,slot_fish,1,180.496,181.897,1.401
H634,slot_fish,slot_decomposers_ocean,0,182.616,182.936,0.32
H634,slot_fish,slot_dead_ocean,1,184.807,185.36,0.553
H634,slot_dead_ocean,slot_decomposers_ocean,1,186.023,186.883,0.86
H634,slot_decomposers_ocean,slot_atmosphere,0,187.809,188.337,0.528
H634,slot_decomposers_ocean,slot_carbon_dioxide,1,190.642,190.901,0.259
H634,slot_carbon_dioxide,slot_atmosphere,1,196.721,197.469,0.748
H634,slot_carbon_dioxide,slot_fish,0,200.1,200.415,0.315
H634,slot_carbon_dioxide,slot_plants,0,201.977,203.576,1.599
H634,slot_carbon_dioxide,slot_animals,0,205.824,207.117,1.293
H634,slot_animals,slot_atmosphere,1,209.921,212.479,2.558
H634,slot_plants,slot_carbon_dioxide,0,217.289,220.983,3.694
H634,slot_carbon_dioxide,slot_decomposers_land,0,221.88,222.765,0.885
H634,slot_carbon_dioxide,slot_atmosphere,1,224.395,225.629,1.234
H634,slot_carbon_dioxide,slot_atmosphere,1,229.289,231.213,1.924
H634,slot_fish,slot_decomposers_ocean,0,232.808,233.046,0.238
H634,slot_decomposers_ocean,slot_fish,0,233.834,234.089,0.255
H634,slot_carbon_dioxide,slot_decomposers_ocean,0,236.95,238.269,1.319
H634,slot_decomposers_ocean,slot_carbon_dioxide,1,239.02,239.586,0.566
H634,slot_decomposers_ocean,slot_fish,0,242.829,243.118,0.289
H634,slot_algae,slot_carbon_dioxide,1,248.649,250.149,1.5
H634,slot_algae,slot_atmosphere,0,254.572,255.537,0.965
H634,slot_algae,slot_plants,0,258.167,258.807,0.64
H634,slot_algae,slot_dead_land,0,260.145,260.943,0.798
H634,slot_algae,slot_decomposers_land,0,262.178,262.558,0.38
H634,slot_carbon_dioxide,slot_atmosphere,1,266.184,266.705,0.521
H634,slot_dead_ocean,slot_algae,0,273.093,273.257,0.164
H634,slot_algae,slot_dead_ocean,1,274.262,274.608,0.346
H634,slot_dead_ocean,slot_decomposers_ocean,1,279.571,280.409,0.838
H634,slot_decomposers_ocean,slot_dead_ocean,1,281.9,282.421,0.521
H634,slot_decomposers_land,slot_dead_land,1,287.882,288.593,0.711
H634,slot_dead_land,slot_plants,0,289.856,290.41,0.554
H634,slot_plants,slot_dead_land,1,291.315,291.704,0.389
H634,slot_fish,slot_carbon_dioxide,1,293.36,293.79,0.43
H634,slot_plants,slot_atmosphere,1,297.32,297.87,0.55
