student,source,target,valid,start,end,duration
HMP2,slot_animals,slot_carbon_dioxide,0,26.726,27.534,0.808
HMP2,slot_animals,slot_fish,0,28.755,29.351,0.596
HMP2,slot_animals,slot_algae,0,30.473,30.939,0.466
HMP2,slot_animals,slot_dead_ocean,0,32.085,32.685,0.6
HMP2,slot_decomposers_land,slot_factory,0,36.812,37.237,0.425
HMP2,slot_decomposers_land,slot_plants,0,38.563,38.975,0.412
HMP2,slot_decomposers_land,slot_animals,0,39.974,40.662,0.688
HMP2,slot_decomposers_land,slot_fossil_fuel,0,41.956,42.517,0.561
HMP2,slot_dead_land,slot_decomposers_land,1,43.704,43.957,0.253
HMP2,slot_dead_land,slot_plants,0,45.936,46.615,0.679
HMP2,slot_dead_land,slot_animals,0,47.665,48.132,0.467
HMP2,slot_dead_land,slot_fossil_fuel,0,49.611,49.973,0.362
HMP2,slot_dead_land,slot_dead_ocean,0,51.078,51.72,0.642
HMP2,slot_plants,slot_animals,1,54.855,55.171,0.316
HMP2,slot_animals,slot_dead_land,1,60.048,60.459,0.411
HMP2,slot_plants,slot_decomposers_land,0,62.595,63.017,0.422
HMP2,slot_decomposers_land,slot_factory,0,63.944,64.392,0.448
HMP2,slot_decomposers_land,slot_animals,0,65.326,65.944,0.618
HMP2,slot_decomposers_land,slot_dead_land,1,68.122,68.792,0.67
HMP2,slot_plants,slot_animals,1,74.48,74.983,0.503
HMP2,slot_animals,slot_plants,0,75.662,76.139,0.477
HMP2,slot_plants,slot_atmosphere,1,77.693,81.791,4.098
HMP2,slot_atmosphere,slot_animals,0,85.122,85.854,0.732
HMP2,slot_atmosphere,slot_plants,1,87.381,87.775,0.394
HMP2,slot_factory,slot_atmosphere,1,89.563,90.116,0.553
HMP2,slot_atmosphere,slot_factory,0,91.031,91.576,0.545
HMP2,slot_factory,slot_plants,0,94.194,94.722,0.528
HMP2,slot_plants,slot_atmosphere,1,96.437,99.311,2.874
HMP2,slot_algae,slot_dead_ocean,1,103.077,104.199,1.122
HMP2,slot_dead_ocean,slot_fossil_fuel,0,105.279,105.896,0.617
HMP2,slot_dead_ocean,slot_fossil_fuel,0,108.47,109.06,0.59
HMP2,slot_decomposers_ocean,slot_dead_ocean,1,110.639,111.143,0.504
HMP2,slot_fish,slot_dead_ocean,1,117.309,117.831,0.522
HMP2,slot_fish,slot_carbon_dioxide,1,119.445,119.88,0.435
HMP2,slot_carbon_dioxide,slot_decomposers_ocean,0,121.055,121.57,0.515
HMP2,slot_carbon_dioxide,slot_algae,1,122.735,123.13,0.395
HMP2,slot_carbon_dioxide,slot_atmosphere,1,125.448,125.886,0.438
HMP2,slot_atmosphere,slot_carbon_dioxide,1,126.965,127.586,0.621
HMP2,slot_decomposers_ocean,slot_fish,0,132.989,135.058,2.069
HMP2,slot_decomposers_ocean,slot_algae,0,136.47,137.094,0.624
HMP2,slot_decomposers_ocean,slot_fossil_fuel,0,138.881,139.66,0.779
HMP2,slot_decomposers_ocean,slot_animals,0,140.929,141.405,0.476
HMP2,slot_dead_ocean,slot_decomposers_ocean,1,146.604,147.278,0.674
HMP2,slot_algae,slot_fish,1,153.869,154.438,0.569
HMP2,slot_algae,slot_carbon_dioxide,1,156.53,157.064,0.534
HMP2,slot_decomposers_ocean,slot_carbon_dioxide,1,159.588,160.052,0.464
HMP2,slot_fossil_fuel,slot_factory,1,163.683,164.462,0.779
HMP2,slot_animals,slot_dead_land,1,172.272,172.85,0.578
HMP2,slot_dead_land,slot_animals,0,174.554,174.933,0.379
HMP2,slot_dead_land,slot_decomposers_land,1,176.318,176.666,0.348
HMP2,slot_decomposers_land,slot_plants,0,177.449,177.797,0.348
HMP2,slot_plants,slot_decomposers_land,0,178.614,178.952,0.338
HMP2,slot_atmosphere,slot_animals,0,183.064,185.716,2.652
HMP2,slot_dead_land,slot_plants,0,189.001,189.542,0.541
HMP2,slot_dead_land,slot_atmosphere,0,191.955,193.813,1.858
HMP2,slot_animals,slot_dead_land,1,195.859,196.153,0.294
HMP2,slot_decomposers_land,slot_animals,0,203.149,203.835,0.686
HMP2,slot_plants,slot_animals,1,205.513,206.091,0.578
HMP2,slot_plants,slot_decomposers_land,0,210.357,213.214,2.857
HMP2,slot_decomposers_land,slot_plants,0,214.884,215.442,0.558
HMP2,slot_dead_land,slot_plants,0,216.722,217.19,0.468
HMP2,slot_plants,slot_dead_land,1,221.481,221.962,0.481
HMP2,slot_decomposers_land,slot_animals,0,225.656,227.072,1.416
HMP2,slot_decomposers_land,slot_animals,0,230.83,231.434,0.604
HMP2,slot_animals,slot_decomposers_land,0,232.379,233.183,0.804
HMP2,slot_decomposers_land,slot_atmosphere,1,237.372,238.816,1.444
HMP2,slot_animals,slot_atmosphere,1,240.884,241.364,0.48
