student,source,target,valid,start,end,duration
J2RZ,slot_plants,slot_animals,1,113.52,114.707,1.187
J2RZ,slot_animals,slot_fish,0,117.821,120.598,2.777
J2RZ,slot_animals,slot_decomposers_land,0,122.737,124.474,1.737
J2RZ,slot_animals,slot_carbon_dioxide,0,126.903,127.745,0.842
J2RZ,slot_animals,slot_dead_land,1,136.403,136.905,0.502
J2RZ,slot_dead_land,slot_decomposers_land,1,138.655,139.382,0.727
J2RZ,slot_decomposers_land,slot_fossil_fuel,0,140.824,142.152,1.328
J2RZ,slot_decomposers_land,slot_factory,0,143.623,144.068,0.445
J2RZ,slot_factory,slot_plants,0,145.058,145.669,0.611
J2RZ,slot_decomposers_land,slot_dead_ocean,0,157.019,159.078,2.059
J2RZ,slot_decomposers_land,slot_fish,0,167.034,168.585,1.551
J2RZ,slot_factory,slot_animals,0,193.518,195.272,1.754
J2RZ,slot_factory,slot_decomposers_land,0,197.118,197.892,0.774
J2RZ,slot_factory,slot_fossil_fuel,0,199.036,199.722,0.686
J2RZ,slot_algae,slot_fish,1,203.913,204.445,0.532
J2RZ,slot_fish,slot_carbon_dioxide,1,205.702,206.247,0.545
J2RZ,slot_carbon_dioxide,slot_decomposers_ocean,0,207.169,207.71,0.541
J2RZ,slot_fish,slot_decomposers_ocean,0,210.769,211.248,0.479
J2RZ,slot_fish,slot_dead_ocean,1,212.304,212.864,0.56
J2RZ,slot_dead_ocean,slot_decomposers_ocean,1,214.985,215.685,0.7
J2RZ,slot_decomposers_ocean,slot_carbon_dioxide,1,217.164,217.531,0.367
J2RZ,slot_carbon_dioxide,slot_algae,1,218.72,219.226,0.506
J2RZ,slot_algae,slot_dead_ocean,1,220.214,220.868,0.654
J2RZ,slot_algae,slot_animals,0,225.655,229.836,4.181
J2RZ,slot_dead_ocean,slot_fossil_fuel,0,249.122,250.396,1.274
J2RZ,slot_decomposers_land,slot_plants,0,252.502,252.987,0.485
J2RZ,slot_animals,slot_decomposers_land,0,254.578,255.648,1.07
J2RZ,slot_fossil_fuel,slot_factory,1,262.47,263.345,0.875
J2RZ,slot_factory,slot_plants,0,265.276,266.106,0.83
J2RZ,slot_factory,slot_decomposers_land,0,267.46,270.313,2.853
J2RZ,slot_factory,slot_dead_land,0,272.363,273.233,0.87
J2RZ,slot_plants,slot_dead_land,1,329.828,330.624,0.796
J2RZ,slot_decomposers_land,slot_animals,0,340.452,341.221,0.769
J2RZ,slot_plants,slot_decomposers_land,0,342.788,345.453,2.665
J2RZ,slot_factory,slot_decomposers_land,0,347.602,349.357,1.755
J2RZ,slot_algae,slot_carbon_dioxide,1,361.717,362.318,0.601
J2RZ,slot_dead_ocean,slot_decomposers_ocean,1,364.43,365.013,0.583
J2RZ,slot_carbon_dioxide,slot_decomposers_ocean,0,366.597,367.319,0.722
J2RZ,slot_decomposers_ocean,slot_dead_ocean,1,368.205,369.2,0.995
J2RZ,slot_carbon_dioxide,slot_animals,0,371.563,372.543,0.98
J2RZ,slot_carbon_dioxide,slot_plants,0,373.846,374.836,0.99
J2RZ,slot_carbon_dioxide,slot_dead_land,0,376.703,377.659,0.956
J2RZ,slot_decomposers_land,slot_dead_land,1,378.727,379.219,0.492
J2RZ,slot_animals,slot_decomposers_land,0,380.83,381.536,0.706
J2RZ,slot_plants,slot_decomposers_land,0,388.091,389.107,1.016
J2RZ,slot_decomposers_land,slot_factory,0,390.484,391.105,0.621
J2RZ,slot_decomposers_land,slot_plants,0,407.024,407.706,0.682
J2RZ,slot_animals,slot_factory,0,409.035,410.34,1.305
J2RZ,slot_decomposers_land,slot_factory,0,412.857,414.463,1.606
J2RZ,slot_factory,slot_decomposers_land,0,415.651,416.689,1.038
J2RZ,slot_factory,slot_plants,0,418.589,419.283,0.694
J2RZ,slot_factory,slot_carbon_dioxide,0,421.074,426.567,5.493
J2RZ,slot_factory,slot_carbon_dioxide,0,428.429,429.892,1.463
J2RZ,slot_carbon_dioxide,slot_factory,0,438.274,439.477,1.203
J2RZ,slot_carbon_dioxide,slot_animals,0,440.93,441.593,0.663
J2RZ,slot_carbon_dioxide,slot_plants,0,442.901,443.76,0.859
J2RZ,slot_carbon_dioxide,slot_decomposers_land,0,446.159,446.808,0.649
J2RZ,slot_decomposers_land,slot_factory,0,450.137,450.747,0.61
J2RZ,slot_factory,slot_plants,0,451.847,452.738,0.891
J2RZ,slot_carbon_dioxide,slot_atmosphere,1,465.141,465.952,0.811
J2RZ,slot_animals,slot_atmosphere,1,467.808,468.551,0.743
J2RZ,slot_plants,slot_atmosphere,1,471.525,473.811,2.286
J2RZ,slot_factory,slot_atmosphere,1,475.163,475.879,0.716
J2RZ,slot_decomposers_land,slot_atmosphere,1,477.498,479.022,1.524
J2RZ,slot_atmosphere,slot_plants,1,480.011,480.796,0.785
J2RZ,slot_atmosphere,slot_carbon_dioxide,1,483.395,484.564,1.169
