student,source,target,valid,start,end,duration
J99Y,slot_plants,slot_animals,1,17.667,23.21,5.543
J99Y,slot_fossil_fuel,slot_dead_land,0,49.925,50.596,0.671
J99Y,slot_dead_land,slot_fossil_fuel,0,51.797,52.387,0.59
J99Y,slot_animals,slot_dead_land,1,56.023,56.481,0.458
J99Y,slot_dead_land,slot_decomposers_land,1,59.064,59.585,0.521
J99Y,slot_decomposers_land,slot_fossil_fuel,0,60.741,62.04,1.299
J99Y,slot_decomposers_land,slot_factory,0,63.545,64.022,0.477
J99Y,slot_fish,slot_dead_ocean,1,73.295,74.227,0.932
J99Y,slot_fish,slot_algae,0,77.084,77.606,0.522
J99Y,slot_fish,slot_carbon_dioxide,1,79.373,79.78,0.407
J99Y,slot_carbon_dioxide,slot_algae,1,81.071,82.063,0.992
J99Y,slot_dead_ocean,slot_decomposers_ocean,1,83.382,83.995,0.613
J99Y,slot_plants,slot_factory,0,88.104,88.454,0.35
J99Y,slot_decomposers_land,slot_factory,0,89.692,90.239,0.547
J99Y,slot_fossil_fuel,slot_factory,1,91.674,92.737,1.063
J99Y,slot_decomposers_land,slot_plants,0,96.68,98.412,1.732
J99Y,slot_decomposers_land,slot_factory,0,99.433,100.037,0.604
J99Y,slot_decomposers_land,slot_fossil_fuel,0,102.057,104.445,2.388
J99Y,slot_plants,slot_factory,0,111.27,111.713,0.443
J99Y,slot_plants,slot_decomposers_land,0,113.079,114.815,1.736
J99Y,slot_plants,slot_dead_land,1,116.073,117.406,1.333
J99Y,slot_dead_land,slot_decomposers_land,1,119.984,120.472,0.488
J99Y,slot_dead_land,slot_fossil_fuel,0,122.529,123.497,0.968
J99Y,slot_animals,slot_fossil_fuel,0,125.113,126.407,1.294
J99Y,slot_factory,slot_algae,0,129.562,134.141,4.579
J99Y,slot_fish,slot_animals,0,135.619,136.076,0.457
J99Y,slot_animals,slot_fish,0,136.918,137.523,0.605
J99Y,slot_algae,slot_dead_land,0,140.695,141.553,0.858
J99Y,slot_decomposers_land,slot_algae,0,143.4,144.612,1.212
J99Y,slot_decomposers_land,slot_dead_ocean,0,145.748,148.422,2.674
J99Y,slot_decomposers_ocean,slot_animals,0,150.27,151.893,1.623
J99Y,slot_carbon_dioxide,slot_animals,0,153.433,154.979,1.546
J99Y,slot_factory,slot_plants,0,165.392,165.987,0.595
J99Y,slot_factory,slot_animals,0,167.013,168.42,1.407
J99Y,slot_decomposers_land,slot_algae,0,169.985,175.361,5.376
J99Y,slot_algae,slot_animals,0,176.518,178.375,1.857
J99Y,slot_algae,slot_dead_ocean,1,183.543,187.182,3.639
J99Y,slot_algae,slot_fish,1,191.671,192.168,0.497
J99Y,slot_algae,slot_decomposers_ocean,0,194.402,195.755,1.353
J99Y,slot_decomposers_ocean,slot_carbon_dioxide,1,197.855,198.59,0.735
J99Y,slot_carbon_dioxide,slot_animals,0,201.107,202.156,1.049
J99Y,slot_carbon_dioxide,slot_algae,1,204.244,205.911,1.667
J99Y,slot_carbon_dioxide,slot_algae,1,208.75,209.749,0.999
J99Y,slot_algae,slot_dead_ocean,1,211.397,212.866,1.469
J99Y,slot_dead_ocean,slot_carbon_dioxide,0,214.027,215.281,1.254
J99Y,slot_carbon_dioxide,slot_dead_ocean,0,216.383,217.334,0.951
J99Y,slot_decomposers_ocean,slot_dead_ocean,1,218.898,219.589,0.691
J99Y,slot_carbon_dioxide,slot_algae,1,221.868,222.523,0.655
J99Y,slot_algae,slot_carbon_dioxide,1,223.611,224.315,0.704
J99Y,slot_carbon_dioxide,slot_animals,0,226.409,229.998,3.589
J99Y,slot_carbon_dioxide,slot_plants,0,231.736,233.635,1.899
J99Y,slot_carbon_dioxide,slot_dead_land,0,235.216,236.154,0.938
J99Y,slot_carbon_dioxide,slot_decomposers_land,0,237.586,238.983,1.397
J99Y,slot_carbon_dioxide,slot_factory,0,240.474,242.528,2.054
J99Y,slot_carbon_dioxide,slot_dead_land,0,246.313,247.137,0.824
J99Y,slot_decomposers_land,slot_animals,0,248.617,249.581,0.964
J99Y,slot_dead_land,slot_decomposers_land,1,252.266,252.737,0.471
J99Y,slot_decomposers_land,slot_factory,0,254.944,255.802,0.858
J99Y,slot_factory,slot_plants,0,256.865,257.911,1.046
J99Y,slot_factory,slot_animals,0,258.861,260.68,1.819
J99Y,slot_plants,slot_factory,0,273.585,276.124,2.539
J99Y,slot_plants,slot_factory,0,277.471,279.942,2.471
J99Y,slot_plants,slot_decomposers_land,0,284.855,285.723,0.868
J99Y,slot_plants,slot_dead_land,1,287.879,288.796,0.917
J99Y,slot_dead_land,slot_decomposers_land,1,292.58,294.17,1.59
J99Y,slot_decomposers_land,slot_dead_land,1,295.377,296.293,0.916
J99Y,slot_decomposers_land,slot_animals,0,298.353,299.138,0.785
J99Y,slot_decomposers_land,slot_factory,0,300.651,301.452,0.801
J99Y,slot_decomposers_land,slot_plants,0,303.073,303.582,0.509
J99Y,slot_plants,slot_factory,0,305.053,305.833,0.78
J99Y,slot_plants,slot_animals,1,307.452,308.239,0.787
J99Y,slot_animals,slot_plants,0,309.82,310.711,0.891
J99Y,slot_carbon_dioxide,slot_plants,0,312.403,313.436,1.033
J99Y,slot_decomposers_land,slot_factory,0,322.427,324.313,1.886
J99Y,slot_plants,slot_decomposers_land,0,329.607,332.634,3.027
J99Y,slot_decomposers_land,slot_animals,0,334.495,343.957,9.462
J99Y,slot_plants,slot_atmosphere,1,347.088,350.079,2.991
J99Y,slot_animals,slot_atmosphere,1,351.503,352.602,1.099
J99Y,slot_carbon_dioxide,slot_atmosphere,1,354.992,356.197,1.205
J99Y,slot_factory,slot_atmosphere,1,358.409,359.117,0.708
J99Y,slot_atmosphere,slot_plants,1,363.479,364.457,0.978
J99Y,slot_decomposers_land,slot_atmosphere,1,365.707,366.489,0.782
J99Y,slot_atmosphere,slot_carbon_dioxide,1,370.056,370.601,0.545
