student,source,target,valid,start,end,duration
KCDH,slot_fossil_fuel,slot_factory,1,20.868,21.586,0.718
KCDH,slot_factory,slot_decomposers_ocean,0,29.602,30.892,1.29
KCDH,slot_factory,slot_decomposers_land,0,48.396,48.854,0.458
KCDH,slot_factory,slot_dead_land,0,56.949,57.791,0.842
KCDH,slot_algae,slot_carbon_dioxide,1,80.126,80.904,0.778
KCDH,slot_decomposers_ocean,slot_carbon_dioxide,1,83.229,83.862,0.633
KCDH,slot_decomposers_ocean,slot_dead_ocean,1,86.648,87.123,0.475
KCDH,slot_dead_ocean,slot_algae,0,90.766,91.195,0.429
KCDH,slot_algae,slot_dead_ocean,1,92.333,92.726,0.393
KCDH,slot_factory,slot_atmosphere,1,100.475,100.967,0.492
KCDH,slot_animals,slot_atmosphere,1,107.26,107.882,0.622
KCDH,slot_plants,slot_atmosphere,1,111.642,112.398,0.756
KCDH,slot_carbon_dioxide,slot_atmosphere,1,114.043,115.016,0.973
KCDH,slot_algae,slot_atmosphere,0,117.778,118.524,0.746
KCDH,slot_decomposers_ocean,slot_dead_land,0,127.5,128.251,0.751
KCDH,slot_animals,slot_dead_land,1,145.609,146.052,0.443
KCDH,slot_decomposers_land,slot_dead_land,1,149.4,150.15,0.75
KCDH,slot_decomposers_land,slot_plants,0,154.532,154.912,0.38
KCDH,slot_dead_land,slot_plants,0,155.952,156.338,0.386
KCDH,slot_animals,slot_plants,0,159.265,159.563,0.298
KCDH,slot_atmosphere,slot_plants,1,163.423,164.195,0.772
KCDH,slot_atmosphere,slot_animals,0,165.543,166.169,0.626
KCDH,slot_fish,slot_carbon_dioxide,1,180.243,180.678,0.435
KCDH,slot_fish,slot_dead_ocean,1,184.495,185.295,0.8
KCDH,slot_decomposers_land,slot_atmosphere,1,199.185,199.793,0.608
KCDH,slot_dead_land,slot_atmosphere,0,203.141,203.843,0.702
KCDH,slot_algae,slot_fish,1,213.829,214.419,0.59
KCDH,slot_decomposers_land,slot_plants,0,223.433,223.926,0.493
KCDH,slot_plants,slot_decomposers_land,0,224.885,225.538,0.653
KCDH,slot_dead_land,slot_decomposers_land,1,239.539,240.31,0.771
KCDH,slot_plants,slot_animals,1,263.812,264.473,0.661
KCDH,slot_plants,slot_dead_land,1,268.943,269.94,0.997
KCDH,slot_algae,slot_atmosphere,0,275.924,276.977,1.053
KCDH,slot_algae,slot_decomposers_ocean,0,278.482,280.805,2.323
KCDH,slot_dead_ocean,slot_algae,0,292.904,293.524,0.62
KCDH,slot_algae,slot_carbon_dioxide,1,296.837,297.353,0.516
KCDH,slot_carbon_dioxide,slot_algae,1,299.502,300.857,1.355
KCDH,slot_dead_ocean,slot_decomposers_ocean,1,302.411,304.241,1.83
KCDH,slot_atmosphere,slot_carbon_dioxide,1,309.316,309.895,0.579
