student,source,target,valid,start,end,duration
KH2X,slot_dead_ocean,slot_fossil_fuel,0,112.453,113.831,1.378
KH2X,slot_fossil_fuel,slot_dead_ocean,0,120.146,133.427,13.281
KH2X,slot_dead_land,slot_fossil_fuel,0,139.148,140.181,1.033
KH2X,slot_fossil_fuel,slot_factory,1,146.61,147.279,0.669
KH2X,slot_factory,slot_atmosphere,1,158.833,159.294,0.461
KH2X,slot_atmosphere,slot_plants,1,166.011,167.324,1.313
KH2X,slot_atmosphere,slot_animals,0,170.108,170.965,0.857
KH2X,slot_plants,slot_animals,1,176.439,176.951,0.512
KH2X,slot_animals,slot_decomposers_land,0,181.889,182.824,0.935
KH2X,slot_animals,slot_dead_land,1,184.547,185.325,0.778
KH2X,slot_dead_land,slot_decomposers_land,1,188.711,189.198,0.487
KH2X,slot_plants,slot_decomposers_land,0,196.438,197.059,0.621
KH2X,slot_decomposers_land,slot_plants,0,198.306,199.054,0.748
KH2X,slot_carbon_dioxide,slot_atmosphere,1,235.558,236.139,0.581
KH2X,slot_dead_ocean,slot_carbon_dioxide,0,254.926,255.562,0.636
KH2X,slot_fish,slot_carbon_dioxide,1,256.942,257.587,0.645
KH2X,slot_algae,slot_fish,1,264.251,269.832,5.581
KH2X,slot_fish,slot_dead_ocean,1,274.327,277.878,3.551
KH2X,slot_decomposers_ocean,slot_dead_ocean,1,288.268,290.021,1.753
KH2X,slot_animals,slot_decomposers_land,0,322.424,323.113,0.689
KH2X,slot_plants,slot_decomposers_land,0,325.049,327.298,2.249
KH2X,slot_decomposers_land,slot_dead_land,1,328.73,329.828,1.098
KH2X,slot_decomposers_ocean,slot_dead_ocean,1,341.412,343.251,1.839
KH2X,slot_dead_ocean,slot_decomposers_ocean,1,344.914,347.945,3.031
KH2X,slot_dead_ocean,slot_algae,0,400.969,402.12,1.151
KH2X,slot_algae,slot_carbon_dioxide,1,404.341,405.121,0.78
KH2X,slot_animals,slot_plants,0,436.837,437.344,0.507
KH2X,slot_animals,slot_decomposers_land,0,439.359,440.844,1.485
KH2X,slot_animals,slot_dead_land,1,444.648,445.846,1.198
KH2X,slot_dead_land,slot_animals,0,447.768,448.753,0.985
KH2X,slot_animals,slot_carbon_dioxide,0,486.05,489.001,2.951
KH2X,slot_algae,slot_animals,0,494.639,495.994,1.355
KH2X,slot_decomposers_ocean,slot_dead_land,0,508.063,509.98,1.917
KH2X,slot_dead_land,slot_decomposers_ocean,0,512.668,514.043,1.375
KH2X,slot_dead_ocean,slot_algae,0,516.323,517.121,0.798
KH2X,slot_algae,slot_dead_ocean,1,518.708,519.395,0.687
KH2X,slot_decomposers_ocean,slot_carbon_dioxide,1,539.221,540.55,1.329
KH2X,slot_carbon_dioxide,slot_algae,1,543.62,544.823,1.203
KH2X,slot_carbon_dioxide,slot_atmosphere,1,547.453,548.394,0.941
KH2X,slot_atmosphere,slot_carbon_dioxide,1,549.801,551.238,1.437
KH2X,slot_dead_land,slot_animals,0,580.842,581.716,0.874
KH2X,slot_animals,slot_plants,0,583.225,584.157,0.932
KH2X,slot_plants,slot_decomposers_land,0,585.559,586.128,0.569
KH2X,slot_decomposers_land,slot_plants,0,587.406,587.888,0.482
KH2X,slot_decomposers_land,slot_animals,0,589.027,589.807,0.78
KH2X,slot_animals,slot_atmosphere,1,591.141,591.86,0.719
KH2X,slot_atmosphere,slot_plants,1,595.234,595.773,0.539
KH2X,slot_plants,slot_atmosphere,1,598.196,599.017,0.821
KH2X,slot_dead_land,slot_plants,0,602.59,603.134,0.544
KH2X,slot_plants,slot_dead_land,1,604.413,604.972,0.559
KH2X,slot_atmosphere,slot_decomposers_land,0,626.514,627.432,0.918
KH2X,slot_decomposers_land,slot_atmosphere,1,628.757,629.365,0.608
