student,source,target,valid,start,end,duration
KK63,slot_plants,slot_atmosphere,1,14.494,15.326,0.832
KK63,slot_animals,slot_atmosphere,1,18.903,19.336,0.433
KK63,slot_atmosphere,slot_plants,1,21.117,21.81,0.693
KK63,slot_atmosphere,slot_animals,0,22.819,23.262,0.443
KK63,slot_algae,slot_atmosphere,0,26.393,26.946,0.553
KK63,slot_factory,slot_atmosphere,1,34.133,34.964,0.831
KK63,slot_decomposers_land,slot_dead_land,1,38.994,39.288,0.294
KK63,slot_dead_land,slot_factory,0,40.393,41.599,1.206
KK63,slot_fossil_fuel,slot_atmosphere,0,48.116,48.877,0.761
KK63,slot_fossil_fuel,slot_factory,1,50.48,51.231,0.751
KK63,slot_decomposers_ocean,slot_dead_ocean,1,61.719,62.006,0.287
KK63,slot_algae,slot_fish,1,71.502,71.797,0.295
KK63,slot_fish,slot_carbon_dioxide,1,80.724,81.003,0.279
KK63,slot_dead_ocean,slot_fossil_fuel,0,86.384,87.016,0.632
KK63,slot_dead_ocean,slot_fossil_fuel,0,88.935,90.641,1.706
KK63,slot_dead_ocean,slot_dead_land,0,92.326,97.103,4.777
KK63,slot_fish,slot_algae,0,103.927,104.567,0.64
KK63,slot_decomposers_ocean,slot_fish,0,107.323,107.725,0.402
KK63,slot_carbon_dioxide,slot_atmosphere,1,111.088,111.596,0.508
KK63,slot_plants,slot_animals,1,119.847,120.193,0.346
KK63,slot_dead_land,slot_animals,0,125.26,125.861,0.601
KK63,slot_dead_land,slot_plants,0,126.966,127.41,0.444
KK63,slot_plants,slot_animals,1,128.913,129.575,0.662
KK63,slot_animals,slot_dead_land,1,130.527,131.283,0.756
KK63,slot_plants,slot_dead_land,1,134.023,136.864,2.841
KK63,slot_dead_land,slot_decomposers_land,1,146.375,146.793,0.418
KK63,slot_carbon_dioxide,slot_decomposers_ocean,0,152.399,153.036,0.637
KK63,slot_atmosphere,slot_carbon_dioxide,1,158.076,158.731,0.655
KK63,slot_atmosphere,slot_decomposers_land,0,162.353,163.773,1.42
KK63,slot_atmosphere,slot_algae,0,165.291,166.294,1.003
KK63,slot_atmosphere,slot_fish,0,168.196,169.007,0.811
KK63,slot_decomposers_land,slot_atmosphere,1,174.621,175.095,0.474
KK63,slot_decomposers_ocean,slot_fish,0,181.585,181.981,0.396
KK63,slot_carbon_dioxide,slot_dead_ocean,0,184.23,184.885,0.655
KK63,slot_algae,slot_dead_ocean,1,192.132,193.154,1.022
KK63,slot_dead_ocean,slot_algae,0,194.365,194.806,0.441
KK63,slot_algae,slot_decomposers_ocean,0,196.31,196.883,0.573
KK63,slot_dead_ocean,slot_decomposers_ocean,1,210.276,210.83,0.554
KK63,slot_dead_ocean,slot_fish,0,214.354,214.763,0.409
KK63,slot_fish,slot_dead_ocean,1,215.519,215.82,0.301
KK63,slot_algae,slot_carbon_dioxide,1,226.921,228.202,1.281
KK63,slot_decomposers_ocean,slot_carbon_dioxide,1,233.181,233.687,0.506
KK63,slot_algae,slot_carbon_dioxide,1,235.481,236.605,1.124
KK63,slot_carbon_dioxide,slot_algae,1,237.509,238.164,0.655
