student,source,target,valid,start,end,duration
KTYJ,slot_factory,slot_atmosphere,1,10.687,11.146,0.459
KTYJ,slot_fossil_fuel,slot_factory,1,18.55,20.071,1.521
KTYJ,slot_decomposers_land,slot_plants,0,25.83,26.37,0.54
KTYJ,slot_dead_land,slot_plants,0,29.027,29.731,0.704
KTYJ,slot_dead_land,slot_atmosphere,0,31.379,32.513,1.134
KTYJ,slot_dead_land,slot_dead_ocean,0,34.626,35.631,1.005
KTYJ,slot_dead_land,slot_algae,0,37.279,37.763,0.484
KTYJ,slot_dead_land,slot_decomposers_land,1,39.342,39.706,0.364
KTYJ,slot_decomposers_land,slot_dead_land,1,41.726,42.279,0.553
KTYJ,slot_atmosphere,slot_plants,1,45.973,48.786,2.813
KTYJ,slot_plants,slot_atmosphere,1,49.755,50.101,0.346
KTYJ,slot_animals,slot_atmosphere,1,52.423,53.179,0.756
KTYJ,slot_atmosphere,slot_animals,0,54.79,55.442,0.652
KTYJ,slot_atmosphere,slot_animals,0,57.603,57.872,0.269
KTYJ,slot_atmosphere,slot_carbon_dioxide,1,59.469,59.98,0.511
KTYJ,slot_carbon_dioxide,slot_atmosphere,1,62.437,65.294,2.857
KTYJ,slot_fish,slot_algae,0,68.537,68.936,0.399
KTYJ,slot_algae,slot_fish,1,69.734,70.05,0.316
KTYJ,slot_algae,slot_atmosphere,0,71.251,71.935,0.684
KTYJ,slot_atmosphere,slot_algae,0,76.749,78.324,1.575
KTYJ,slot_decomposers_land,slot_carbon_dioxide,0,82.746,84.634,1.888
KTYJ,slot_carbon_dioxide,slot_animals,0,87.132,87.718,0.586
KTYJ,slot_carbon_dioxide,slot_plants,0,89.047,89.885,0.838
KTYJ,slot_carbon_dioxide,slot_dead_ocean,0,91.779,92.087,0.308
KTYJ,slot_algae,slot_carbon_dioxide,1,93.919,94.32,0.401
KTYJ,slot_carbon_dioxide,slot_algae,1,95.814,96.711,0.897
KTYJ,slot_decomposers_ocean,slot_dead_ocean,1,100.179,101.099,0.92
KTYJ,slot_dead_ocean,slot_decomposers_ocean,1,103.12,103.777,0.657
KTYJ,slot_dead_land,slot_animals,0,108.725,108.905,0.18
KTYJ,slot_animals,slot_dead_land,1,110.629,111.059,0.43
KTYJ,slot_animals,slot_decomposers_land,0,118.799,119.326,0.527
KTYJ,slot_decomposers_land,slot_plants,0,120.255,121.963,1.708
KTYJ,slot_plants,slot_decomposers_land,0,126.081,128.337,2.256
KTYJ,slot_plants,slot_decomposers_land,0,131.716,132.103,0.387
KTYJ,slot_dead_ocean,slot_dead_land,0,153.387,159.269,5.882
KTYJ,slot_dead_ocean,slot_algae,0,162.177,163.067,0.89
KTYJ,slot_dead_ocean,slot_fish,0,168.465,168.871,0.406
KTYJ,slot_fish,slot_algae,0,169.909,170.208,0.299
KTYJ,slot_algae,slot_fish,1,171.187,171.624,0.437
KTYJ,slot_decomposers_land,slot_animals,0,180.817,183.103,2.286
KTYJ,slot_plants,slot_decomposers_land,0,191.704,194.636,2.932
KTYJ,slot_carbon_dioxide,slot_fish,0,196.836,197.266,0.43
KTYJ,slot_decomposers_ocean,slot_carbon_dioxide,1,199.466,200.134,0.668
KTYJ,slot_fish,slot_carbon_dioxide,1,207.327,207.795,0.468
KTYJ,slot_fish,slot_dead_ocean,1,209.742,210.321,0.579
KTYJ,slot_algae,slot_dead_ocean,1,211.808,212.367,0.559
KTYJ,slot_dead_land,slot_animals,0,214.491,214.866,0.375
KTYJ,slot_plants,slot_dead_land,1,216.54,217.364,0.824
KTYJ,slot_plants,slot_decomposers_land,0,218.889,219.45,0.561
KTYJ,slot_decomposers_land,slot_plants,0,220.694,222.141,1.447
KTYJ,slot_decomposers_land,slot_animals,0,223.543,224.54,0.997
KTYJ,slot_plants,slot_decomposers_land,0,225.875,227.078,1.203
KTYJ,slot_atmosphere,slot_animals,0,228.617,229.466,0.849
KTYJ,slot_atmosphere,slot_decomposers_land,0,230.727,233.052,2.325
KTYJ,slot_decomposers_land,slot_atmosphere,1,235.851,238.73,2.879
KTYJ,slot_animals,slot_plants,0,243.329,243.768,0.439
KTYJ,slot_plants,slot_animals,1,249.343,250.814,1.471
