student,source,target,valid,start,end,duration
M964,slot_fossil_fuel,slot_factory,1,8.809,10.43,1.621
M964,slot_factory,slot_atmosphere,1,13.846,14.629,0.783
M964,slot_atmosphere,slot_carbon_dioxide,1,17.896,19.446,1.55
M964,slot_carbon_dioxide,slot_algae,1,21.233,21.983,0.75
M964,slot_carbon_dioxide,slot_fish,0,23.356,23.757,0.401
M964,slot_algae,slot_fish,1,25.817,26.263,0.446
M964,slot_fish,slot_dead_ocean,1,28.034,28.64,0.606
M964,slot_fish,slot_decomposers_ocean,0,31.054,32.013,0.959
M964,slot_carbon_dioxide,slot_decomposers_ocean,0,33.221,34.247,1.026
M964,slot_decomposers_ocean,slot_dead_ocean,1,35.697,36.698,1.001
M964,slot_decomposers_ocean,slot_algae,0,40.009,40.892,0.883
M964,slot_fish,slot_decomposers_ocean,0,45.76,46.178,0.418
M964,slot_fish,slot_algae,0,49.528,49.931,0.403
M964,slot_carbon_dioxide,slot_decomposers_ocean,0,54.167,56.103,1.936
M964,slot_decomposers_ocean,slot_carbon_dioxide,1,57.089,57.557,0.468
M964,slot_fish,slot_dead_ocean,1,80.327,82.134,1.807
M964,slot_fish,slot_carbon_dioxide,1,84.314,84.681,0.367
M964,slot_decomposers_ocean,slot_algae,0,90.801,91.545,0.744
M964,slot_algae,slot_decomposers_ocean,0,92.434,93.255,0.821
M964,slot_dead_ocean,slot_decomposers_ocean,1,94.653,95.168,0.515
M964,slot_dead_ocean,slot_algae,0,102.739,103.144,0.405
M964,slot_algae,slot_dead_ocean,1,104.03,104.613,0.583
M964,slot_algae,slot_carbon_dioxide,1,106.76,107.562,0.802
M964,slot_carbon_dioxide,slot_animals,0,111.727,112.589,0.862
M964,slot_animals,slot_carbon_dioxide,0,113.595,114.248,0.653
M964,slot_carbon_dioxide,slot_atmosphere,1,116.747,117.405,0.658
M964,slot_atmosphere,slot_plants,1,120.565,121.252,0.687
M964,slot_atmosphere,slot_animals,0,122.449,122.923,0.474
M964,slot_animals,slot_atmosphere,1,124.015,124.559,0.544
M964,slot_plants,slot_atmosphere,1,126.75,127.656,0.906
M964,slot_plants,slot_animals,1,130.803,131.239,0.436
M964,slot_animals,slot_dead_land,1,133.521,134.562,1.041
M964,slot_decomposers_land,slot_dead_land,1,135.905,136.878,0.973
M964,slot_dead_land,slot_decomposers_land,1,137.756,138.286,0.53
M964,slot_dead_land,slot_plants,0,142.242,142.96,0.718
M964,slot_plants,slot_dead_land,1,143.81,146.22,2.41
M964,slot_decomposers_land,slot_plants,0,151.495,153.471,1.976
M964,slot_decomposers_land,slot_atmosphere,1,157.372,157.943,0.571
