student,source,target,valid,start,end,duration
MBBW,slot_factory,slot_atmosphere,1,16.1,19.772,3.672
MBBW,slot_dead_land,slot_factory,0,35.729,37.654,1.925
MBBW,slot_fossil_fuel,slot_dead_land,0,43.441,44.147,0.706
MBBW,slot_decomposers_land,slot_factory,0,50.927,51.663,0.736
MBBW,slot_factory,slot_decomposers_land,0,53.042,53.996,0.954
MBBW,slot_atmosphere,slot_plants,1,63.649,65.402,1.753
MBBW,slot_animals,slot_atmosphere,1,70.324,71.129,0.805
MBBW,slot_fossil_fuel,slot_decomposers_land,0,80.523,81.717,1.194
MBBW,slot_decomposers_land,slot_dead_land,1,83.941,84.68,0.739
MBBW,slot_dead_land,slot_decomposers_land,1,89.396,91.732,2.336
MBBW,slot_atmosphere,slot_carbon_dioxide,1,105.324,106.407,1.083
MBBW,slot_fossil_fuel,slot_factory,1,110.25,111.438,1.188
MBBW,slot_carbon_dioxide,slot_algae,1,127.895,129.234,1.339
MBBW,slot_carbon_dioxide,slot_decomposers_ocean,0,130.54,131.203,0.663
MBBW,slot_carbon_dioxide,slot_fish,0,132.627,133.017,0.39
MBBW,slot_carbon_dioxide,slot_dead_ocean,0,134.557,135.481,0.924
MBBW,slot_algae,slot_fish,1,143.262,143.643,0.381
MBBW,slot_algae,slot_carbon_dioxide,1,152.834,158.375,5.541
MBBW,slot_atmosphere,slot_plants,1,176.77,177.647,0.877
MBBW,slot_atmosphere,slot_animals,0,179.555,180.223,0.668
MBBW,slot_plants,slot_atmosphere,1,191.586,192.24,0.654
MBBW,slot_animals,slot_atmosphere,1,193.974,194.827,0.853
MBBW,slot_carbon_dioxide,slot_atmosphere,1,196.968,198.132,1.164
MBBW,slot_decomposers_land,slot_atmosphere,1,217.684,218.537,0.853
MBBW,slot_fish,slot_carbon_dioxide,1,226.848,227.392,0.544
MBBW,slot_dead_ocean,slot_fish,0,229.67,230.192,0.522
MBBW,slot_fish,slot_dead_ocean,1,231.45,232.064,0.614
MBBW,slot_decomposers_ocean,slot_carbon_dioxide,1,233.853,239.201,5.348
MBBW,slot_algae,slot_dead_ocean,1,242.053,244.174,2.121
MBBW,slot_dead_ocean,slot_decomposers_ocean,1,247.214,249.934,2.72
MBBW,slot_decomposers_ocean,slot_dead_ocean,1,251.661,252.318,0.657
MBBW,slot_animals,slot_dead_land,1,262.381,263.131,0.75
MBBW,slot_plants,slot_dead_land,1,265.857,267.231,1.374
MBBW,slot_plants,slot_animals,1,274.076,276.468,2.392
