student,source,target,valid,start,end,duration
MBKT,slot_factory,slot_plants,0,51.08,52.234,1.154
MBKT,slot_factory,slot_atmosphere,1,55.448,61.127,5.679
MBKT,slot_factory,slot_decomposers_land,0,63.538,64.01,0.472
MBKT,slot_factory,slot_fossil_fuel,0,65.653,67.14,1.487
MBKT,slot_factory,slot_animals,0,69.865,70.682,0.817
MBKT,slot_factory,slot_carbon_dioxide,0,72.929,73.72,0.791
MBKT,slot_factory,slot_plants,0,77.296,78.1,0.804
MBKT,slot_factory,slot_dead_land,0,79.924,80.781,0.857
MBKT,slot_factory,slot_algae,0,82.707,83.83,1.123
MBKT,slot_factory,slot_fish,0,85.775,86.678,0.903
MBKT,slot_factory,slot_atmosphere,1,88.219,90.412,2.193
MBKT,slot_factory,slot_dead_ocean,0,92.534,93.351,0.817
MBKT,slot_factory,slot_atmosphere,1,94.813,95.282,0.469
MBKT,slot_factory,slot_decomposers_ocean,0,96.897,97.785,0.888
MBKT,slot_plants,slot_atmosphere,1,111.184,111.867,0.683
MBKT,slot_plants,slot_animals,1,114.134,115.381,1.247
MBKT,slot_plants,slot_carbon_dioxide,0,117.03,117.798,0.768
MBKT,slot_plants,slot_dead_land,1,119.56,120.139,0.579
MBKT,slot_plants,slot_decomposers_land,0,122.843,123.554,0.711
MBKT,slot_plants,slot_factory,0,126.256,126.774,0.518
MBKT,slot_plants,slot_algae,0,128.954,129.625,0.671
MBKT,slot_plants,slot_carbon_dioxide,0,131.337,132.746,1.409
MBKT,slot_plants,slot_algae,0,138.597,140.964,2.367
MBKT,slot_fossil_fuel,slot_factory,1,143.076,144.249,1.173
MBKT,slot_decomposers_land,slot_dead_land,1,146.226,146.813,0.587
MBKT,slot_dead_land,slot_decomposers_land,1,148.095,148.738,0.643
MBKT,slot_dead_land,slot_plants,0,151.642,152.925,1.283
MBKT,slot_decomposers_land,slot_plants,0,154.855,158.196,3.341
MBKT,slot_animals,slot_plants,0,160.063,160.32,0.257
MBKT,slot_animals,slot_decomposers_land,0,164.146,165.656,1.51
MBKT,slot_decomposers_land,slot_animals,0,166.56,168.004,1.444
MBKT,slot_animals,slot_carbon_dioxide,0,169.23,170.434,1.204
MBKT,slot_animals,slot_atmosphere,1,172.071,172.547,0.476
MBKT,slot_atmosphere,slot_animals,0,173.788,175.664,1.876
MBKT,slot_atmosphere,slot_plants,1,177.07,177.704,0.634
MBKT,slot_atmosphere,slot_factory,0,179.765,181.13,1.365
MBKT,slot_atmosphere,slot_carbon_dioxide,1,182.779,184.288,1.509
MBKT,slot_carbon_dioxide,slot_atmosphere,1,187.16,187.985,0.825
MBKT,slot_atmosphere,slot_algae,0,189.743,190.997,1.254
MBKT,slot_fish,slot_atmosphere,0,193.772,195.873,2.101
MBKT,slot_fish,slot_carbon_dioxide,1,199.666,203.191,3.525
MBKT,slot_carbon_dioxide,slot_algae,1,205.23,205.869,0.639
MBKT,slot_algae,slot_carbon_dioxide,1,211.361,212.339,0.978
MBKT,slot_carbon_dioxide,slot_decomposers_ocean,0,213.863,214.598,0.735
MBKT,slot_decomposers_ocean,slot_carbon_dioxide,1,215.857,216.6,0.743
MBKT,slot_decomposers_ocean,slot_fish,0,218.742,219.255,0.513
MBKT,slot_decomposers_ocean,slot_dead_ocean,1,220.689,221.266,0.577
MBKT,slot_dead_ocean,slot_decomposers_ocean,1,222.514,225.315,2.801
MBKT,slot_fish,slot_dead_ocean,1,227.311,227.801,0.49
MBKT,slot_dead_ocean,slot_fish,0,228.92,229.864,0.944
MBKT,slot_algae,slot_dead_ocean,1,232.032,232.589,0.557
MBKT,slot_algae,slot_fish,1,235.839,236.895,1.056
MBKT,slot_dead_land,slot_animals,0,242.568,245.154,2.586
MBKT,slot_dead_land,slot_decomposers_land,1,247.379,248.212,0.833
MBKT,slot_dead_land,slot_decomposers_land,1,251.784,253.295,1.511
MBKT,slot_decomposers_land,slot_animals,0,254.43,255.515,1.085
MBKT,slot_animals,slot_plants,0,256.993,257.328,0.335
MBKT,slot_animals,slot_decomposers_land,0,258.778,259.689,0.911
MBKT,slot_animals,slot_dead_land,1,261.356,262.165,0.809
MBKT,slot_decomposers_land,slot_atmosphere,1,264.565,266.757,2.192
