student,source,target,valid,start,end,duration
MCZJ,slot_factory,slot_atmosphere,1,17.281,18.654,1.373
MCZJ,slot_atmosphere,slot_factory,0,20.271,20.931,0.66
MCZJ,slot_atmosphere,slot_factory,0,22.777,23.819,1.042
MCZJ,slot_atmosphere,slot_plants,1,25.142,26.061,0.919
MCZJ,slot_atmosphere,slot_animals,0,28.606,30.375,1.769
MCZJ,slot_atmosphere,slot_carbon_dioxide,1,33.29,35.363,2.073
MCZJ,slot_decomposers_ocean,slot_carbon_dioxide,1,39.143,40.0,0.857
MCZJ,slot_dead_ocean,slot_algae,0,42.788,44.089,1.301
MCZJ,slot_dead_ocean,slot_fish,0,45.884,46.583,0.699
MCZJ,slot_algae,slot_dead_ocean,1,48.15,48.928,0.778
MCZJ,slot_algae,slot_fish,1,52.038,52.895,0.857
MCZJ,slot_fish,slot_carbon_dioxide,1,55.781,56.436,0.655
MCZJ,slot_dead_land,slot_animals,0,59.709,62.797,3.088
MCZJ,slot_animals,slot_plants,0,64.78,65.154,0.374
MCZJ,slot_animals,slot_dead_land,1,66.789,68.206,1.417
MCZJ,slot_animals,slot_plants,0,70.619,71.234,0.615
MCZJ,slot_plants,slot_animals,1,72.552,73.556,1.004
MCZJ,slot_decomposers_land,slot_plants,0,76.256,77.428,1.172
MCZJ,slot_plants,slot_dead_land,1,78.906,81.568,2.662
MCZJ,slot_animals,slot_decomposers_land,0,85.002,87.046,2.044
MCZJ,slot_plants,slot_decomposers_land,0,88.923,93.548,4.625
MCZJ,slot_decomposers_land,slot_fossil_fuel,0,95.287,97.342,2.055
MCZJ,slot_fossil_fuel,slot_decomposers_land,0,99.487,100.218,0.731
MCZJ,slot_fossil_fuel,slot_dead_ocean,0,102.994,105.413,2.419
MCZJ,slot_dead_ocean,slot_decomposers_ocean,1,107.257,109.32,2.063
MCZJ,slot_decomposers_ocean,slot_fish,0,111.988,113.147,1.159
MCZJ,slot_fish,slot_decomposers_ocean,0,114.103,114.798,0.695
MCZJ,slot_carbon_dioxide,slot_algae,1,117.923,120.1,2.177
MCZJ,slot_carbon_dioxide,slot_animals,0,122.583,123.825,1.242
MCZJ,slot_animals,slot_fish,0,127.026,128.887,1.861
MCZJ,slot_animals,slot_algae,0,130.428,131.939,1.511
MCZJ,slot_plants,slot_factory,0,136.074,136.898,0.824
MCZJ,slot_fossil_fuel,slot_factory,1,141.02,142.491,1.471
MCZJ,slot_atmosphere,slot_animals,0,150.074,150.971,0.897
MCZJ,slot_animals,slot_atmosphere,1,154.44,155.495,1.055
MCZJ,slot_dead_land,slot_atmosphere,0,158.073,160.343,2.27
MCZJ,slot_atmosphere,slot_dead_land,0,161.689,162.755,1.066
MCZJ,slot_decomposers_land,slot_atmosphere,1,165.563,167.789,2.226
MCZJ,slot_decomposers_land,slot_dead_ocean,0,170.091,176.148,6.057
MCZJ,slot_fish,slot_decomposers_ocean,0,180.526,182.524,1.998
MCZJ,slot_decomposers_ocean,slot_dead_ocean,1,183.968,184.835,0.867
MCZJ,slot_fish,slot_carbon_dioxide,1,187.37,189.243,1.873
MCZJ,slot_carbon_dioxide,slot_dead_land,0,191.991,195.051,3.06
MCZJ,slot_dead_land,slot_carbon_dioxide,0,196.617,197.935,1.318
MCZJ,slot_decomposers_land,slot_algae,0,200.753,206.838,6.085
MCZJ,slot_dead_ocean,slot_algae,0,210.245,212.002,1.757
MCZJ,slot_fish,slot_plants,0,213.593,218.334,4.741
MCZJ,slot_atmosphere,slot_dead_land,0,225.722,227.538,1.816
MCZJ,slot_algae,slot_dead_land,0,235.917,237.682,1.765
MCZJ,slot_algae,slot_atmosphere,0,239.638,240.522,0.884
MCZJ,slot_atmosphere,slot_algae,0,241.557,242.67,1.113
MCZJ,slot_dead_ocean,slot_fish,0,244.977,245.698,0.721
MCZJ,slot_fish,slot_dead_ocean,1,247.025,247.482,0.457
MCZJ,slot_algae,slot_carbon_dioxide,1,254.266,255.382,1.116
MCZJ,slot_carbon_dioxide,slot_dead_land,0,258.04,259.628,1.588
MCZJ,slot_dead_land,slot_carbon_dioxide,0,260.95,262.638,1.688
MCZJ,slot_plants,slot_carbon_dioxide,0,265.352,267.397,2.045
MCZJ,slot_carbon_dioxide,slot_plants,0,268.734,270.248,1.514
MCZJ,slot_decomposers_land,slot_atmosphere,1,272.39,275.106,2.716
MCZJ,slot_dead_land,slot_atmosphere,0,279.299,280.678,1.379
MCZJ,slot_carbon_dioxide,slot_plants,0,303.684,305.504,1.82
MCZJ,slot_plants,slot_carbon_dioxide,0,306.878,308.024,1.146
MCZJ,slot_dead_land,slot_carbon_dioxide,0,310.135,311.191,1.056
MCZJ,slot_dead_land,slot_plants,0,316.898,318.029,1.131
MCZJ,slot_dead_land,slot_animals,0,321.093,321.865,0.772
MCZJ,slot_dead_land,slot_plants,0,323.545,324.633,1.088
MCZJ,slot_decomposers_land,slot_plants,0,326.263,327.564,1.301
MCZJ,slot_plants,slot_decomposers_land,0,328.939,329.706,0.767
MCZJ,slot_plants,slot_atmosphere,1,362.543,366.165,3.622
MCZJ,slot_decomposers_land,slot_dead_land,1,370.411,371.298,0.887
MCZJ,slot_dead_land,slot_decomposers_land,1,373.231,373.966,0.735
MCZJ,slot_atmosphere,slot_carbon_dioxide,1,375.974,376.934,0.96
MCZJ,slot_carbon_dioxide,slot_atmosphere,1,378.288,379.507,1.219
