student,source,target,valid,start,end,duration
MGT4,slot_dead_ocean,slot_fossil_fuel,0,15.652,16.372,0.72
MGT4,slot_algae,slot_fossil_fuel,0,22.011,22.518,0.507
MGT4,slot_carbon_dioxide,slot_fossil_fuel,0,28.087,29.157,1.07
MGT4,slot_factory,slot_atmosphere,1,34.895,35.618,0.723
MGT4,slot_fossil_fuel,slot_factory,1,37.442,38.293,0.851
MGT4,slot_decomposers_land,slot_plants,0,43.067,43.498,0.431
MGT4,slot_animals,slot_decomposers_land,0,45.564,45.974,0.41
MGT4,slot_decomposers_land,slot_animals,0,47.195,48.075,0.88
MGT4,slot_decomposers_land,slot_dead_land,1,51.573,51.966,0.393
MGT4,slot_dead_land,slot_decomposers_land,1,53.309,53.842,0.533
MGT4,slot_dead_land,slot_algae,0,60.733,61.349,0.616
MGT4,slot_fish,slot_dead_land,0,63.925,64.471,0.546
MGT4,slot_decomposers_ocean,slot_dead_land,0,65.972,67.991,2.019
MGT4,slot_dead_ocean,slot_decomposers_land,0,70.183,73.716,3.533
MGT4,slot_decomposers_land,slot_dead_ocean,0,74.993,75.848,0.855
MGT4,slot_carbon_dioxide,slot_algae,1,78.172,78.71,0.538
MGT4,slot_algae,slot_carbon_dioxide,1,81.088,81.677,0.589
MGT4,slot_fish,slot_carbon_dioxide,1,83.671,84.404,0.733
MGT4,slot_carbon_dioxide,slot_fish,0,85.936,86.417,0.481
MGT4,slot_decomposers_ocean,slot_carbon_dioxide,1,87.677,88.182,0.505
MGT4,slot_carbon_dioxide,slot_decomposers_ocean,0,89.225,89.751,0.526
MGT4,slot_dead_ocean,slot_carbon_dioxide,0,95.206,95.665,0.459
MGT4,slot_carbon_dioxide,slot_dead_ocean,0,96.765,97.872,1.107
MGT4,slot_plants,slot_decomposers_land,0,100.049,102.704,2.655
MGT4,slot_plants,slot_carbon_dioxide,0,104.189,108.149,3.96
MGT4,slot_plants,slot_atmosphere,1,110.814,111.253,0.439
MGT4,slot_atmosphere,slot_plants,1,112.412,113.069,0.657
MGT4,slot_atmosphere,slot_carbon_dioxide,1,114.726,115.583,0.857
MGT4,slot_carbon_dioxide,slot_atmosphere,1,117.912,118.353,0.441
MGT4,slot_animals,slot_plants,0,119.807,120.192,0.385
MGT4,slot_animals,slot_atmosphere,1,122.37,123.043,0.673
MGT4,slot_atmosphere,slot_animals,0,124.321,124.826,0.505
MGT4,slot_algae,slot_animals,0,128.891,129.262,0.371
MGT4,slot_plants,slot_animals,1,130.81,131.661,0.851
MGT4,slot_animals,slot_plants,0,132.52,133.527,1.007
MGT4,slot_plants,slot_animals,1,136.165,136.916,0.751
MGT4,slot_dead_land,slot_plants,0,141.892,142.583,0.691
MGT4,slot_decomposers_land,slot_atmosphere,1,146.691,150.374,3.683
MGT4,slot_fish,slot_carbon_dioxide,1,153.68,155.3,1.62
MGT4,slot_decomposers_ocean,slot_fish,0,157.821,158.205,0.384
MGT4,slot_dead_ocean,slot_decomposers_ocean,1,160.351,160.723,0.372
MGT4,slot_decomposers_ocean,slot_dead_ocean,1,161.752,162.662,0.91
MGT4,slot_fish,slot_algae,0,169.722,170.11,0.388
MGT4,slot_algae,slot_fish,1,171.22,171.587,0.367
MGT4,slot_algae,slot_dead_ocean,1,176.913,178.418,1.505
MGT4,slot_dead_ocean,slot_algae,0,179.66,180.378,0.718
MGT4,slot_dead_ocean,slot_fish,0,183.971,185.012,1.041
MGT4,slot_fish,slot_dead_ocean,1,189.797,190.326,0.529
MGT4,slot_animals,slot_dead_land,1,193.726,195.715,1.989
MGT4,slot_plants,slot_dead_land,1,197.576,198.923,1.347
MGT4,slot_plants,slot_atmosphere,1,381.219,381.979,0.76
MGT4,slot_atmosphere,slot_plants,1,383.536,384.048,0.512
MGT4,slot_animals,slot_atmosphere,1,385.664,386.156,0.492
MGT4,slot_carbon_dioxide,slot_atmosphere,1,388.228,388.773,0.545
MGT4,slot_fish,slot_carbon_dioxide,1,390.857,391.952,1.095
MGT4,slot_decomposers_ocean,slot_carbon_dioxide,1,393.287,393.863,0.576
MGT4,slot_algae,slot_carbon_dioxide,1,395.361,395.794,0.433
MGT4,slot_carbon_dioxide,slot_algae,1,397.698,398.593,0.895
MGT4,slot_decomposers_ocean,slot_carbon_dioxide,1,400.076,400.733,0.657
MGT4,slot_carbon_dioxide,slot_decomposers_ocean,0,402.348,403.456,1.108
MGT4,slot_fish,slot_carbon_dioxide,1,405.325,405.962,0.637
MGT4,slot_carbon_dioxide,slot_fish,0,406.673,407.198,0.525
MGT4,slot_dead_ocean,slot_fish,0,409.268,409.684,0.416
MGT4,slot_dead_ocean,slot_decomposers_ocean,1,410.933,411.535,0.602
MGT4,slot_dead_ocean,slot_algae,0,413.412,413.829,0.417
MGT4,slot_algae,slot_fish,1,415.025,415.546,0.521
MGT4,slot_fish,slot_algae,0,416.69,417.237,0.547
MGT4,slot_fish,slot_decomposers_ocean,0,419.77,421.498,1.728
MGT4,slot_fish,slot_dead_ocean,1,422.949,423.602,0.653
MGT4,slot_carbon_dioxide,slot_animals,0,427.677,429.35,1.673
MGT4,slot_animals,slot_plants,0,430.656,431.097,0.441
MGT4,slot_plants,slot_animals,1,432.459,433.305,0.846
MGT4,slot_factory,slot_fossil_fuel,0,435.8,436.703,0.903
MGT4,slot_fossil_fuel,slot_factory,1,438.118,438.805,0.687
MGT4,slot_decomposers_land,slot_factory,0,440.45,440.921,0.471
MGT4,slot_dead_land,slot_factory,0,442.125,442.835,0.71
MGT4,slot_dead_land,slot_animals,0,445.306,447.642,2.336
MGT4,slot_animals,slot_dead_land,1,448.89,449.378,0.488
MGT4,slot_decomposers_land,slot_plants,0,451.325,451.958,0.633
MGT4,slot_decomposers_land,slot_factory,0,454.595,456.834,2.239
MGT4,slot_factory,slot_decomposers_land,0,458.082,459.157,1.075
MGT4,slot_decomposers_land,slot_dead_land,1,461.385,462.124,0.739
MGT4,slot_dead_land,slot_decomposers_land,1,465.248,465.693,0.445
MGT4,slot_plants,slot_decomposers_land,0,469.549,471.514,1.965
MGT4,slot_decomposers_land,slot_plants,0,473.069,473.723,0.654
MGT4,slot_dead_land,slot_plants,0,475.272,476.038,0.766
MGT4,slot_dead_land,slot_atmosphere,0,479.385,480.805,1.42
MGT4,slot_decomposers_land,slot_atmosphere,1,484.288,485.466,1.178
MGT4,slot_factory,slot_atmosphere,1,488.182,488.852,0.67
MGT4,slot_algae,slot_dead_ocean,1,492.929,493.768,0.839
MGT4,slot_dead_ocean,slot_decomposers_ocean,1,496.539,497.405,0.866
MGT4,slot_decomposers_ocean,slot_carbon_dioxide,1,498.744,499.176,0.432
MGT4,slot_carbon_dioxide,slot_decomposers_ocean,0,500.288,500.929,0.641
MGT4,slot_dead_ocean,slot_decomposers_ocean,1,502.692,503.046,0.354
MGT4,slot_decomposers_ocean,slot_dead_ocean,1,504.363,504.787,0.424
MGT4,slot_carbon_dioxide,slot_atmosphere,1,507.109,507.669,0.56
MGT4,slot_atmosphere,slot_carbon_dioxide,1,508.743,509.461,0.718
MGT4,slot_plants,slot_dead_land,1,513.185,514.233,1.048
