student,source,target,valid,start,end,duration
P3XV,slot_fossil_fuel,slot_factory,1,31.23,33.551,2.321
P3XV,slot_factory,slot_atmosphere,1,41.497,42.033,0.536
P3XV,slot_atmosphere,slot_plants,1,45.1,45.667,0.567
P3XV,slot_atmosphere,slot_animals,0,46.891,47.438,0.547
P3XV,slot_animals,slot_atmosphere,1,49.348,49.861,0.513
P3XV,slot_atmosphere,slot_algae,0,56.581,57.849,1.268
P3XV,slot_atmosphere,slot_carbon_dioxide,1,59.718,60.603,0.885
P3XV,slot_carbon_dioxide,slot_algae,1,61.698,62.302,0.604
P3XV,slot_carbon_dioxide,slot_fish,0,65.205,68.872,3.667
P3XV,slot_fish,slot_carbon_dioxide,1,71.822,72.464,0.642
P3XV,slot_carbon_dioxide,slot_decomposers_ocean,0,75.883,76.501,0.618
P3XV,slot_decomposers_ocean,slot_carbon_dioxide,1,77.447,78.452,1.005
P3XV,slot_decomposers_ocean,slot_dead_ocean,1,80.978,81.547,0.569
P3XV,slot_dead_ocean,slot_dead_land,0,82.926,89.52,6.594
P3XV,slot_dead_ocean,slot_algae,0,92.68,94.401,1.721
P3XV,slot_algae,slot_dead_ocean,1,95.773,96.294,0.521
P3XV,slot_fish,slot_dead_ocean,1,98.839,99.603,0.764
P3XV,slot_algae,slot_atmosphere,0,106.104,106.751,0.647
P3XV,slot_plants,slot_animals,1,112.977,116.312,3.335
P3XV,slot_animals,slot_decomposers_land,0,120.183,124.166,3.983
P3XV,slot_dead_land,slot_decomposers_land,1,126.406,127.008,0.602
P3XV,slot_decomposers_land,slot_plants,0,130.505,131.977,1.472
P3XV,slot_plants,slot_decomposers_land,0,135.026,138.705,3.679
P3XV,slot_carbon_dioxide,slot_atmosphere,1,158.224,158.863,0.639
P3XV,slot_atmosphere,slot_algae,0,162.546,168.624,6.078
P3XV,slot_atmosphere,slot_dead_land,0,171.483,172.456,0.973
P3XV,slot_decomposers_land,slot_atmosphere,1,183.689,191.571,7.882
P3XV,slot_dead_land,slot_atmosphere,0,194.928,197.128,2.2
P3XV,slot_atmosphere,slot_dead_land,0,199.041,200.574,1.533
P3XV,slot_fish,slot_algae,0,209.386,210.79,1.404
P3XV,slot_algae,slot_fish,1,212.877,214.368,1.491
P3XV,slot_algae,slot_decomposers_ocean,0,222.664,224.846,2.182
P3XV,slot_decomposers_ocean,slot_algae,0,230.17,230.91,0.74
P3XV,slot_dead_land,slot_plants,0,238.125,238.369,0.244
P3XV,slot_plants,slot_dead_land,1,251.365,261.33,9.965
P3XV,slot_plants,slot_decomposers_land,0,290.721,291.242,0.521
P3XV,slot_animals,slot_plants,0,300.535,301.272,0.737
P3XV,slot_algae,slot_atmosphere,0,310.183,310.591,0.408
P3XV,slot_carbon_dioxide,slot_algae,1,313.576,314.219,0.643
P3XV,slot_carbon_dioxide,slot_animals,0,315.93,316.949,1.019
P3XV,slot_carbon_dioxide,slot_decomposers_ocean,0,319.623,319.922,0.299
P3XV,slot_decomposers_ocean,slot_dead_ocean,1,321.839,322.133,0.294
P3XV,slot_decomposers_ocean,slot_dead_ocean,1,324.542,325.379,0.837
P3XV,slot_decomposers_ocean,slot_algae,0,327.341,328.195,0.854
P3XV,slot_carbon_dioxide,slot_dead_ocean,0,330.296,331.33,1.034
P3XV,slot_decomposers_ocean,slot_dead_ocean,1,333.531,333.797,0.266
P3XV,slot_decomposers_ocean,slot_carbon_dioxide,1,336.451,337.157,0.706
P3XV,slot_atmosphere,slot_animals,0,364.371,364.662,0.291
P3XV,slot_atmosphere,slot_algae,0,372.865,373.843,0.978
P3XV,slot_atmosphere,slot_decomposers_ocean,0,376.703,378.407,1.704
P3XV,slot_plants,slot_atmosphere,1,380.948,381.547,0.599
P3XV,slot_dead_land,slot_animals,0,388.423,389.064,0.641
P3XV,slot_animals,slot_dead_land,1,390.835,391.701,0.866
P3XV,slot_decomposers_land,slot_dead_land,1,393.934,394.696,0.762
P3XV,slot_algae,slot_carbon_dioxide,1,398.965,399.567,0.602
P3XV,slot_decomposers_ocean,slot_dead_ocean,1,401.852,402.673,0.821
P3XV,slot_dead_ocean,slot_fish,0,404.494,411.662,7.168
P3XV,slot_dead_ocean,slot_decomposers_ocean,1,413.992,414.575,0.583
