student,source,target,valid,start,end,duration
R7Y2,slot_dead_land,slot_fossil_fuel,0,26.09,26.752,0.662
R7Y2,slot_dead_land,slot_fossil_fuel,0,28.137,28.637,0.5
R7Y2,slot_fossil_fuel,slot_factory,1,34.095,35.418,1.323
R7Y2,slot_factory,slot_atmosphere,1,37.975,38.689,0.714
R7Y2,slot_plants,slot_atmosphere,1,42.836,45.324,2.488
R7Y2,slot_animals,slot_atmosphere,1,50.142,50.934,0.792
R7Y2,slot_decomposers_land,slot_atmosphere,1,52.506,54.359,1.853
R7Y2,slot_dead_land,slot_atmosphere,0,55.402,55.988,0.586
R7Y2,slot_dead_land,slot_dead_ocean,0,58.099,59.473,1.374
R7Y2,slot_dead_land,slot_decomposers_land,1,61.527,62.048,0.521
R7Y2,slot_dead_land,slot_plants,0,63.743,64.491,0.748
R7Y2,slot_dead_land,slot_animals,0,65.497,65.983,0.486
R7Y2,slot_dead_land,slot_dead_ocean,0,68.271,69.582,1.311
R7Y2,slot_dead_land,slot_atmosphere,0,70.699,71.468,0.769
R7Y2,slot_dead_land,slot_algae,0,73.812,74.411,0.599
R7Y2,slot_dead_land,slot_carbon_dioxide,0,75.195,75.615,0.42
R7Y2,slot_dead_land,slot_fish,0,76.549,76.997,0.448
R7Y2,slot_dead_land,slot_plants,0,78.026,78.977,0.951
R7Y2,slot_animals,slot_dead_land,1,81.371,81.703,0.332
R7Y2,slot_plants,slot_dead_land,1,82.837,83.213,0.376
R7Y2,slot_dead_land,slot_decomposers_ocean,0,90.025,90.832,0.807
R7Y2,slot_atmosphere,slot_dead_land,0,93.853,95.057,1.204
R7Y2,slot_dead_land,slot_atmosphere,0,101.41,102.692,1.282
R7Y2,slot_atmosphere,slot_dead_land,0,103.541,106.495,2.954
R7Y2,slot_dead_land,slot_algae,0,107.356,107.859,0.503
R7Y2,slot_dead_land,slot_carbon_dioxide,0,108.851,109.505,0.654
R7Y2,slot_dead_land,slot_fish,0,110.764,111.483,0.719
R7Y2,slot_dead_land,slot_dead_ocean,0,112.532,113.006,0.474
R7Y2,slot_decomposers_ocean,slot_dead_land,0,113.845,114.396,0.551
R7Y2,slot_dead_ocean,slot_dead_land,0,115.625,116.566,0.941
R7Y2,slot_algae,slot_dead_land,0,117.54,117.871,0.331
R7Y2,slot_fish,slot_dead_land,0,120.153,121.557,1.404
R7Y2,slot_carbon_dioxide,slot_dead_land,0,123.518,125.734,2.216
R7Y2,slot_algae,slot_fish,1,128.176,129.731,1.555
R7Y2,slot_fish,slot_carbon_dioxide,1,131.056,140.778,9.722
R7Y2,slot_decomposers_ocean,slot_carbon_dioxide,1,142.328,142.849,0.521
R7Y2,slot_dead_ocean,slot_carbon_dioxide,0,144.055,144.801,0.746
R7Y2,slot_algae,slot_carbon_dioxide,1,148.386,148.907,0.521
R7Y2,slot_carbon_dioxide,slot_algae,1,149.821,150.907,1.086
R7Y2,slot_carbon_dioxide,slot_decomposers_ocean,0,153.665,158.217,4.552
R7Y2,slot_carbon_dioxide,slot_decomposers_ocean,0,160.185,162.145,1.96
R7Y2,slot_carbon_dioxide,slot_dead_ocean,0,165.262,165.626,0.364
R7Y2,slot_dead_ocean,slot_carbon_dioxide,0,166.2,166.853,0.653
R7Y2,slot_dead_ocean,slot_decomposers_ocean,1,168.207,168.864,0.657
R7Y2,slot_dead_ocean,slot_algae,0,174.558,175.051,0.493
R7Y2,slot_dead_ocean,slot_fish,0,182.872,183.657,0.785
R7Y2,slot_dead_ocean,slot_atmosphere,0,186.584,187.073,0.489
R7Y2,slot_atmosphere,slot_carbon_dioxide,1,187.704,188.355,0.651
R7Y2,slot_atmosphere,slot_algae,0,192.727,194.135,1.408
R7Y2,slot_atmosphere,slot_fish,0,195.224,196.2,0.976
R7Y2,slot_atmosphere,slot_decomposers_ocean,0,197.105,197.909,0.804
R7Y2,slot_carbon_dioxide,slot_atmosphere,1,200.85,202.537,1.687
R7Y2,slot_atmosphere,slot_animals,0,214.716,216.171,1.455
R7Y2,slot_atmosphere,slot_plants,1,217.479,217.803,0.324
R7Y2,slot_dead_ocean,slot_algae,0,233.81,234.369,0.559
R7Y2,slot_algae,slot_dead_ocean,1,234.99,235.468,0.478
R7Y2,slot_fish,slot_dead_ocean,1,238.002,238.434,0.432
R7Y2,slot_dead_land,slot_animals,0,240.549,241.27,0.721
R7Y2,slot_decomposers_land,slot_dead_land,1,250.926,251.436,0.51
R7Y2,slot_plants,slot_animals,1,257.228,258.577,1.349
R7Y2,slot_dead_ocean,slot_decomposers_ocean,1,260.648,261.202,0.554
R7Y2,slot_decomposers_ocean,slot_dead_ocean,1,263.155,263.78,0.625
