student,source,target,valid,start,end,duration
RCW6,slot_factory,slot_plants,0,18.684,19.273,0.589
RCW6,slot_plants,slot_factory,0,20.406,21.201,0.795
RCW6,slot_factory,slot_decomposers_land,0,23.848,24.497,0.649
RCW6,slot_fossil_fuel,slot_factory,1,25.989,26.82,0.831
RCW6,slot_factory,slot_fossil_fuel,0,30.523,31.238,0.715
RCW6,slot_factory,slot_atmosphere,1,32.609,33.165,0.556
RCW6,slot_atmosphere,slot_factory,0,34.757,35.37,0.613
RCW6,slot_atmosphere,slot_plants,1,36.544,37.034,0.49
RCW6,slot_atmosphere,slot_animals,0,38.5,39.025,0.525
RCW6,slot_animals,slot_atmosphere,1,39.937,40.571,0.634
RCW6,slot_animals,slot_dead_land,1,42.068,42.385,0.317
RCW6,slot_plants,slot_dead_land,1,43.94,44.346,0.406
RCW6,slot_decomposers_land,slot_plants,0,45.874,46.223,0.349
RCW6,slot_plants,slot_decomposers_land,0,47.364,47.76,0.396
RCW6,slot_dead_land,slot_decomposers_land,1,49.05,49.354,0.304
RCW6,slot_decomposers_land,slot_dead_land,1,50.45,51.004,0.554
RCW6,slot_decomposers_land,slot_factory,0,54.358,54.794,0.436
RCW6,slot_dead_ocean,slot_algae,0,64.674,65.055,0.381
RCW6,slot_fish,slot_dead_ocean,1,66.213,66.627,0.414
RCW6,slot_decomposers_ocean,slot_dead_ocean,1,67.836,68.254,0.418
RCW6,slot_carbon_dioxide,slot_decomposers_ocean,0,69.737,70.412,0.675
RCW6,slot_decomposers_ocean,slot_carbon_dioxide,1,71.559,72.073,0.514
RCW6,slot_fish,slot_carbon_dioxide,1,73.305,73.631,0.326
RCW6,slot_algae,slot_carbon_dioxide,1,74.924,75.337,0.413
RCW6,slot_algae,slot_animals,0,76.56,77.111,0.551
RCW6,slot_algae,slot_dead_land,0,78.379,79.053,0.674
RCW6,slot_algae,slot_dead_ocean,1,80.492,81.039,0.547
RCW6,slot_dead_ocean,slot_algae,0,82.303,82.726,0.423
RCW6,slot_dead_ocean,slot_fish,0,83.793,84.179,0.386
RCW6,slot_dead_ocean,slot_decomposers_ocean,1,85.246,85.819,0.573
RCW6,slot_atmosphere,slot_carbon_dioxide,1,92.977,93.51,0.533
RCW6,slot_carbon_dioxide,slot_atmosphere,1,96.054,96.707,0.653
RCW6,slot_carbon_dioxide,slot_decomposers_ocean,0,98.357,99.18,0.823
RCW6,slot_fish,slot_atmosphere,0,100.457,100.972,0.515
RCW6,slot_algae,slot_atmosphere,0,102.515,103.002,0.487
RCW6,slot_atmosphere,slot_algae,0,104.267,104.766,0.499
RCW6,slot_animals,slot_algae,0,105.941,106.294,0.353
RCW6,slot_algae,slot_animals,0,107.253,107.643,0.39
RCW6,slot_plants,slot_animals,1,108.735,109.089,0.354
RCW6,slot_plants,slot_decomposers_land,0,110.762,111.321,0.559
RCW6,slot_decomposers_land,slot_plants,0,113.33,113.706,0.376
RCW6,slot_plants,slot_atmosphere,1,116.647,117.013,0.366
RCW6,slot_algae,slot_fish,1,120.169,121.074,0.905
RCW6,slot_carbon_dioxide,slot_algae,1,122.893,123.459,0.566
RCW6,slot_decomposers_land,slot_atmosphere,1,125.637,126.133,0.496
