student,source,target,valid,start,end,duration
T4YH,slot_factory,slot_plants,0,12.846,13.142,0.296
T4YH,slot_factory,slot_fossil_fuel,0,14.638,15.096,0.458
T4YH,slot_factory,slot_decomposers_land,0,17.22,17.508,0.288
T4YH,slot_factory,slot_atmosphere,1,19.152,19.555,0.403
T4YH,slot_atmosphere,slot_plants,1,24.326,24.748,0.422
T4YH,slot_atmosphere,slot_animals,0,26.276,27.097,0.821
T4YH,slot_atmosphere,slot_carbon_dioxide,1,28.537,30.104,1.567
T4YH,slot_atmosphere,slot_decomposers_ocean,0,31.488,35.704,4.216
T4YH,slot_atmosphere,slot_dead_land,0,37.711,38.953,1.242
T4YH,slot_atmosphere,slot_decomposers_land,0,40.724,41.343,0.619
T4YH,slot_atmosphere,slot_fossil_fuel,0,42.737,43.599,0.862
T4YH,slot_atmosphere,slot_algae,0,45.489,46.198,0.709
T4YH,slot_atmosphere,slot_carbon_dioxide,1,47.684,48.198,0.514
T4YH,slot_atmosphere,slot_fish,0,49.531,50.07,0.539
T4YH,slot_atmosphere,slot_decomposers_ocean,0,51.609,52.321,0.712
T4YH,slot_atmosphere,slot_dead_ocean,0,54.024,54.728,0.704
T4YH,slot_fish,slot_atmosphere,0,55.969,56.759,0.79
T4YH,slot_algae,slot_atmosphere,0,58.916,59.61,0.694
T4YH,slot_animals,slot_atmosphere,1,61.38,61.791,0.411
T4YH,slot_decomposers_ocean,slot_atmosphere,0,63.544,64.388,0.844
T4YH,slot_fossil_fuel,slot_atmosphere,0,67.686,68.79,1.104
T4YH,slot_plants,slot_atmosphere,1,72.882,73.337,0.455
T4YH,slot_atmosphere,slot_fossil_fuel,0,77.459,77.79,0.331
T4YH,slot_dead_land,slot_atmosphere,0,79.608,80.049,0.441
T4YH,slot_dead_ocean,slot_atmosphere,0,83.789,84.406,0.617
T4YH,slot_fossil_fuel,slot_dead_land,0,86.566,87.285,0.719
T4YH,slot_fossil_fuel,slot_atmosphere,0,89.13,89.781,0.651
T4YH,slot_atmosphere,slot_fossil_fuel,0,91.988,93.131,1.143
T4YH,slot_fossil_fuel,slot_algae,0,94.389,95.27,0.881
T4YH,slot_algae,slot_fossil_fuel,0,98.266,99.857,1.591
T4YH,slot_algae,slot_dead_land,0,101.187,101.863,0.676
T4YH,slot_algae,slot_plants,0,103.111,103.527,0.416
T4YH,slot_algae,slot_animals,0,104.807,105.267,0.46
T4YH,slot_algae,slot_carbon_dioxide,1,106.371,106.813,0.442
T4YH,slot_algae,slot_fish,1,108.024,108.33,0.306
T4YH,slot_algae,slot_dead_ocean,1,109.685,110.064,0.379
T4YH,slot_algae,slot_decomposers_ocean,0,111.588,112.216,0.628
T4YH,slot_decomposers_ocean,slot_dead_ocean,1,113.618,114.182,0.564
T4YH,slot_decomposers_ocean,slot_fish,0,115.317,115.681,0.364
T4YH,slot_decomposers_ocean,slot_algae,0,116.835,117.696,0.861
T4YH,slot_decomposers_ocean,slot_decomposers_land,0,120.794,124.559,3.765
T4YH,slot_decomposers_land,slot_dead_land,1,126.232,127.154,0.922
T4YH,slot_decomposers_land,slot_plants,0,128.282,128.722,0.44
T4YH,slot_decomposers_land,slot_animals,0,129.946,130.44,0.494
T4YH,slot_decomposers_land,slot_fossil_fuel,0,131.778,132.199,0.421
T4YH,slot_animals,slot_decomposers_land,0,134.437,134.988,0.551
T4YH,slot_plants,slot_decomposers_land,0,136.215,136.464,0.249
T4YH,slot_plants,slot_factory,0,143.226,143.566,0.34
T4YH,slot_fossil_fuel,slot_factory,1,145.258,145.813,0.555
T4YH,slot_decomposers_land,slot_plants,0,150.915,151.187,0.272
T4YH,slot_plants,slot_atmosphere,1,153.215,155.918,2.703
T4YH,slot_atmosphere,slot_decomposers_land,0,157.046,157.747,0.701
T4YH,slot_decomposers_land,slot_algae,0,160.17,160.671,0.501
T4YH,slot_decomposers_land,slot_dead_land,1,161.957,163.009,1.052
T4YH,slot_dead_land,slot_decomposers_land,1,164.286,164.789,0.503
T4YH,slot_decomposers_land,slot_plants,0,166.811,167.326,0.515
T4YH,slot_plants,slot_decomposers_land,0,169.273,171.745,2.472
T4YH,slot_atmosphere,slot_carbon_dioxide,1,180.15,181.248,1.098
T4YH,slot_carbon_dioxide,slot_atmosphere,1,182.292,182.903,0.611
T4YH,slot_decomposers_ocean,slot_fish,0,185.721,186.173,0.452
T4YH,slot_fish,slot_decomposers_ocean,0,187.045,187.413,0.368
T4YH,slot_carbon_dioxide,slot_decomposers_ocean,0,188.603,188.967,0.364
T4YH,slot_decomposers_ocean,slot_carbon_dioxide,1,189.835,190.27,0.435
T4YH,slot_decomposers_ocean,slot_fish,0,195.308,196.387,1.079
T4YH,slot_fish,slot_decomposers_ocean,0,197.442,197.666,0.224
T4YH,slot_algae,slot_atmosphere,0,203.056,203.509,0.453
T4YH,slot_atmosphere,slot_algae,0,204.487,205.234,0.747
T4YH,slot_dead_ocean,slot_algae,0,211.022,211.41,0.388
T4YH,slot_fish,slot_algae,0,212.809,213.246,0.437
T4YH,slot_carbon_dioxide,slot_algae,1,214.598,215.048,0.45
T4YH,slot_plants,slot_carbon_dioxide,0,221.243,222.412,1.169
T4YH,slot_animals,slot_plants,0,224.92,225.282,0.362
T4YH,slot_plants,slot_animals,1,227.253,231.115,3.862
T4YH,slot_dead_land,slot_animals,0,237.737,237.984,0.247
T4YH,slot_decomposers_land,slot_plants,0,306.004,306.457,0.453
T4YH,slot_decomposers_land,slot_atmosphere,1,326.462,327.098,0.636
T4YH,slot_dead_land,slot_fossil_fuel,0,350.453,352.352,1.899
T4YH,slot_dead_land,slot_animals,0,355.957,356.372,0.415
T4YH,slot_animals,slot_fossil_fuel,0,360.374,360.708,0.334
T4YH,slot_animals,slot_dead_land,1,362.604,363.043,0.439
T4YH,slot_plants,slot_dead_land,1,369.475,369.85,0.375
T4YH,slot_carbon_dioxide,slot_decomposers_ocean,0,378.995,379.615,0.62
T4YH,slot_fish,slot_decomposers_ocean,0,383.086,383.555,0.469
T4YH,slot_fish,slot_dead_ocean,1,386.633,386.914,0.281
T4YH,slot_dead_ocean,slot_decomposers_ocean,1,389.221,389.847,0.626
T4YH,slot_fish,slot_carbon_dioxide,1,391.83,392.359,0.529
