student,source,target,valid,start,end,duration
TGHV,slot_fossil_fuel,slot_decomposers_land,0,14.822,15.344,0.522
TGHV,slot_fossil_fuel,slot_factory,1,17.948,19.033,1.085
TGHV,slot_animals,slot_plants,0,22.331,23.447,1.116
TGHV,slot_decomposers_land,slot_factory,0,28.139,28.606,0.467
TGHV,slot_dead_land,slot_factory,0,30.268,31.193,0.925
TGHV,slot_carbon_dioxide,slot_atmosphere,1,38.356,39.048,0.692
TGHV,slot_decomposers_ocean,slot_animals,0,42.634,46.73,4.096
TGHV,slot_fish,slot_dead_ocean,1,53.07,53.762,0.692
TGHV,slot_decomposers_ocean,slot_algae,0,55.722,56.687,0.965
TGHV,slot_decomposers_ocean,slot_dead_land,0,58.846,59.735,0.889
TGHV,slot_decomposers_land,slot_animals,0,63.523,64.227,0.704
TGHV,slot_decomposers_land,slot_plants,0,66.141,66.617,0.476
TGHV,slot_decomposers_land,slot_dead_land,1,70.669,71.171,0.502
TGHV,slot_dead_land,slot_animals,0,72.395,72.925,0.53
TGHV,slot_dead_land,slot_plants,0,76.424,76.981,0.557
TGHV,slot_dead_land,slot_algae,0,78.723,79.243,0.52
TGHV,slot_fish,slot_carbon_dioxide,1,82.617,83.111,0.494
TGHV,slot_algae,slot_fish,1,86.045,86.533,0.488
TGHV,slot_decomposers_ocean,slot_dead_ocean,1,88.491,89.562,1.071
TGHV,slot_decomposers_ocean,slot_carbon_dioxide,1,92.719,93.355,0.636
TGHV,slot_algae,slot_carbon_dioxide,1,95.291,95.886,0.595
TGHV,slot_dead_ocean,slot_algae,0,97.618,97.999,0.381
TGHV,slot_algae,slot_dead_ocean,1,102.323,102.733,0.41
TGHV,slot_dead_land,slot_atmosphere,0,105.37,107.479,2.109
TGHV,slot_factory,slot_atmosphere,1,110.264,111.266,1.002
TGHV,slot_plants,slot_factory,0,115.047,116.113,1.066
TGHV,slot_plants,slot_carbon_dioxide,0,118.386,119.457,1.071
TGHV,slot_animals,slot_carbon_dioxide,0,120.784,121.566,0.782
TGHV,slot_algae,slot_animals,0,123.796,124.258,0.462
TGHV,slot_dead_land,slot_plants,0,133.387,134.245,0.858
TGHV,slot_plants,slot_dead_land,1,135.435,135.914,0.479
TGHV,slot_animals,slot_dead_land,1,138.368,138.923,0.555
TGHV,slot_animals,slot_plants,0,142.24,142.585,0.345
TGHV,slot_plants,slot_animals,1,143.612,143.986,0.374
TGHV,slot_decomposers_land,slot_animals,0,148.605,149.566,0.961
TGHV,slot_plants,slot_decomposers_land,0,154.673,155.584,0.911
TGHV,slot_dead_ocean,slot_fossil_fuel,0,162.549,163.303,0.754
TGHV,slot_algae,slot_atmosphere,0,173.934,175.837,1.903
TGHV,slot_decomposers_ocean,slot_atmosphere,0,180.79,181.78,0.99
TGHV,slot_decomposers_ocean,slot_fish,0,184.003,184.974,0.971
TGHV,slot_carbon_dioxide,slot_animals,0,189.95,191.018,1.068
TGHV,slot_carbon_dioxide,slot_plants,0,192.213,193.177,0.964
TGHV,slot_plants,slot_carbon_dioxide,0,194.079,194.911,0.832
TGHV,slot_decomposers_land,slot_plants,0,201.497,202.905,1.408
TGHV,slot_plants,slot_factory,0,204.976,207.38,2.404
TGHV,slot_plants,slot_animals,1,213.581,216.64,3.059
TGHV,slot_animals,slot_plants,0,217.75,218.275,0.525
TGHV,slot_animals,slot_decomposers_land,0,220.147,220.877,0.73
TGHV,slot_animals,slot_dead_land,1,222.196,222.719,0.523
