student,source,target,valid,start,end,duration
TTMD,slot_fossil_fuel,slot_decomposers_land,0,271.028,271.592,0.564
TTMD,slot_fossil_fuel,slot_factory,1,275.721,277.4,1.679
TTMD,slot_factory,slot_atmosphere,1,313.239,315.122,1.883
TTMD,slot_fish,slot_algae,0,324.842,326.668,1.826
TTMD,slot_dead_land,slot_atmosphere,0,346.25,350.643,4.393
TTMD,slot_plants,slot_carbon_dioxide,0,403.904,406.263,2.359
TTMD,slot_plants,slot_atmosphere,1,409.001,409.685,0.684
TTMD,slot_decomposers_land,slot_atmosphere,1,418.308,419.441,1.133
TTMD,slot_animals,slot_carbon_dioxide,0,423.364,424.064,0.7
TTMD,slot_animals,slot_decomposers_land,0,425.944,430.338,4.394
TTMD,slot_animals,slot_atmosphere,1,433.517,433.931,0.414
TTMD,slot_dead_land,slot_atmosphere,0,437.76,439.216,1.456
TTMD,slot_dead_land,slot_fossil_fuel,0,442.227,443.805,1.578
TTMD,slot_dead_land,slot_decomposers_land,1,447.168,447.985,0.817
TTMD,slot_decomposers_ocean,slot_fish,0,456.215,459.202,2.987
TTMD,slot_decomposers_ocean,slot_dead_ocean,1,461.818,463.138,1.32
TTMD,slot_carbon_dioxide,slot_atmosphere,1,468.512,469.284,0.772
TTMD,slot_fish,slot_dead_ocean,1,473.871,474.239,0.368
TTMD,slot_algae,slot_dead_ocean,1,477.932,478.388,0.456
TTMD,slot_animals,slot_atmosphere,1,1198.107,1203.142,5.035
TTMD,slot_plants,slot_atmosphere,1,1204.906,1206.005,1.099
TTMD,slot_atmosphere,slot_animals,0,1208.812,1209.556,0.744
TTMD,slot_animals,slot_plants,0,1212.938,1214.323,1.385
TTMD,slot_plants,slot_animals,1,1215.751,1216.216,0.465
TTMD,slot_animals,slot_dead_land,1,1223.311,1225.994,2.683
TTMD,slot_fish,slot_algae,0,1231.715,1232.112,0.397
TTMD,slot_algae,slot_fish,1,1233.711,1234.365,0.654
TTMD,slot_decomposers_ocean,slot_fish,0,1239.326,1240.114,0.788
TTMD,slot_fish,slot_decomposers_ocean,0,1241.673,1242.234,0.561
TTMD,slot_carbon_dioxide,slot_fish,0,1247.446,1247.916,0.47
TTMD,slot_fish,slot_carbon_dioxide,1,1249.562,1250.292,0.73
TTMD,slot_decomposers_land,slot_dead_land,1,1256.755,1257.457,0.702
TTMD,slot_plants,slot_dead_land,1,1261.559,1264.322,2.763
TTMD,slot_atmosphere,slot_plants,1,1274.018,1274.923,0.905
TTMD,slot_algae,slot_carbon_dioxide,1,1281.657,1282.212,0.555
TTMD,slot_decomposers_ocean,slot_dead_ocean,1,1284.53,1285.261,0.731
TTMD,slot_carbon_dioxide,slot_decomposers_ocean,0,1288.167,1288.949,0.782
TTMD,slot_carbon_dioxide,slot_algae,1,1291.681,1292.549,0.868
TTMD,slot_dead_ocean,slot_decomposers_ocean,1,1298.165,1301.445,3.28
TTMD,slot_carbon_dioxide,slot_decomposers_ocean,0,1304.242,1305.566,1.324
TTMD,slot_carbon_dioxide,slot_atmosphere,1,1311.002,1311.962,0.96
TTMD,slot_atmosphere,slot_carbon_dioxide,1,1313.197,1313.738,0.541
TTMD,slot_carbon_dioxide,slot_decomposers_ocean,0,1316.133,1316.602,0.469
TTMD,slot_decomposers_ocean,slot_carbon_dioxide,1,1320.934,1322.209,1.275
