student,source,target,valid,start,end,duration
V3RP,slot_factory,slot_atmosphere,1,3.208,3.683,0.475
V3RP,slot_atmosphere,slot_factory,0,4.672,5.227,0.555
V3RP,slot_plants,slot_atmosphere,1,6.155,6.495,0.34
V3RP,slot_animals,slot_atmosphere,1,7.063,7.684,0.621
V3RP,slot_animals,slot_dead_land,1,8.439,8.881,0.442
V3RP,slot_dead_land,slot_animals,0,9.503,9.971,0.468
V3RP,slot_decomposers_land,slot_dead_land,1,11.321,11.639,0.318
V3RP,slot_dead_land,slot_decomposers_land,1,12.053,12.751,0.698
V3RP,slot_decomposers_land,slot_fossil_fuel,0,13.685,14.104,0.419
V3RP,slot_fossil_fuel,slot_decomposers_land,0,14.648,15.379,0.731
V3RP,slot_fossil_fuel,slot_factory,1,16.442,18.443,2.001
V3RP,slot_animals,slot_carbon_dioxide,0,23.98,24.813,0.833
V3RP,slot_decomposers_land,slot_plants,0,28.484,28.974,0.49
V3RP,slot_dead_land,slot_plants,0,29.873,33.277,3.404
V3RP,slot_plants,slot_carbon_dioxide,0,35.814,37.523,1.709
V3RP,slot_carbon_dioxide,slot_atmosphere,1,38.632,39.412,0.78
V3RP,slot_atmosphere,slot_carbon_dioxide,1,41.261,42.25,0.989
V3RP,slot_atmosphere,slot_decomposers_ocean,0,43.806,44.048,0.242
V3RP,slot_decomposers_ocean,slot_fish,0,45.021,47.684,2.663
V3RP,slot_dead_ocean,slot_decomposers_ocean,1,48.705,49.157,0.452
V3RP,slot_decomposers_ocean,slot_algae,0,50.334,51.542,1.208
V3RP,slot_fish,slot_algae,0,52.496,52.826,0.33
V3RP,slot_algae,slot_fish,1,53.436,53.787,0.351
V3RP,slot_algae,slot_decomposers_ocean,0,54.815,55.355,0.54
V3RP,slot_dead_ocean,slot_algae,0,56.61,57.204,0.594
V3RP,slot_algae,slot_dead_ocean,1,57.927,58.435,0.508
V3RP,slot_dead_ocean,slot_fish,0,59.033,59.675,0.642
V3RP,slot_fish,slot_carbon_dioxide,1,60.553,62.073,1.52
V3RP,slot_decomposers_ocean,slot_carbon_dioxide,1,62.954,64.251,1.297
V3RP,slot_algae,slot_carbon_dioxide,1,65.581,66.283,0.702
V3RP,slot_algae,slot_fish,1,68.839,69.571,0.732
V3RP,slot_algae,slot_fish,1,71.286,71.452,0.166
V3RP,slot_fish,slot_algae,0,72.266,72.711,0.445
V3RP,slot_fish,slot_decomposers_ocean,0,75.092,77.043,1.951
V3RP,slot_dead_ocean,slot_decomposers_ocean,1,78.953,79.939,0.986
V3RP,slot_decomposers_ocean,slot_dead_ocean,1,80.876,81.629,0.753
V3RP,slot_algae,slot_dead_ocean,1,84.784,86.092,1.308
V3RP,slot_algae,slot_carbon_dioxide,1,87.626,88.653,1.027
V3RP,slot_fish,slot_dead_ocean,1,90.199,91.724,1.525
V3RP,slot_algae,slot_dead_land,0,94.278,94.948,0.67
V3RP,slot_algae,slot_carbon_dioxide,1,97.242,98.652,1.41
V3RP,slot_carbon_dioxide,slot_algae,1,99.582,100.676,1.094
V3RP,slot_dead_land,slot_plants,0,103.948,105.348,1.4
V3RP,slot_plants,slot_dead_land,1,106.716,107.98,1.264
V3RP,slot_decomposers_land,slot_plants,0,110.24,111.46,1.22
V3RP,slot_animals,slot_plants,0,113.277,113.836,0.559
V3RP,slot_plants,slot_animals,1,123.335,124.597,1.262
V3RP,slot_decomposers_land,slot_plants,0,126.503,127.059,0.556
V3RP,slot_plants,slot_decomposers_land,0,128.471,131.296,2.825
V3RP,slot_decomposers_land,slot_atmosphere,1,132.011,133.259,1.248
V3RP,slot_atmosphere,slot_plants,1,134.555,135.317,0.762
