student,source,target,valid,start,end,duration
VGBM,slot_fossil_fuel,slot_factory,1,10.581,12.115,1.534
VGBM,slot_carbon_dioxide,slot_atmosphere,1,20.735,22.73,1.995
VGBM,slot_dead_ocean,slot_fossil_fuel,0,27.461,28.464,1.003
VGBM,slot_fish,slot_algae,0,33.367,33.982,0.615
VGBM,slot_factory,slot_atmosphere,1,52.726,53.405,0.679
VGBM,slot_animals,slot_atmosphere,1,56.771,57.203,0.432
VGBM,slot_plants,slot_atmosphere,1,58.435,59.275,0.84
VGBM,slot_decomposers_land,slot_animals,0,68.473,69.138,0.665
VGBM,slot_animals,slot_plants,0,70.176,70.667,0.491
VGBM,slot_fish,slot_animals,0,74.382,75.004,0.622
VGBM,slot_animals,slot_fish,0,76.085,76.708,0.623
VGBM,slot_dead_land,slot_fossil_fuel,0,100.166,101.05,0.884
VGBM,slot_dead_land,slot_atmosphere,0,104.577,105.102,0.525
VGBM,slot_dead_ocean,slot_atmosphere,0,109.005,109.832,0.827
VGBM,slot_atmosphere,slot_algae,0,111.818,113.681,1.863
VGBM,slot_atmosphere,slot_decomposers_ocean,0,116.596,120.955,4.359
VGBM,slot_decomposers_land,slot_dead_land,1,132.591,133.179,0.588
VGBM,slot_decomposers_ocean,slot_dead_ocean,1,136.104,136.371,0.267
VGBM,slot_plants,slot_decomposers_land,0,146.274,146.794,0.52
VGBM,slot_plants,slot_dead_land,1,147.855,148.107,0.252
VGBM,slot_algae,slot_dead_ocean,1,151.322,152.267,0.945
VGBM,slot_animals,slot_dead_land,1,155.446,156.283,0.837
VGBM,slot_fish,slot_dead_ocean,1,157.909,158.801,0.892
VGBM,slot_decomposers_land,slot_plants,0,162.936,163.474,0.538
VGBM,slot_decomposers_land,slot_animals,0,164.737,165.53,0.793
VGBM,slot_animals,slot_decomposers_land,0,166.538,167.156,0.618
VGBM,slot_atmosphere,slot_dead_land,0,173.622,174.507,0.885
VGBM,slot_algae,slot_carbon_dioxide,1,178.085,178.446,0.361
VGBM,slot_plants,slot_carbon_dioxide,0,182.961,183.469,0.508
VGBM,slot_fish,slot_carbon_dioxide,1,185.195,185.462,0.267
VGBM,slot_decomposers_ocean,slot_carbon_dioxide,1,186.726,187.245,0.519
VGBM,slot_decomposers_ocean,slot_atmosphere,0,190.776,191.504,0.728
VGBM,slot_algae,slot_atmosphere,0,193.059,193.653,0.594
VGBM,slot_algae,slot_fish,1,195.752,196.022,0.27
VGBM,slot_decomposers_ocean,slot_algae,0,197.976,199.259,1.283
VGBM,slot_decomposers_ocean,slot_dead_ocean,1,200.739,201.143,0.404
VGBM,slot_decomposers_ocean,slot_algae,0,202.72,203.916,1.196
VGBM,slot_algae,slot_decomposers_ocean,0,205.948,206.735,0.787
VGBM,slot_decomposers_land,slot_plants,0,214.971,215.478,0.507
VGBM,slot_animals,slot_plants,0,217.453,217.62,0.167
VGBM,slot_plants,slot_animals,1,218.718,218.88,0.162
VGBM,slot_decomposers_land,slot_plants,0,222.842,225.279,2.437
VGBM,slot_plants,slot_decomposers_land,0,227.09,231.193,4.103
VGBM,slot_dead_land,slot_plants,0,232.382,233.432,1.05
VGBM,slot_plants,slot_decomposers_land,0,241.225,242.356,1.131
VGBM,slot_plants,slot_carbon_dioxide,0,244.685,245.836,1.151
VGBM,slot_algae,slot_dead_land,0,247.496,248.088,0.592
VGBM,slot_dead_ocean,slot_decomposers_land,0,249.381,250.766,1.385
VGBM,slot_plants,slot_carbon_dioxide,0,257.113,257.877,0.764
VGBM,slot_dead_land,slot_carbon_dioxide,0,259.231,259.958,0.727
VGBM,slot_decomposers_land,slot_carbon_dioxide,0,261.352,262.308,0.956
