student,source,target,valid,start,end,duration
W4G3,slot_factory,slot_plants,0,47.775,48.347,0.572
W4G3,slot_fossil_fuel,slot_decomposers_land,0,52.02,52.772,0.752
W4G3,slot_fossil_fuel,slot_factory,1,55.998,56.982,0.984
W4G3,slot_factory,slot_decomposers_land,0,59.277,59.801,0.524
W4G3,slot_factory,slot_atmosphere,1,66.301,67.475,1.174
W4G3,slot_decomposers_land,slot_plants,0,70.897,73.303,2.406
W4G3,slot_dead_land,slot_plants,0,74.524,75.047,0.523
W4G3,slot_animals,slot_plants,0,76.805,77.162,0.357
W4G3,slot_dead_land,slot_atmosphere,0,81.249,81.736,0.487
W4G3,slot_decomposers_land,slot_atmosphere,1,83.147,83.723,0.576
W4G3,slot_plants,slot_atmosphere,1,85.363,86.015,0.652
W4G3,slot_animals,slot_atmosphere,1,87.53,88.211,0.681
W4G3,slot_dead_land,slot_atmosphere,0,89.455,90.221,0.766
W4G3,slot_decomposers_land,slot_atmosphere,1,91.486,92.013,0.527
W4G3,slot_dead_land,slot_decomposers_land,1,94.066,94.606,0.54
W4G3,slot_animals,slot_plants,0,97.678,98.373,0.695
W4G3,slot_plants,slot_animals,1,99.327,99.769,0.442
W4G3,slot_decomposers_land,slot_plants,0,103.604,104.477,0.873
W4G3,slot_decomposers_land,slot_animals,0,106.191,106.855,0.664
W4G3,slot_dead_land,slot_plants,0,107.982,108.394,0.412
W4G3,slot_dead_land,slot_atmosphere,0,110.763,111.896,1.133
W4G3,slot_dead_land,slot_animals,0,115.688,118.86,3.172
W4G3,slot_dead_land,slot_algae,0,120.167,121.042,0.875
W4G3,slot_dead_land,slot_atmosphere,0,122.447,123.199,0.752
W4G3,slot_dead_land,slot_plants,0,124.477,125.099,0.622
W4G3,slot_plants,slot_dead_land,1,125.743,126.214,0.471
W4G3,slot_animals,slot_dead_land,1,129.155,130.064,0.909
W4G3,slot_dead_ocean,slot_decomposers_ocean,1,137.232,140.236,3.004
W4G3,slot_decomposers_ocean,slot_fish,0,141.322,141.8,0.478
W4G3,slot_decomposers_ocean,slot_algae,0,143.506,144.178,0.672
W4G3,slot_decomposers_ocean,slot_atmosphere,0,145.617,146.269,0.652
W4G3,slot_decomposers_ocean,slot_carbon_dioxide,1,147.882,148.337,0.455
W4G3,slot_fish,slot_carbon_dioxide,1,149.862,150.383,0.521
W4G3,slot_fish,slot_dead_ocean,1,152.495,155.385,2.89
W4G3,slot_fish,slot_algae,0,157.669,163.131,5.462
W4G3,slot_fish,slot_atmosphere,0,165.209,165.714,0.505
W4G3,slot_algae,slot_atmosphere,0,166.723,167.493,0.77
W4G3,slot_carbon_dioxide,slot_atmosphere,1,168.771,169.152,0.381
W4G3,slot_algae,slot_carbon_dioxide,1,170.718,171.676,0.958
W4G3,slot_dead_ocean,slot_algae,0,176.527,176.905,0.378
W4G3,slot_dead_ocean,slot_decomposers_ocean,1,178.447,180.382,1.935
W4G3,slot_decomposers_ocean,slot_fish,0,181.724,182.313,0.589
W4G3,slot_fish,slot_dead_ocean,1,183.391,183.981,0.59
W4G3,slot_fish,slot_algae,0,185.866,186.628,0.762
W4G3,slot_fish,slot_atmosphere,0,188.547,191.2,2.653
W4G3,slot_dead_ocean,slot_algae,0,192.83,194.04,1.21
W4G3,slot_fish,slot_decomposers_ocean,0,197.39,199.644,2.254
W4G3,slot_algae,slot_decomposers_ocean,0,201.817,205.839,4.022
W4G3,slot_dead_ocean,slot_algae,0,211.177,211.662,0.485
W4G3,slot_carbon_dioxide,slot_dead_ocean,0,219.543,220.586,1.043
W4G3,slot_fish,slot_algae,0,224.55,226.898,2.348
W4G3,slot_fish,slot_atmosphere,0,228.063,228.54,0.477
W4G3,slot_algae,slot_atmosphere,0,229.814,230.502,0.688
W4G3,slot_dead_ocean,slot_decomposers_ocean,1,233.854,236.389,2.535
W4G3,slot_dead_ocean,slot_atmosphere,0,239.064,241.12,2.056
W4G3,slot_dead_ocean,slot_algae,0,245.939,246.511,0.572
W4G3,slot_dead_ocean,slot_algae,0,248.869,249.196,0.327
W4G3,slot_dead_ocean,slot_algae,0,251.748,252.339,0.591
W4G3,slot_algae,slot_fish,1,259.739,260.229,0.49
W4G3,slot_algae,slot_dead_ocean,1,261.811,262.475,0.664
W4G3,slot_algae,slot_decomposers_ocean,0,263.87,264.697,0.827
W4G3,slot_decomposers_ocean,slot_dead_ocean,1,265.503,265.984,0.481
W4G3,slot_carbon_dioxide,slot_dead_ocean,0,269.677,278.075,8.398
W4G3,slot_algae,slot_carbon_dioxide,1,280.347,281.227,0.88
W4G3,slot_carbon_dioxide,slot_algae,1,283.203,283.854,0.651
W4G3,slot_plants,slot_dead_land,1,289.153,290.686,1.533
W4G3,slot_decomposers_land,slot_plants,0,293.251,294.145,0.894
W4G3,slot_decomposers_land,slot_dead_land,1,295.686,296.303,0.617
W4G3,slot_plants,slot_carbon_dioxide,0,304.704,306.317,1.613
W4G3,slot_plants,slot_carbon_dioxide,0,309.21,312.296,3.086
W4G3,slot_carbon_dioxide,slot_plants,0,313.297,314.197,0.9
W4G3,slot_carbon_dioxide,slot_atmosphere,1,316.135,316.936,0.801
W4G3,slot_carbon_dioxide,slot_dead_ocean,0,318.996,320.354,1.358
W4G3,slot_plants,slot_atmosphere,1,329.649,345.305,15.656
W4G3,slot_atmosphere,slot_carbon_dioxide,1,346.195,347.173,0.978
W4G3,slot_atmosphere,slot_plants,1,348.584,349.147,0.563
