student,source,target,valid,start,end,duration
W6D3,slot_factory,slot_atmosphere,1,18.339,20.939,2.6
W6D3,slot_atmosphere,slot_algae,0,23.94,25.308,1.368
W6D3,slot_algae,slot_atmosphere,0,28.093,28.775,0.682
W6D3,slot_fossil_fuel,slot_factory,1,34.831,35.594,0.763
W6D3,slot_plants,slot_animals,1,44.399,44.908,0.509
W6D3,slot_algae,slot_fish,1,46.872,48.0,1.128
W6D3,slot_decomposers_ocean,slot_fish,0,49.554,51.315,1.761
W6D3,slot_fish,slot_decomposers_ocean,0,52.447,52.982,0.535
W6D3,slot_dead_ocean,slot_fossil_fuel,0,55.006,55.588,0.582
W6D3,slot_dead_ocean,slot_fossil_fuel,0,61.549,62.372,0.823
W6D3,slot_dead_land,slot_fossil_fuel,0,64.947,65.519,0.572
W6D3,slot_dead_land,slot_decomposers_land,1,66.954,67.25,0.296
W6D3,slot_dead_ocean,slot_decomposers_ocean,1,71.074,71.635,0.561
W6D3,slot_fish,slot_decomposers_ocean,0,78.633,79.015,0.382
W6D3,slot_fish,slot_dead_ocean,1,80.615,80.918,0.303
W6D3,slot_decomposers_ocean,slot_carbon_dioxide,1,83.271,83.903,0.632
W6D3,slot_animals,slot_dead_land,1,93.333,94.276,0.943
W6D3,slot_carbon_dioxide,slot_atmosphere,1,101.413,102.241,0.828
W6D3,slot_algae,slot_atmosphere,0,105.278,105.718,0.44
W6D3,slot_atmosphere,slot_algae,0,107.028,107.968,0.94
W6D3,slot_algae,slot_animals,0,109.954,110.39,0.436
W6D3,slot_plants,slot_decomposers_land,0,115.197,115.518,0.321
W6D3,slot_decomposers_land,slot_plants,0,116.582,117.263,0.681
W6D3,slot_animals,slot_carbon_dioxide,0,123.83,125.585,1.755
W6D3,slot_animals,slot_atmosphere,1,130.229,130.919,0.69
W6D3,slot_dead_ocean,slot_algae,0,140.455,141.122,0.667
W6D3,slot_algae,slot_dead_ocean,1,142.204,142.79,0.586
W6D3,slot_carbon_dioxide,slot_algae,1,149.986,150.804,0.818
W6D3,slot_carbon_dioxide,slot_fish,0,152.241,152.823,0.582
W6D3,slot_fish,slot_carbon_dioxide,1,154.58,154.889,0.309
W6D3,slot_carbon_dioxide,slot_decomposers_ocean,0,156.119,156.696,0.577
W6D3,slot_decomposers_ocean,slot_carbon_dioxide,1,158.113,158.655,0.542
W6D3,slot_dead_ocean,slot_carbon_dioxide,0,163.242,163.878,0.636
W6D3,slot_carbon_dioxide,slot_dead_ocean,0,165.615,166.297,0.682
W6D3,slot_carbon_dioxide,slot_plants,0,169.074,169.957,0.883
W6D3,slot_plants,slot_carbon_dioxide,0,171.526,172.119,0.593
W6D3,slot_decomposers_land,slot_plants,0,174.846,175.38,0.534
W6D3,slot_plants,slot_decomposers_land,0,176.512,177.194,0.682
W6D3,slot_dead_land,slot_plants,0,179.05,179.536,0.486
W6D3,slot_dead_land,slot_algae,0,181.06,181.525,0.465
W6D3,slot_dead_land,slot_dead_ocean,0,183.161,183.724,0.563
W6D3,slot_atmosphere,slot_plants,1,193.429,193.871,0.442
W6D3,slot_atmosphere,slot_carbon_dioxide,1,197.003,197.7,0.697
W6D3,slot_atmosphere,slot_dead_land,0,202.887,204.037,1.15
W6D3,slot_atmosphere,slot_decomposers_ocean,0,206.569,207.859,1.29
W6D3,slot_atmosphere,slot_algae,0,209.671,210.198,0.527
W6D3,slot_dead_ocean,slot_dead_land,0,213.772,215.823,2.051
W6D3,slot_dead_ocean,slot_decomposers_land,0,218.806,219.452,0.646
W6D3,slot_decomposers_land,slot_decomposers_ocean,0,221.512,222.332,0.82
W6D3,slot_algae,slot_plants,0,224.339,224.794,0.455
W6D3,slot_plants,slot_carbon_dioxide,0,226.279,229.834,3.555
W6D3,slot_algae,slot_carbon_dioxide,1,252.168,254.193,2.025
W6D3,slot_decomposers_ocean,slot_dead_ocean,1,259.353,260.156,0.803
W6D3,slot_dead_land,slot_plants,0,263.674,265.27,1.596
W6D3,slot_decomposers_land,slot_dead_land,1,267.924,269.585,1.661
W6D3,slot_decomposers_land,slot_plants,0,272.625,277.086,4.461
W6D3,slot_plants,slot_decomposers_land,0,279.947,284.653,4.706
W6D3,slot_dead_land,slot_plants,0,286.866,287.533,0.667
W6D3,slot_plants,slot_atmosphere,1,289.239,293.903,4.664
W6D3,slot_dead_land,slot_atmosphere,0,298.457,299.431,0.974
W6D3,slot_decomposers_land,slot_plants,0,304.304,305.702,1.398
W6D3,slot_plants,slot_decomposers_land,0,307.65,311.444,3.794
W6D3,slot_decomposers_land,slot_atmosphere,1,333.298,333.963,0.665
W6D3,slot_dead_land,slot_plants,0,336.301,336.685,0.384
W6D3,slot_plants,slot_dead_land,1,338.228,338.937,0.709
