student,source,target,valid,start,end,duration
WH6V,slot_factory,slot_decomposers_land,0,11.05,11.406,0.356
WH6V,slot_fossil_fuel,slot_factory,1,13.699,14.301,0.602
WH6V,slot_plants,slot_animals,1,18.745,19.133,0.388
WH6V,slot_decomposers_land,slot_dead_land,1,20.694,21.465,0.771
WH6V,slot_algae,slot_carbon_dioxide,1,23.591,23.902,0.311
WH6V,slot_fish,slot_decomposers_ocean,0,25.14,25.42,0.28
WH6V,slot_dead_ocean,slot_fish,0,26.423,27.428,1.005
WH6V,slot_dead_ocean,slot_decomposers_ocean,1,28.689,29.25,0.561
WH6V,slot_decomposers_ocean,slot_dead_ocean,1,30.136,30.475,0.339
WH6V,slot_fish,slot_decomposers_ocean,0,32.319,32.639,0.32
WH6V,slot_fish,slot_carbon_dioxide,1,33.67,33.99,0.32
WH6V,slot_fish,slot_algae,0,35.265,35.552,0.287
WH6V,slot_factory,slot_fossil_fuel,0,39.379,40.414,1.035
WH6V,slot_decomposers_land,slot_plants,0,42.077,42.517,0.44
WH6V,slot_plants,slot_decomposers_land,0,43.542,43.986,0.444
WH6V,slot_animals,slot_dead_land,1,44.928,45.343,0.415
WH6V,slot_dead_land,slot_animals,0,46.24,46.761,0.521
WH6V,slot_dead_land,slot_plants,0,47.927,48.258,0.331
WH6V,slot_decomposers_land,slot_plants,0,49.805,50.11,0.305
WH6V,slot_plants,slot_dead_land,1,50.853,51.251,0.398
WH6V,slot_animals,slot_decomposers_land,0,53.118,53.706,0.588
WH6V,slot_decomposers_land,slot_animals,0,54.803,55.617,0.814
WH6V,slot_animals,slot_dead_land,1,57.116,57.57,0.454
WH6V,slot_dead_land,slot_animals,0,58.348,58.82,0.472
WH6V,slot_plants,slot_dead_land,1,61.148,63.001,1.853
WH6V,slot_algae,slot_fish,1,64.531,65.098,0.567
WH6V,slot_algae,slot_decomposers_ocean,0,66.274,68.841,2.567
WH6V,slot_fish,slot_dead_ocean,1,71.321,72.407,1.086
WH6V,slot_carbon_dioxide,slot_decomposers_ocean,0,75.917,76.421,0.504
WH6V,slot_decomposers_ocean,slot_carbon_dioxide,1,77.221,78.211,0.99
WH6V,slot_carbon_dioxide,slot_algae,1,83.145,83.826,0.681
WH6V,slot_algae,slot_dead_ocean,1,85.193,86.838,1.645
WH6V,slot_carbon_dioxide,slot_algae,1,89.49,89.895,0.405
WH6V,slot_carbon_dioxide,slot_decomposers_ocean,0,91.057,91.527,0.47
WH6V,slot_carbon_dioxide,slot_fish,0,92.874,94.058,1.184
WH6V,slot_carbon_dioxide,slot_decomposers_ocean,0,100.182,101.137,0.955
WH6V,slot_carbon_dioxide,slot_animals,0,102.351,102.865,0.514
WH6V,slot_carbon_dioxide,slot_dead_land,0,104.129,104.734,0.605
WH6V,slot_carbon_dioxide,slot_animals,0,105.964,106.362,0.398
WH6V,slot_carbon_dioxide,slot_algae,1,109.758,110.285,0.527
WH6V,slot_carbon_dioxide,slot_dead_ocean,0,111.542,112.309,0.767
WH6V,slot_carbon_dioxide,slot_decomposers_ocean,0,118.451,121.016,2.565
WH6V,slot_dead_land,slot_animals,0,130.925,131.285,0.36
WH6V,slot_dead_land,slot_decomposers_land,1,132.295,132.662,0.367
WH6V,slot_decomposers_land,slot_plants,0,133.856,134.281,0.425
WH6V,slot_plants,slot_decomposers_land,0,135.105,135.745,0.64
WH6V,slot_factory,slot_decomposers_land,0,136.809,137.24,0.431
WH6V,slot_decomposers_land,slot_factory,0,137.903,138.428,0.525
WH6V,slot_factory,slot_fossil_fuel,0,139.192,140.497,1.305
WH6V,slot_factory,slot_plants,0,141.937,142.394,0.457
WH6V,slot_plants,slot_factory,0,143.231,143.887,0.656
WH6V,slot_factory,slot_animals,0,144.781,145.403,0.622
WH6V,slot_plants,slot_factory,0,148.334,150.183,1.849
WH6V,slot_plants,slot_factory,0,151.91,152.966,1.056
WH6V,slot_factory,slot_plants,0,153.541,154.174,0.633
WH6V,slot_decomposers_land,slot_factory,0,155.694,156.415,0.721
WH6V,slot_factory,slot_decomposers_land,0,156.955,157.373,0.418
WH6V,slot_factory,slot_plants,0,158.538,158.975,0.437
WH6V,slot_carbon_dioxide,slot_animals,0,167.064,167.469,0.405
WH6V,slot_animals,slot_carbon_dioxide,0,168.196,168.54,0.344
WH6V,slot_carbon_dioxide,slot_fish,0,170.762,171.206,0.444
WH6V,slot_carbon_dioxide,slot_decomposers_ocean,0,172.626,173.077,0.451
WH6V,slot_carbon_dioxide,slot_dead_ocean,0,174.891,175.644,0.753
WH6V,slot_carbon_dioxide,slot_algae,1,176.879,177.248,0.369
WH6V,slot_carbon_dioxide,slot_atmosphere,1,182.457,184.201,1.744
WH6V,slot_plants,slot_atmosphere,1,186.282,186.935,0.653
WH6V,slot_animals,slot_atmosphere,1,189.013,190.499,1.486
WH6V,slot_factory,slot_atmosphere,1,191.581,192.14,0.559
WH6V,slot_decomposers_land,slot_atmosphere,1,193.461,193.842,0.381
WH6V,slot_plants,slot_atmosphere,1,194.86,195.269,0.409
WH6V,slot_atmosphere,slot_carbon_dioxide,1,199.938,200.898,0.96
WH6V,slot_atmosphere,slot_plants,1,203.968,204.386,0.418
