student,source,target,valid,start,end,duration
WTV3,slot_fossil_fuel,slot_factory,1,26.763,28.011,1.248
WTV3,slot_factory,slot_decomposers_land,0,29.576,30.355,0.779
WTV3,slot_factory,slot_decomposers_land,0,35.036,37.737,2.701
WTV3,slot_factory,slot_carbon_dioxide,0,39.898,41.184,1.286
WTV3,slot_factory,slot_animals,0,42.676,43.29,0.614
WTV3,slot_factory,slot_dead_land,0,44.459,44.85,0.391
WTV3,slot_factory,slot_algae,0,46.642,47.45,0.808
WTV3,slot_factory,slot_decomposers_ocean,0,48.753,49.772,1.019
WTV3,slot_factory,slot_carbon_dioxide,0,51.665,52.609,0.944
WTV3,slot_factory,slot_dead_ocean,0,55.593,57.701,2.108
WTV3,slot_factory,slot_algae,0,59.172,60.423,1.251
WTV3,slot_decomposers_land,slot_plants,0,63.967,64.334,0.367
WTV3,slot_dead_land,slot_animals,0,65.735,66.168,0.433
WTV3,slot_animals,slot_plants,0,67.2,67.748,0.548
WTV3,slot_plants,slot_animals,1,76.603,77.175,0.572
WTV3,slot_animals,slot_dead_land,1,80.911,81.483,0.572
WTV3,slot_dead_land,slot_decomposers_land,1,82.709,83.098,0.389
WTV3,slot_dead_ocean,slot_algae,0,87.369,87.808,0.439
WTV3,slot_decomposers_ocean,slot_fish,0,93.278,94.493,1.215
WTV3,slot_decomposers_ocean,slot_carbon_dioxide,1,95.96,96.36,0.4
WTV3,slot_carbon_dioxide,slot_algae,1,97.907,98.301,0.394
WTV3,slot_algae,slot_dead_ocean,1,100.204,102.985,2.781
WTV3,slot_dead_ocean,slot_fish,0,106.38,106.84,0.46
WTV3,slot_dead_ocean,slot_decomposers_ocean,1,108.243,108.555,0.312
WTV3,slot_decomposers_ocean,slot_fish,0,110.357,110.85,0.493
WTV3,slot_fish,slot_carbon_dioxide,1,112.421,112.787,0.366
WTV3,slot_fish,slot_algae,0,114.342,114.627,0.285
WTV3,slot_fish,slot_dead_ocean,1,115.783,116.111,0.328
WTV3,slot_fish,slot_decomposers_ocean,0,117.448,117.831,0.383
WTV3,slot_dead_land,slot_plants,0,121.276,121.788,0.512
WTV3,slot_decomposers_land,slot_plants,0,123.03,123.398,0.368
WTV3,slot_animals,slot_dead_land,1,124.525,124.992,0.467
WTV3,slot_animals,slot_dead_land,1,126.669,127.212,0.543
WTV3,slot_plants,slot_dead_land,1,128.473,129.069,0.596
WTV3,slot_plants,slot_decomposers_land,0,130.72,131.421,0.701
WTV3,slot_animals,slot_factory,0,132.647,133.884,1.237
WTV3,slot_dead_land,slot_algae,0,142.665,145.459,2.794
WTV3,slot_decomposers_land,slot_carbon_dioxide,0,149.441,151.628,2.187
WTV3,slot_decomposers_land,slot_decomposers_ocean,0,153.004,153.996,0.992
WTV3,slot_dead_land,slot_dead_ocean,0,155.484,156.887,1.403
WTV3,slot_decomposers_land,slot_dead_ocean,0,159.461,160.438,0.977
WTV3,slot_factory,slot_carbon_dioxide,0,172.194,173.251,1.057
WTV3,slot_factory,slot_fish,0,174.575,176.745,2.17
WTV3,slot_factory,slot_atmosphere,1,181.366,182.046,0.68
WTV3,slot_carbon_dioxide,slot_atmosphere,1,186.06,186.589,0.529
WTV3,slot_decomposers_ocean,slot_atmosphere,0,187.881,188.938,1.057
WTV3,slot_animals,slot_atmosphere,1,190.258,191.243,0.985
WTV3,slot_plants,slot_atmosphere,1,192.521,193.162,0.641
WTV3,slot_fish,slot_atmosphere,0,194.79,195.82,1.03
WTV3,slot_atmosphere,slot_plants,1,196.946,197.617,0.671
WTV3,slot_dead_land,slot_atmosphere,0,200.846,203.942,3.096
WTV3,slot_decomposers_land,slot_atmosphere,1,205.023,205.727,0.704
WTV3,slot_atmosphere,slot_decomposers_land,0,207.654,208.858,1.204
WTV3,slot_atmosphere,slot_algae,0,210.786,212.154,1.368
WTV3,slot_fish,slot_atmosphere,0,213.149,214.062,0.913
WTV3,slot_decomposers_ocean,slot_atmosphere,0,215.56,216.767,1.207
WTV3,slot_carbon_dioxide,slot_algae,1,220.2,220.729,0.529
WTV3,slot_fish,slot_algae,0,221.831,222.202,0.371
WTV3,slot_algae,slot_fish,1,227.441,227.779,0.338
WTV3,slot_dead_ocean,slot_algae,0,229.338,229.748,0.41
WTV3,slot_algae,slot_carbon_dioxide,1,234.622,235.682,1.06
WTV3,slot_decomposers_ocean,slot_dead_ocean,1,237.516,238.054,0.538
WTV3,slot_carbon_dioxide,slot_atmosphere,1,241.345,241.908,0.563
WTV3,slot_carbon_dioxide,slot_dead_land,0,243.869,245.164,1.295
WTV3,slot_dead_land,slot_carbon_dioxide,0,246.107,246.989,0.882
WTV3,slot_atmosphere,slot_carbon_dioxide,1,251.195,252.371,1.176
WTV3,slot_dead_land,slot_decomposers_land,1,253.46,253.859,0.399
WTV3,slot_dead_land,slot_decomposers_land,1,255.063,255.62,0.557
WTV3,slot_decomposers_land,slot_dead_land,1,256.371,256.742,0.371
