student,source,target,valid,start,end,duration
WY9R,slot_plants,slot_animals,1,74.433,75.254,0.821
WY9R,slot_animals,slot_dead_land,1,79.993,80.831,0.838
WY9R,slot_dead_land,slot_decomposers_land,1,83.305,83.813,0.508
WY9R,slot_decomposers_land,slot_plants,0,99.371,101.567,2.196
WY9R,slot_fossil_fuel,slot_factory,1,113.621,114.87,1.249
WY9R,slot_factory,slot_atmosphere,1,117.278,118.667,1.389
WY9R,slot_fish,slot_dead_ocean,1,128.632,130.115,1.483
WY9R,slot_dead_ocean,slot_decomposers_ocean,1,134.457,135.483,1.026
WY9R,slot_atmosphere,slot_carbon_dioxide,1,140.565,141.18,0.615
WY9R,slot_carbon_dioxide,slot_algae,1,144.577,145.024,0.447
WY9R,slot_algae,slot_fish,1,147.44,148.061,0.621
WY9R,slot_fish,slot_algae,0,150.452,153.156,2.704
WY9R,slot_fish,slot_atmosphere,0,156.961,158.321,1.36
WY9R,slot_animals,slot_atmosphere,1,160.69,161.228,0.538
WY9R,slot_atmosphere,slot_plants,1,165.284,166.02,0.736
WY9R,slot_decomposers_land,slot_dead_land,1,188.737,189.679,0.942
WY9R,slot_decomposers_ocean,slot_dead_ocean,1,194.052,195.004,0.952
WY9R,slot_carbon_dioxide,slot_fish,0,199.26,200.045,0.785
WY9R,slot_carbon_dioxide,slot_plants,0,207.653,209.782,2.129
WY9R,slot_carbon_dioxide,slot_fish,0,211.615,212.017,0.402
WY9R,slot_carbon_dioxide,slot_algae,1,213.094,213.606,0.512
WY9R,slot_carbon_dioxide,slot_decomposers_ocean,0,215.253,216.532,1.279
WY9R,slot_carbon_dioxide,slot_algae,1,217.717,218.692,0.975
WY9R,slot_carbon_dioxide,slot_dead_ocean,0,223.177,224.235,1.058
WY9R,slot_carbon_dioxide,slot_dead_land,0,226.177,226.923,0.746
WY9R,slot_carbon_dioxide,slot_plants,0,228.22,229.209,0.989
WY9R,slot_carbon_dioxide,slot_decomposers_land,0,231.283,232.786,1.503
WY9R,slot_atmosphere,slot_carbon_dioxide,1,237.083,238.438,1.355
WY9R,slot_atmosphere,slot_carbon_dioxide,1,240.521,242.373,1.852
WY9R,slot_atmosphere,slot_plants,1,243.989,244.69,0.701
WY9R,slot_atmosphere,slot_decomposers_land,0,246.214,246.963,0.749
WY9R,slot_atmosphere,slot_dead_land,0,248.245,249.184,0.939
WY9R,slot_atmosphere,slot_fish,0,250.642,251.743,1.101
WY9R,slot_atmosphere,slot_decomposers_ocean,0,253.055,254.427,1.372
WY9R,slot_plants,slot_atmosphere,1,260.179,260.556,0.377
WY9R,slot_carbon_dioxide,slot_atmosphere,1,262.381,262.781,0.4
WY9R,slot_plants,slot_dead_land,1,264.394,264.778,0.384
WY9R,slot_decomposers_land,slot_atmosphere,1,268.72,269.282,0.562
WY9R,slot_fish,slot_decomposers_ocean,0,270.94,271.29,0.35
WY9R,slot_decomposers_ocean,slot_fish,0,272.502,272.902,0.4
WY9R,slot_dead_ocean,slot_algae,0,275.26,275.648,0.388
WY9R,slot_carbon_dioxide,slot_decomposers_ocean,0,277.244,278.086,0.842
WY9R,slot_carbon_dioxide,slot_algae,1,279.426,280.062,0.636
WY9R,slot_algae,slot_carbon_dioxide,1,281.087,281.61,0.523
WY9R,slot_fish,slot_carbon_dioxide,1,282.784,283.13,0.346
WY9R,slot_decomposers_ocean,slot_carbon_dioxide,1,284.504,284.926,0.422
WY9R,slot_dead_ocean,slot_algae,0,286.355,286.91,0.555
WY9R,slot_algae,slot_dead_ocean,1,288.063,288.863,0.8
