student,source,target,valid,start,end,duration
X2MP,slot_fossil_fuel,slot_decomposers_land,0,7.886,8.67,0.784
X2MP,slot_fossil_fuel,slot_dead_land,0,10.07,10.523,0.453
X2MP,slot_fossil_fuel,slot_factory,1,12.698,14.084,1.386
X2MP,slot_factory,slot_decomposers_land,0,16.76,18.958,2.198
X2MP,slot_factory,slot_plants,0,20.594,21.212,0.618
X2MP,slot_factory,slot_atmosphere,1,22.704,24.735,2.031
X2MP,slot_atmosphere,slot_carbon_dioxide,1,26.076,27.245,1.169
X2MP,slot_carbon_dioxide,slot_fish,0,28.938,30.044,1.106
X2MP,slot_carbon_dioxide,slot_decomposers_ocean,0,31.528,31.921,0.393
X2MP,slot_carbon_dioxide,slot_algae,1,33.799,34.535,0.736
X2MP,slot_algae,slot_dead_ocean,1,39.147,40.115,0.968
X2MP,slot_dead_ocean,slot_dead_land,0,43.289,46.671,3.382
X2MP,slot_decomposers_ocean,slot_dead_ocean,1,51.208,52.004,0.796
X2MP,slot_fish,slot_dead_ocean,1,54.579,54.886,0.307
X2MP,slot_dead_ocean,slot_dead_land,0,56.444,58.063,1.619
X2MP,slot_dead_ocean,slot_decomposers_land,0,59.908,63.444,3.536
X2MP,slot_dead_ocean,slot_fossil_fuel,0,67.022,69.464,2.442
X2MP,slot_dead_ocean,slot_plants,0,73.633,75.636,2.003
X2MP,slot_dead_ocean,slot_algae,0,77.378,79.781,2.403
X2MP,slot_dead_ocean,slot_dead_land,0,81.111,82.537,1.426
X2MP,slot_dead_land,slot_dead_ocean,0,83.807,84.896,1.089
X2MP,slot_dead_land,slot_plants,0,86.86,87.765,0.905
X2MP,slot_plants,slot_animals,1,88.537,89.143,0.606
X2MP,slot_animals,slot_atmosphere,1,90.235,91.178,0.943
X2MP,slot_decomposers_land,slot_plants,0,93.703,94.19,0.487
X2MP,slot_decomposers_land,slot_animals,0,95.553,96.437,0.884
X2MP,slot_decomposers_land,slot_fossil_fuel,0,97.763,98.285,0.522
X2MP,slot_dead_land,slot_dead_ocean,0,99.712,100.555,0.843
X2MP,slot_decomposers_land,slot_plants,0,102.233,102.663,0.43
X2MP,slot_decomposers_land,slot_atmosphere,1,104.045,105.071,1.026
X2MP,slot_dead_land,slot_atmosphere,0,107.389,108.472,1.083
X2MP,slot_dead_ocean,slot_atmosphere,0,111.537,112.605,1.068
X2MP,slot_dead_land,slot_dead_ocean,0,115.369,115.921,0.552
X2MP,slot_animals,slot_dead_land,1,119.112,120.504,1.392
X2MP,slot_dead_land,slot_decomposers_land,1,126.514,127.029,0.515
X2MP,slot_dead_ocean,slot_decomposers_land,0,129.156,133.938,4.782
X2MP,slot_dead_ocean,slot_dead_land,0,135.633,142.245,6.612
