student,source,target,valid,start,end,duration
XCDP,slot_factory,slot_decomposers_land,0,16.276,17.233,0.957
XCDP,slot_factory,slot_decomposers_land,0,19.998,21.562,1.564
XCDP,slot_factory,slot_plants,0,23.223,24.077,0.854
XCDP,slot_factory,slot_plants,0,25.511,26.452,0.941
XCDP,slot_factory,slot_plants,0,28.212,30.548,2.336
XCDP,slot_factory,slot_fossil_fuel,0,32.035,34.191,2.156
XCDP,slot_factory,slot_dead_land,0,36.261,37.374,1.113
XCDP,slot_factory,slot_animals,0,40.216,41.459,1.243
XCDP,slot_dead_land,slot_animals,0,44.23,44.943,0.713
XCDP,slot_dead_ocean,slot_fish,0,48.001,48.382,0.381
XCDP,slot_dead_ocean,slot_decomposers_ocean,1,50.242,50.906,0.664
XCDP,slot_carbon_dioxide,slot_decomposers_ocean,0,53.213,54.215,1.002
XCDP,slot_carbon_dioxide,slot_fish,0,55.645,56.455,0.81
XCDP,slot_carbon_dioxide,slot_algae,1,57.685,58.317,0.632
XCDP,slot_algae,slot_carbon_dioxide,1,62.457,63.133,0.676
XCDP,slot_carbon_dioxide,slot_animals,0,65.289,66.231,0.942
XCDP,slot_carbon_dioxide,slot_fish,0,68.079,68.7,0.621
XCDP,slot_carbon_dioxide,slot_fish,0,70.263,75.619,5.356
XCDP,slot_decomposers_ocean,slot_dead_ocean,1,78.497,79.392,0.895
XCDP,slot_algae,slot_fish,1,82.212,83.12,0.908
XCDP,slot_fish,slot_algae,0,86.603,91.683,5.08
XCDP,slot_fish,slot_dead_ocean,1,107.942,109.17,1.228
XCDP,slot_dead_ocean,slot_fish,0,113.045,123.759,10.714
XCDP,slot_dead_ocean,slot_fish,0,127.015,128.441,1.426
XCDP,slot_decomposers_ocean,slot_fish,0,130.343,130.791,0.448
XCDP,slot_decomposers_ocean,slot_carbon_dioxide,1,132.386,133.35,0.964
XCDP,slot_carbon_dioxide,slot_fish,0,135.564,137.956,2.392
XCDP,slot_carbon_dioxide,slot_algae,1,139.964,140.554,0.59
XCDP,slot_carbon_dioxide,slot_animals,0,144.406,145.506,1.1
XCDP,slot_carbon_dioxide,slot_dead_land,0,148.178,148.979,0.801
XCDP,slot_carbon_dioxide,slot_fossil_fuel,0,150.91,151.807,0.897
XCDP,slot_carbon_dioxide,slot_plants,0,153.527,154.406,0.879
XCDP,slot_carbon_dioxide,slot_factory,0,156.067,156.878,0.811
XCDP,slot_carbon_dioxide,slot_dead_land,0,158.363,159.241,0.878
XCDP,slot_carbon_dioxide,slot_decomposers_land,0,160.323,161.474,1.151
XCDP,slot_carbon_dioxide,slot_fossil_fuel,0,162.838,163.815,0.977
XCDP,slot_carbon_dioxide,slot_dead_ocean,0,165.255,166.21,0.955
XCDP,slot_carbon_dioxide,slot_algae,1,168.063,169.064,1.001
XCDP,slot_carbon_dioxide,slot_algae,1,171.149,171.854,0.705
XCDP,slot_carbon_dioxide,slot_fish,0,173.178,173.799,0.621
XCDP,slot_carbon_dioxide,slot_dead_ocean,0,176.187,180.89,4.703
XCDP,slot_carbon_dioxide,slot_fish,0,182.516,183.452,0.936
XCDP,slot_fish,slot_carbon_dioxide,1,185.628,186.393,0.765
XCDP,slot_carbon_dioxide,slot_dead_ocean,0,189.281,193.587,4.306
XCDP,slot_carbon_dioxide,slot_dead_ocean,0,196.158,197.189,1.031
XCDP,slot_dead_ocean,slot_algae,0,198.309,199.048,0.739
XCDP,slot_dead_ocean,slot_animals,0,201.83,206.097,4.267
XCDP,slot_algae,slot_dead_ocean,1,207.604,208.513,0.909
XCDP,slot_atmosphere,slot_carbon_dioxide,1,215.912,217.351,1.439
XCDP,slot_carbon_dioxide,slot_atmosphere,1,221.272,222.356,1.084
XCDP,slot_animals,slot_atmosphere,1,224.613,225.337,0.724
XCDP,slot_atmosphere,slot_animals,0,229.187,230.542,1.355
XCDP,slot_atmosphere,slot_plants,1,232.435,233.359,0.924
XCDP,slot_atmosphere,slot_factory,0,235.371,236.569,1.198
XCDP,slot_atmosphere,slot_dead_land,0,239.298,240.588,1.29
XCDP,slot_plants,slot_atmosphere,1,242.837,243.957,1.12
XCDP,slot_factory,slot_atmosphere,1,247.137,247.763,0.626
XCDP,slot_atmosphere,slot_factory,0,249.266,250.082,0.816
XCDP,slot_decomposers_land,slot_atmosphere,1,253.822,254.984,1.162
XCDP,slot_decomposers_land,slot_dead_land,1,258.07,258.758,0.688
XCDP,slot_dead_land,slot_decomposers_land,1,260.901,261.526,0.625
XCDP,slot_dead_land,slot_plants,0,263.732,264.335,0.603
XCDP,slot_dead_land,slot_animals,0,265.923,266.387,0.464
XCDP,slot_dead_land,slot_fossil_fuel,0,269.316,270.068,0.752
XCDP,slot_dead_land,slot_plants,0,271.835,272.331,0.496
XCDP,slot_animals,slot_dead_land,1,275.975,276.623,0.648
XCDP,slot_dead_land,slot_animals,0,278.536,279.034,0.498
XCDP,slot_plants,slot_dead_land,1,282.08,288.981,6.901
XCDP,slot_animals,slot_plants,0,291.949,296.189,4.24
XCDP,slot_plants,slot_animals,1,298.189,300.255,2.066
XCDP,slot_factory,slot_fossil_fuel,0,302.982,304.126,1.144
XCDP,slot_fossil_fuel,slot_factory,1,305.802,306.727,0.925
