student,source,target,valid,start,end,duration
XT2P,slot_factory,slot_atmosphere,1,16.447,17.034,0.587
XT2P,slot_factory,slot_plants,0,19.031,19.369,0.338
XT2P,slot_factory,slot_carbon_dioxide,0,24.506,25.364,0.858
XT2P,slot_atmosphere,slot_plants,1,28.615,29.079,0.464
XT2P,slot_factory,slot_decomposers_land,0,32.412,33.482,1.07
XT2P,slot_factory,slot_fossil_fuel,0,34.658,35.53,0.872
XT2P,slot_fossil_fuel,slot_factory,1,36.455,37.31,0.855
XT2P,slot_plants,slot_animals,1,40.916,41.21,0.294
XT2P,slot_animals,slot_atmosphere,1,42.315,43.412,1.097
XT2P,slot_atmosphere,slot_animals,0,53.183,53.852,0.669
XT2P,slot_plants,slot_atmosphere,1,57.381,59.144,1.763
XT2P,slot_dead_land,slot_fossil_fuel,0,71.443,71.684,0.241
XT2P,slot_dead_land,slot_fossil_fuel,0,72.76,73.206,0.446
XT2P,slot_animals,slot_dead_land,1,76.304,76.712,0.408
XT2P,slot_plants,slot_decomposers_land,0,80.349,82.023,1.674
XT2P,slot_plants,slot_dead_land,1,84.178,85.64,1.462
XT2P,slot_decomposers_land,slot_factory,0,91.931,92.35,0.419
XT2P,slot_decomposers_land,slot_plants,0,110.144,110.546,0.402
XT2P,slot_decomposers_land,slot_dead_land,1,111.882,112.344,0.462
XT2P,slot_algae,slot_dead_land,0,123.317,125.117,1.8
XT2P,slot_algae,slot_dead_ocean,1,127.422,130.628,3.206
XT2P,slot_decomposers_land,slot_atmosphere,1,132.407,133.204,0.797
XT2P,slot_atmosphere,slot_decomposers_land,0,136.013,136.846,0.833
XT2P,slot_dead_land,slot_atmosphere,0,141.637,142.661,1.024
XT2P,slot_decomposers_land,slot_algae,0,147.117,149.044,1.927
XT2P,slot_decomposers_land,slot_dead_ocean,0,151.558,152.279,0.721
XT2P,slot_fish,slot_dead_ocean,1,154.454,154.975,0.521
XT2P,slot_decomposers_ocean,slot_dead_ocean,1,156.158,156.668,0.51
XT2P,slot_algae,slot_dead_ocean,1,158.136,158.567,0.431
XT2P,slot_decomposers_land,slot_dead_land,1,161.263,161.761,0.498
XT2P,slot_dead_land,slot_decomposers_land,1,162.993,163.432,0.439
XT2P,slot_carbon_dioxide,slot_atmosphere,1,168.441,168.996,0.555
XT2P,slot_carbon_dioxide,slot_algae,1,170.019,170.447,0.428
XT2P,slot_carbon_dioxide,slot_fish,0,171.716,171.957,0.241
XT2P,slot_fish,slot_carbon_dioxide,1,173.266,173.838,0.572
XT2P,slot_carbon_dioxide,slot_decomposers_ocean,0,175.068,175.703,0.635
XT2P,slot_decomposers_ocean,slot_carbon_dioxide,1,176.71,177.095,0.385
XT2P,slot_carbon_dioxide,slot_algae,1,181.794,182.189,0.395
XT2P,slot_algae,slot_carbon_dioxide,1,183.708,184.346,0.638
XT2P,slot_fish,slot_carbon_dioxide,1,186.119,186.535,0.416
XT2P,slot_carbon_dioxide,slot_decomposers_ocean,0,188.387,189.215,0.828
XT2P,slot_dead_ocean,slot_decomposers_ocean,1,190.512,190.88,0.368
XT2P,slot_algae,slot_fish,1,193.792,194.049,0.257
XT2P,slot_carbon_dioxide,slot_atmosphere,1,196.817,197.503,0.686
XT2P,slot_carbon_dioxide,slot_atmosphere,1,201.361,202.355,0.994
XT2P,slot_atmosphere,slot_carbon_dioxide,1,203.508,204.162,0.654
