student,source,target,valid,start,end,duration
YWTX,slot_factory,slot_atmosphere,1,6.156,7.192,1.036
YWTX,slot_factory,slot_plants,0,9.801,10.408,0.607
YWTX,slot_factory,slot_atmosphere,1,21.046,21.577,0.531
YWTX,slot_factory,slot_decomposers_land,0,23.309,25.406,2.097
YWTX,slot_factory,slot_carbon_dioxide,0,26.872,29.027,2.155
YWTX,slot_factory,slot_dead_land,0,31.903,32.887,0.984
YWTX,slot_factory,slot_fossil_fuel,0,34.467,35.136,0.669
YWTX,slot_plants,slot_animals,1,39.579,40.028,0.449
YWTX,slot_plants,slot_decomposers_land,0,42.393,42.804,0.411
YWTX,slot_plants,slot_dead_land,1,51.473,53.059,1.586
YWTX,slot_plants,slot_fossil_fuel,0,55.036,56.731,1.695
YWTX,slot_animals,slot_fossil_fuel,0,58.913,59.78,0.867
YWTX,slot_dead_land,slot_fossil_fuel,0,61.131,61.965,0.834
YWTX,slot_decomposers_land,slot_fossil_fuel,0,67.076,68.285,1.209
YWTX,slot_plants,slot_atmosphere,1,73.106,76.195,3.089
YWTX,slot_animals,slot_atmosphere,1,78.787,81.012,2.225
YWTX,slot_carbon_dioxide,slot_atmosphere,1,87.427,88.929,1.502
YWTX,slot_atmosphere,slot_carbon_dioxide,1,89.891,90.599,0.708
YWTX,slot_atmosphere,slot_plants,1,93.504,94.597,1.093
YWTX,slot_atmosphere,slot_animals,0,96.021,96.657,0.636
YWTX,slot_atmosphere,slot_fish,0,99.389,100.342,0.953
YWTX,slot_atmosphere,slot_decomposers_land,0,101.705,102.439,0.734
YWTX,slot_atmosphere,slot_factory,0,104.079,105.272,1.193
YWTX,slot_atmosphere,slot_fish,0,107.013,107.751,0.738
YWTX,slot_decomposers_ocean,slot_fish,0,114.188,115.739,1.551
YWTX,slot_fish,slot_dead_ocean,1,116.585,117.42,0.835
YWTX,slot_decomposers_ocean,slot_dead_ocean,1,118.667,119.288,0.621
YWTX,slot_algae,slot_dead_ocean,1,120.538,121.16,0.622
YWTX,slot_carbon_dioxide,slot_fish,0,122.438,123.169,0.731
YWTX,slot_carbon_dioxide,slot_algae,1,124.396,125.059,0.663
YWTX,slot_algae,slot_carbon_dioxide,1,127.179,127.704,0.525
YWTX,slot_decomposers_ocean,slot_carbon_dioxide,1,129.793,130.395,0.602
YWTX,slot_carbon_dioxide,slot_decomposers_ocean,0,131.39,131.948,0.558
YWTX,slot_carbon_dioxide,slot_fish,0,133.895,134.85,0.955
YWTX,slot_fish,slot_decomposers_ocean,0,136.087,137.067,0.98
YWTX,slot_fish,slot_algae,0,144.583,145.172,0.589
YWTX,slot_fish,slot_dead_land,0,146.467,147.169,0.702
YWTX,slot_carbon_dioxide,slot_decomposers_ocean,0,151.043,152.048,1.005
YWTX,slot_carbon_dioxide,slot_plants,0,158.453,160.273,1.82
YWTX,slot_carbon_dioxide,slot_animals,0,163.118,165.339,2.221
YWTX,slot_carbon_dioxide,slot_dead_land,0,167.034,172.845,5.811
YWTX,slot_carbon_dioxide,slot_dead_land,0,174.91,175.549,0.639
YWTX,slot_carbon_dioxide,slot_dead_ocean,0,177.888,181.346,3.458
YWTX,slot_carbon_dioxide,slot_fossil_fuel,0,183.986,185.29,1.304
YWTX,slot_factory,slot_carbon_dioxide,0,187.247,188.689,1.442
YWTX,slot_factory,slot_animals,0,190.601,191.237,0.636
YWTX,slot_dead_ocean,slot_fossil_fuel,0,209.398,210.326,0.928
YWTX,slot_dead_land,slot_fossil_fuel,0,212.195,212.849,0.654
YWTX,slot_dead_land,slot_dead_ocean,0,214.429,215.195,0.766
YWTX,slot_dead_ocean,slot_animals,0,216.061,219.162,3.101
YWTX,slot_fish,slot_animals,0,221.555,222.424,0.869
YWTX,slot_animals,slot_fish,0,223.296,224.314,1.018
YWTX,slot_dead_land,slot_dead_ocean,0,225.501,226.044,0.543
YWTX,slot_fossil_fuel,slot_dead_ocean,0,227.302,228.202,0.9
YWTX,slot_fossil_fuel,slot_decomposers_land,0,229.733,230.451,0.718
YWTX,slot_fossil_fuel,slot_dead_land,0,231.566,232.108,0.542
YWTX,slot_fossil_fuel,slot_animals,0,233.262,233.791,0.529
YWTX,slot_fossil_fuel,slot_factory,1,235.296,236.187,0.891
YWTX,slot_dead_land,slot_animals,0,238.741,240.947,2.206
YWTX,slot_dead_land,slot_decomposers_land,1,242.006,242.524,0.518
YWTX,slot_decomposers_land,slot_dead_land,1,244.347,245.014,0.667
YWTX,slot_decomposers_land,slot_animals,0,246.423,247.322,0.899
YWTX,slot_decomposers_land,slot_atmosphere,1,249.335,250.502,1.167
YWTX,slot_dead_land,slot_animals,0,253.463,253.845,0.382
YWTX,slot_animals,slot_dead_land,1,254.9,255.354,0.454
YWTX,slot_algae,slot_dead_ocean,1,258.867,265.132,6.265
YWTX,slot_fish,slot_algae,0,282.081,283.325,1.244
YWTX,slot_algae,slot_fish,1,286.438,288.752,2.314
YWTX,slot_fish,slot_decomposers_ocean,0,292.967,293.726,0.759
YWTX,slot_decomposers_ocean,slot_fish,0,294.736,295.618,0.882
YWTX,slot_dead_ocean,slot_carbon_dioxide,0,299.694,300.588,0.894
YWTX,slot_fish,slot_dead_ocean,1,306.741,308.23,1.489
YWTX,slot_dead_ocean,slot_fish,0,309.977,310.775,0.798
YWTX,slot_dead_ocean,slot_carbon_dioxide,0,312.287,312.988,0.701
YWTX,slot_dead_ocean,slot_decomposers_ocean,1,314.3,315.275,0.975
YWTX,slot_fish,slot_carbon_dioxide,1,317.182,317.758,0.576
