student,source,target,valid,start,end,duration
Z2HJ,slot_fossil_fuel,slot_factory,1,19.561,20.884,1.323
Z2HJ,slot_decomposers_land,slot_animals,0,23.604,26.16,2.556
Z2HJ,slot_animals,slot_decomposers_land,0,27.181,27.704,0.523
Z2HJ,slot_animals,slot_fish,0,30.675,31.384,0.709
Z2HJ,slot_plants,slot_decomposers_land,0,36.333,37.283,0.95
Z2HJ,slot_decomposers_land,slot_plants,0,39.159,39.904,0.745
Z2HJ,slot_algae,slot_plants,0,48.697,49.596,0.899
Z2HJ,slot_carbon_dioxide,slot_plants,0,55.683,56.85,1.167
Z2HJ,slot_carbon_dioxide,slot_animals,0,63.267,64.12,0.853
Z2HJ,slot_animals,slot_fish,0,65.229,65.664,0.435
Z2HJ,slot_dead_land,slot_algae,0,66.761,67.211,0.45
Z2HJ,slot_decomposers_land,slot_dead_ocean,0,68.158,70.504,2.346
Z2HJ,slot_decomposers_ocean,slot_animals,0,71.801,72.386,0.585
Z2HJ,slot_plants,slot_carbon_dioxide,0,73.315,73.758,0.443
Z2HJ,slot_algae,slot_dead_land,0,74.697,75.207,0.51
Z2HJ,slot_factory,slot_plants,0,77.957,79.438,1.481
Z2HJ,slot_factory,slot_carbon_dioxide,0,80.603,81.381,0.778
Z2HJ,slot_factory,slot_animals,0,82.649,83.237,0.588
Z2HJ,slot_factory,slot_decomposers_land,0,84.595,85.17,0.575
Z2HJ,slot_factory,slot_dead_land,0,86.26,86.765,0.505
Z2HJ,slot_factory,slot_carbon_dioxide,0,88.073,88.506,0.433
Z2HJ,slot_factory,slot_algae,0,89.52,90.09,0.57
Z2HJ,slot_factory,slot_fish,0,91.318,92.049,0.731
Z2HJ,slot_factory,slot_decomposers_ocean,0,93.497,94.212,0.715
Z2HJ,slot_factory,slot_dead_ocean,0,95.443,96.31,0.867
Z2HJ,slot_decomposers_ocean,slot_dead_ocean,1,97.339,97.744,0.405
Z2HJ,slot_dead_land,slot_decomposers_land,1,102.78,103.431,0.651
Z2HJ,slot_algae,slot_fish,1,114.459,115.011,0.552
Z2HJ,slot_atmosphere,slot_factory,0,121.845,122.566,0.721
Z2HJ,slot_factory,slot_atmosphere,1,123.326,123.662,0.336
Z2HJ,slot_atmosphere,slot_carbon_dioxide,1,127.12,127.688,0.568
Z2HJ,slot_atmosphere,slot_algae,0,129.216,129.853,0.637
Z2HJ,slot_atmosphere,slot_plants,1,131.063,132.132,1.069
Z2HJ,slot_plants,slot_atmosphere,1,134.822,135.46,0.638
Z2HJ,slot_carbon_dioxide,slot_atmosphere,1,136.669,137.337,0.668
Z2HJ,slot_fish,slot_dead_ocean,1,145.32,145.808,0.488
Z2HJ,slot_dead_ocean,slot_decomposers_ocean,1,148.315,151.166,2.851
Z2HJ,slot_dead_land,slot_decomposers_land,1,153.739,154.155,0.416
Z2HJ,slot_decomposers_land,slot_dead_land,1,156.983,157.253,0.27
Z2HJ,slot_animals,slot_dead_land,1,159.312,160.04,0.728
Z2HJ,slot_plants,slot_dead_land,1,161.658,162.121,0.463
Z2HJ,slot_carbon_dioxide,slot_algae,1,165.069,165.373,0.304
Z2HJ,slot_carbon_dioxide,slot_fish,0,167.35,167.651,0.301
Z2HJ,slot_decomposers_land,slot_atmosphere,1,169.478,170.761,1.283
Z2HJ,slot_decomposers_ocean,slot_atmosphere,0,173.736,174.142,0.406
Z2HJ,slot_atmosphere,slot_decomposers_ocean,0,175.783,176.375,0.592
Z2HJ,slot_fish,slot_carbon_dioxide,1,178.229,178.803,0.574
Z2HJ,slot_decomposers_ocean,slot_carbon_dioxide,1,180.641,181.013,0.372
Z2HJ,slot_animals,slot_algae,0,183.935,185.464,1.529
Z2HJ,slot_animals,slot_atmosphere,1,187.401,188.776,1.375
Z2HJ,slot_animals,slot_plants,0,192.11,192.575,0.465
Z2HJ,slot_plants,slot_animals,1,197.485,197.939,0.454
Z2HJ,slot_algae,slot_carbon_dioxide,1,202.193,202.708,0.515
Z2HJ,slot_dead_ocean,slot_algae,0,204.482,204.955,0.473
Z2HJ,slot_algae,slot_dead_ocean,1,206.064,206.539,0.475
