student,source,target,valid,start,end,duration
Z3TJ,slot_algae,slot_decomposers_ocean,0,32.461,33.417,0.956
Z3TJ,slot_algae,slot_atmosphere,0,40.66,41.597,0.937
Z3TJ,slot_dead_land,slot_plants,0,47.449,48.221,0.772
Z3TJ,slot_plants,slot_decomposers_land,0,51.345,51.857,0.512
Z3TJ,slot_decomposers_land,slot_plants,0,53.864,54.406,0.542
Z3TJ,slot_animals,slot_plants,0,55.693,56.429,0.736
Z3TJ,slot_plants,slot_animals,1,57.224,58.02,0.796
Z3TJ,slot_factory,slot_atmosphere,1,64.354,65.083,0.729
Z3TJ,slot_plants,slot_factory,0,68.82,69.282,0.462
Z3TJ,slot_dead_land,slot_plants,0,71.264,71.568,0.304
Z3TJ,slot_animals,slot_dead_land,1,73.345,73.981,0.636
Z3TJ,slot_dead_land,slot_decomposers_land,1,75.344,75.806,0.462
Z3TJ,slot_plants,slot_atmosphere,1,79.829,80.516,0.687
Z3TJ,slot_decomposers_land,slot_factory,0,81.796,82.517,0.721
Z3TJ,slot_decomposers_land,slot_algae,0,83.987,85.18,1.193
Z3TJ,slot_decomposers_land,slot_plants,0,86.818,87.159,0.341
Z3TJ,slot_decomposers_land,slot_animals,0,88.518,89.159,0.641
Z3TJ,slot_decomposers_land,slot_atmosphere,1,91.085,92.368,1.283
Z3TJ,slot_decomposers_land,slot_fossil_fuel,0,97.643,98.215,0.572
Z3TJ,slot_fossil_fuel,slot_decomposers_land,0,99.625,100.102,0.477
Z3TJ,slot_decomposers_land,slot_plants,0,102.107,102.795,0.688
Z3TJ,slot_plants,slot_decomposers_land,0,103.909,105.06,1.151
Z3TJ,slot_carbon_dioxide,slot_decomposers_land,0,107.721,109.005,1.284
Z3TJ,slot_decomposers_land,slot_fish,0,110.234,111.533,1.299
Z3TJ,slot_dead_ocean,slot_fish,0,113.301,113.625,0.324
Z3TJ,slot_fish,slot_dead_ocean,1,114.787,115.228,0.441
Z3TJ,slot_decomposers_ocean,slot_dead_ocean,1,117.448,118.068,0.62
Z3TJ,slot_algae,slot_fish,1,119.66,119.967,0.307
Z3TJ,slot_algae,slot_carbon_dioxide,1,121.493,122.004,0.511
Z3TJ,slot_carbon_dioxide,slot_fish,0,124.322,124.666,0.344
Z3TJ,slot_carbon_dioxide,slot_atmosphere,1,127.204,127.559,0.355
Z3TJ,slot_carbon_dioxide,slot_decomposers_ocean,0,133.882,134.407,0.525
Z3TJ,slot_decomposers_ocean,slot_carbon_dioxide,1,135.448,135.907,0.459
Z3TJ,slot_carbon_dioxide,slot_fish,0,137.493,137.878,0.385
Z3TJ,slot_fish,slot_carbon_dioxide,1,138.941,139.361,0.42
Z3TJ,slot_dead_ocean,slot_algae,0,141.032,141.588,0.556
Z3TJ,slot_algae,slot_dead_ocean,1,142.597,143.4,0.803
Z3TJ,slot_carbon_dioxide,slot_decomposers_ocean,0,151.653,152.323,0.67
Z3TJ,slot_decomposers_ocean,slot_carbon_dioxide,1,154.135,154.728,0.593
Z3TJ,slot_decomposers_ocean,slot_dead_ocean,1,156.373,156.926,0.553
Z3TJ,slot_decomposers_ocean,slot_plants,0,160.013,160.615,0.602
Z3TJ,slot_carbon_dioxide,slot_plants,0,164.708,165.711,1.003
Z3TJ,slot_plants,slot_dead_land,1,167.823,169.411,1.588
Z3TJ,slot_plants,slot_carbon_dioxide,0,173.789,176.73,2.941
Z3TJ,slot_decomposers_land,slot_fossil_fuel,0,183.177,183.632,0.455
Z3TJ,slot_fossil_fuel,slot_dead_land,0,184.677,185.451,0.774
Z3TJ,slot_dead_land,slot_fossil_fuel,0,186.308,186.821,0.513
Z3TJ,slot_factory,slot_fossil_fuel,0,188.906,192.348,3.442
Z3TJ,slot_fossil_fuel,slot_factory,1,194.388,195.127,0.739
Z3TJ,slot_dead_ocean,slot_decomposers_land,0,197.567,198.906,1.339
Z3TJ,slot_dead_ocean,slot_dead_land,0,200.301,200.954,0.653
Z3TJ,slot_carbon_dioxide,slot_dead_ocean,0,204.687,206.272,1.585
Z3TJ,slot_decomposers_ocean,slot_carbon_dioxide,1,208.174,208.804,0.63
Z3TJ,slot_carbon_dioxide,slot_decomposers_ocean,0,211.755,213.816,2.061
Z3TJ,slot_decomposers_ocean,slot_atmosphere,0,216.867,217.497,0.63
Z3TJ,slot_algae,slot_atmosphere,0,222.899,227.524,4.625
Z3TJ,slot_atmosphere,slot_algae,0,229.64,230.386,0.746
Z3TJ,slot_decomposers_land,slot_algae,0,232.024,232.892,0.868
Z3TJ,slot_animals,slot_algae,0,235.771,236.296,0.525
Z3TJ,slot_plants,slot_algae,0,237.955,239.045,1.09
Z3TJ,slot_algae,slot_plants,0,240.116,240.67,0.554
Z3TJ,slot_decomposers_land,slot_plants,0,250.308,251.018,0.71
Z3TJ,slot_decomposers_land,slot_dead_land,1,252.707,252.952,0.245
Z3TJ,slot_animals,slot_plants,0,259.153,259.821,0.668
Z3TJ,slot_plants,slot_animals,1,262.24,262.813,0.573
Z3TJ,slot_animals,slot_atmosphere,1,265.47,265.973,0.503
Z3TJ,slot_plants,slot_algae,0,267.694,268.353,0.659
Z3TJ,slot_plants,slot_carbon_dioxide,0,269.547,270.338,0.791
Z3TJ,slot_decomposers_ocean,slot_plants,0,271.626,272.585,0.959
Z3TJ,slot_plants,slot_decomposers_ocean,0,273.417,274.214,0.797
Z3TJ,slot_plants,slot_dead_ocean,0,275.846,277.668,1.822
Z3TJ,slot_dead_ocean,slot_plants,0,280.003,280.649,0.646
Z3TJ,slot_algae,slot_plants,0,281.719,282.335,0.616
Z3TJ,slot_carbon_dioxide,slot_plants,0,283.504,284.174,0.67
Z3TJ,slot_decomposers_ocean,slot_plants,0,285.837,286.998,1.161
Z3TJ,slot_atmosphere,slot_plants,1,292.395,293.119,0.724
Z3TJ,slot_atmosphere,slot_carbon_dioxide,1,295.174,295.852,0.678
Z3TJ,slot_carbon_dioxide,slot_algae,1,297.823,298.51,0.687
Z3TJ,slot_dead_ocean,slot_decomposers_ocean,1,302.084,302.816,0.732
