student,source,target,valid,start,end,duration
Z64J,slot_decomposers_ocean,slot_atmosphere,0,5.128,9.862,4.734
Z64J,slot_animals,slot_plants,0,11.389,11.818,0.429
Z64J,slot_plants,slot_decomposers_land,0,12.721,13.103,0.382
Z64J,slot_plants,slot_dead_land,1,13.972,14.426,0.454
Z64J,slot_plants,slot_factory,0,15.489,15.961,0.472
Z64J,slot_decomposers_land,slot_fossil_fuel,0,17.085,17.493,0.408
Z64J,slot_decomposers_land,slot_animals,0,18.817,19.291,0.474
Z64J,slot_decomposers_land,slot_factory,0,20.217,20.585,0.368
Z64J,slot_decomposers_land,slot_atmosphere,1,21.864,22.852,0.988
Z64J,slot_animals,slot_carbon_dioxide,0,24.495,24.889,0.394
Z64J,slot_algae,slot_carbon_dioxide,1,27.88,28.442,0.562
Z64J,slot_carbon_dioxide,slot_decomposers_ocean,0,29.657,30.212,0.555
Z64J,slot_fish,slot_carbon_dioxide,1,31.574,31.926,0.352
Z64J,slot_dead_ocean,slot_decomposers_ocean,1,37.137,37.962,0.825
Z64J,slot_fish,slot_algae,0,39.2,39.585,0.385
Z64J,slot_algae,slot_fish,1,40.57,40.889,0.319
Z64J,slot_algae,slot_dead_ocean,1,41.766,42.227,0.461
Z64J,slot_carbon_dioxide,slot_decomposers_ocean,0,43.202,43.7,0.498
Z64J,slot_decomposers_ocean,slot_carbon_dioxide,1,44.579,45.012,0.433
Z64J,slot_decomposers_ocean,slot_fish,0,46.129,46.481,0.352
Z64J,slot_fish,slot_decomposers_ocean,0,47.363,47.647,0.284
Z64J,slot_fish,slot_animals,0,49.135,49.677,0.542
Z64J,slot_fish,slot_dead_ocean,1,51.343,51.836,0.493
Z64J,slot_decomposers_ocean,slot_dead_ocean,1,53.726,55.996,2.27
Z64J,slot_fossil_fuel,slot_dead_land,0,58.019,58.605,0.586
Z64J,slot_decomposers_land,slot_fossil_fuel,0,59.651,62.665,3.014
Z64J,slot_fossil_fuel,slot_decomposers_land,0,63.552,64.101,0.549
Z64J,slot_factory,slot_atmosphere,1,65.454,66.025,0.571
Z64J,slot_animals,slot_atmosphere,1,67.019,67.621,0.602
Z64J,slot_animals,slot_plants,0,68.648,68.968,0.32
Z64J,slot_animals,slot_dead_land,1,69.862,70.303,0.441
Z64J,slot_animals,slot_plants,0,71.401,71.704,0.303
Z64J,slot_plants,slot_animals,1,78.693,81.905,3.212
Z64J,slot_plants,slot_atmosphere,1,84.183,85.697,1.514
Z64J,slot_fossil_fuel,slot_factory,1,88.228,89.145,0.917
Z64J,slot_decomposers_land,slot_dead_land,1,90.179,90.688,0.509
Z64J,slot_plants,slot_decomposers_land,0,92.858,93.432,0.574
Z64J,slot_decomposers_land,slot_plants,0,94.163,94.594,0.431
Z64J,slot_algae,slot_dead_land,0,96.815,97.356,0.541
Z64J,slot_algae,slot_carbon_dioxide,1,98.705,99.295,0.59
Z64J,slot_carbon_dioxide,slot_atmosphere,1,100.508,101.224,0.716
Z64J,slot_carbon_dioxide,slot_atmosphere,1,102.419,103.857,1.438
Z64J,slot_carbon_dioxide,slot_algae,1,105.151,105.981,0.83
Z64J,slot_carbon_dioxide,slot_plants,0,107.452,108.188,0.736
Z64J,slot_carbon_dioxide,slot_dead_land,0,109.747,110.534,0.787
Z64J,slot_carbon_dioxide,slot_decomposers_land,0,111.661,112.539,0.878
Z64J,slot_atmosphere,slot_carbon_dioxide,1,113.964,114.686,0.722
Z64J,slot_plants,slot_dead_land,1,116.03,116.528,0.498
Z64J,slot_dead_land,slot_plants,0,117.43,117.892,0.462
Z64J,slot_decomposers_land,slot_dead_land,1,119.291,119.888,0.597
Z64J,slot_dead_land,slot_decomposers_land,1,120.564,121.223,0.659
Z64J,slot_plants,slot_atmosphere,1,123.469,124.036,0.567
Z64J,slot_atmosphere,slot_plants,1,124.86,125.407,0.547
