student,source,target,valid,start,end,duration
ZBB2,slot_factory,slot_atmosphere,1,8.554,9.796,1.242
ZBB2,slot_factory,slot_dead_land,0,12.949,16.934,3.985
ZBB2,slot_factory,slot_fossil_fuel,0,18.378,19.588,1.21
ZBB2,slot_carbon_dioxide,slot_atmosphere,1,23.224,23.681,0.457
ZBB2,slot_carbon_dioxide,slot_animals,0,25.344,26.034,0.69
ZBB2,slot_carbon_dioxide,slot_plants,0,27.438,28.296,0.858
ZBB2,slot_carbon_dioxide,slot_fish,0,30.139,30.809,0.67
ZBB2,slot_carbon_dioxide,slot_factory,0,31.935,33.822,1.887
ZBB2,slot_carbon_dioxide,slot_fossil_fuel,0,35.432,36.932,1.5
ZBB2,slot_dead_land,slot_carbon_dioxide,0,38.435,39.184,0.749
ZBB2,slot_carbon_dioxide,slot_dead_land,0,40.128,40.821,0.693
ZBB2,slot_decomposers_land,slot_carbon_dioxide,0,41.931,42.745,0.814
ZBB2,slot_decomposers_land,slot_algae,0,51.286,51.814,0.528
ZBB2,slot_decomposers_land,slot_dead_land,1,53.451,54.677,1.226
ZBB2,slot_decomposers_land,slot_animals,0,55.749,56.821,1.072
ZBB2,slot_decomposers_land,slot_fossil_fuel,0,58.147,59.811,1.664
ZBB2,slot_fossil_fuel,slot_decomposers_land,0,60.979,62.096,1.117
ZBB2,slot_carbon_dioxide,slot_algae,1,66.076,66.577,0.501
ZBB2,slot_carbon_dioxide,slot_fish,0,68.023,69.096,1.073
ZBB2,slot_dead_land,slot_dead_ocean,0,73.235,73.925,0.69
ZBB2,slot_animals,slot_fossil_fuel,0,75.101,76.163,1.062
ZBB2,slot_animals,slot_atmosphere,1,77.7,78.716,1.016
ZBB2,slot_plants,slot_atmosphere,1,79.915,80.732,0.817
ZBB2,slot_decomposers_land,slot_atmosphere,1,82.379,83.595,1.216
ZBB2,slot_dead_land,slot_atmosphere,0,85.329,86.265,0.936
ZBB2,slot_fish,slot_atmosphere,0,93.053,94.199,1.146
ZBB2,slot_decomposers_ocean,slot_atmosphere,0,95.702,96.065,0.363
ZBB2,slot_decomposers_ocean,slot_dead_ocean,1,97.907,98.406,0.499
ZBB2,slot_fossil_fuel,slot_factory,1,107.842,108.695,0.853
ZBB2,slot_animals,slot_plants,0,118.707,119.211,0.504
ZBB2,slot_plants,slot_animals,1,124.269,124.939,0.67
ZBB2,slot_animals,slot_dead_land,1,125.702,126.323,0.621
ZBB2,slot_dead_land,slot_plants,0,128.56,129.344,0.784
ZBB2,slot_plants,slot_dead_land,1,130.225,136.132,5.907
ZBB2,slot_plants,slot_decomposers_land,0,139.884,140.553,0.669
ZBB2,slot_fish,slot_dead_ocean,1,146.795,147.096,0.301
ZBB2,slot_algae,slot_dead_ocean,1,148.118,148.899,0.781
ZBB2,slot_decomposers_ocean,slot_dead_ocean,1,150.582,151.317,0.735
ZBB2,slot_decomposers_ocean,slot_dead_ocean,1,152.881,154.065,1.184
ZBB2,slot_decomposers_ocean,slot_carbon_dioxide,1,157.038,157.966,0.928
ZBB2,slot_algae,slot_decomposers_land,0,167.845,168.663,0.818
ZBB2,slot_decomposers_land,slot_algae,0,169.618,170.306,0.688
ZBB2,slot_fish,slot_algae,0,174.927,175.452,0.525
ZBB2,slot_algae,slot_fish,1,176.296,176.894,0.598
ZBB2,slot_decomposers_land,slot_algae,0,181.235,182.181,0.946
ZBB2,slot_carbon_dioxide,slot_fish,0,184.239,184.562,0.323
ZBB2,slot_fish,slot_carbon_dioxide,1,185.484,186.06,0.576
ZBB2,slot_algae,slot_carbon_dioxide,1,187.564,188.053,0.489
ZBB2,slot_decomposers_ocean,slot_carbon_dioxide,1,189.313,189.939,0.626
ZBB2,slot_dead_ocean,slot_carbon_dioxide,0,195.107,197.72,2.613
ZBB2,slot_plants,slot_decomposers_ocean,0,207.749,210.134,2.385
ZBB2,slot_decomposers_ocean,slot_dead_land,0,212.944,213.701,0.757
ZBB2,slot_dead_land,slot_dead_ocean,0,215.909,217.397,1.488
ZBB2,slot_dead_ocean,slot_dead_land,0,219.589,221.391,1.802
ZBB2,slot_dead_land,slot_decomposers_land,1,225.568,226.03,0.462
ZBB2,slot_decomposers_ocean,slot_dead_ocean,1,231.946,232.732,0.786
ZBB2,slot_dead_ocean,slot_decomposers_ocean,1,234.744,235.235,0.491
ZBB2,slot_carbon_dioxide,slot_plants,0,244.27,244.757,0.487
ZBB2,slot_plants,slot_carbon_dioxide,0,245.752,246.44,0.688
ZBB2,slot_carbon_dioxide,slot_atmosphere,1,247.918,248.302,0.384
ZBB2,slot_plants,slot_fossil_fuel,0,250.331,253.809,3.478
ZBB2,slot_plants,slot_carbon_dioxide,0,256.15,256.717,0.567
ZBB2,slot_carbon_dioxide,slot_plants,0,258.248,259.111,0.863
ZBB2,slot_plants,slot_algae,0,262.331,268.462,6.131
ZBB2,slot_carbon_dioxide,slot_fish,0,271.887,272.783,0.896
ZBB2,slot_carbon_dioxide,slot_plants,0,273.884,274.367,0.483
ZBB2,slot_carbon_dioxide,slot_atmosphere,1,282.024,283.48,1.456
ZBB2,slot_carbon_dioxide,slot_dead_ocean,0,285.754,287.963,2.209
ZBB2,slot_carbon_dioxide,slot_fish,0,291.366,292.178,0.812
