student,source,target,valid,start,end,duration
ZVZ3,slot_plants,slot_animals,1,37.642,38.616,0.974
ZVZ3,slot_factory,slot_fossil_fuel,0,42.284,42.978,0.694
ZVZ3,slot_fossil_fuel,slot_dead_ocean,0,43.701,46.967,3.266
ZVZ3,slot_plants,slot_dead_land,1,51.974,52.342,0.368
ZVZ3,slot_animals,slot_dead_land,1,53.271,53.705,0.434
ZVZ3,slot_factory,slot_fossil_fuel,0,57.282,58.024,0.742
ZVZ3,slot_fossil_fuel,slot_factory,1,61.127,61.865,0.738
ZVZ3,slot_decomposers_land,slot_factory,0,67.136,67.576,0.44
ZVZ3,slot_factory,slot_decomposers_land,0,68.318,68.779,0.461
ZVZ3,slot_decomposers_land,slot_dead_land,1,69.666,70.056,0.39
ZVZ3,slot_decomposers_land,slot_dead_ocean,0,72.246,73.072,0.826
ZVZ3,slot_decomposers_land,slot_factory,0,74.66,75.155,0.495
ZVZ3,slot_carbon_dioxide,slot_fish,0,76.324,77.458,1.134
ZVZ3,slot_carbon_dioxide,slot_animals,0,78.724,79.653,0.929
ZVZ3,slot_algae,slot_animals,0,80.602,81.111,0.509
ZVZ3,slot_fish,slot_animals,0,82.1,82.595,0.495
ZVZ3,slot_fish,slot_decomposers_ocean,0,83.999,85.005,1.006
ZVZ3,slot_decomposers_ocean,slot_fish,0,85.845,86.236,0.391
ZVZ3,slot_fish,slot_algae,0,87.13,87.552,0.422
ZVZ3,slot_carbon_dioxide,slot_fish,0,88.741,89.334,0.593
ZVZ3,slot_algae,slot_carbon_dioxide,1,92.587,92.978,0.391
ZVZ3,slot_carbon_dioxide,slot_algae,1,93.923,94.292,0.369
ZVZ3,slot_carbon_dioxide,slot_fish,0,99.694,100.078,0.384
ZVZ3,slot_fish,slot_carbon_dioxide,1,100.893,101.419,0.526
ZVZ3,slot_decomposers_ocean,slot_carbon_dioxide,1,104.708,105.188,0.48
ZVZ3,slot_atmosphere,slot_factory,0,107.268,107.72,0.452
ZVZ3,slot_atmosphere,slot_animals,0,108.716,109.24,0.524
ZVZ3,slot_atmosphere,slot_plants,1,110.1,110.749,0.649
ZVZ3,slot_atmosphere,slot_dead_land,0,111.981,112.467,0.486
ZVZ3,slot_atmosphere,slot_fossil_fuel,0,113.493,114.004,0.511
ZVZ3,slot_atmosphere,slot_decomposers_land,0,115.374,115.852,0.478
ZVZ3,slot_atmosphere,slot_carbon_dioxide,1,117.006,117.69,0.684
ZVZ3,slot_atmosphere,slot_algae,0,118.791,119.392,0.601
ZVZ3,slot_atmosphere,slot_fish,0,120.588,121.389,0.801
ZVZ3,slot_atmosphere,slot_decomposers_ocean,0,122.616,123.254,0.638
ZVZ3,slot_atmosphere,slot_dead_ocean,0,124.696,125.27,0.574
ZVZ3,slot_carbon_dioxide,slot_atmosphere,1,127.677,128.073,0.396
ZVZ3,slot_algae,slot_atmosphere,0,129.307,129.894,0.587
ZVZ3,slot_fish,slot_atmosphere,0,131.287,131.648,0.361
ZVZ3,slot_decomposers_ocean,slot_atmosphere,0,132.605,133.237,0.632
ZVZ3,slot_dead_ocean,slot_atmosphere,0,134.566,135.312,0.746
ZVZ3,slot_plants,slot_atmosphere,1,137.196,142.891,5.695
ZVZ3,slot_animals,slot_atmosphere,1,150.463,152.392,1.929
ZVZ3,slot_dead_land,slot_atmosphere,0,155.926,156.564,0.638
ZVZ3,slot_decomposers_land,slot_atmosphere,1,157.921,160.17,2.249
ZVZ3,slot_factory,slot_atmosphere,1,163.363,163.992,0.629
ZVZ3,slot_decomposers_land,slot_algae,0,166.613,169.091,2.478
ZVZ3,slot_dead_land,slot_fish,0,170.321,171.185,0.864
ZVZ3,slot_decomposers_ocean,slot_fish,0,173.067,173.493,0.426
ZVZ3,slot_decomposers_ocean,slot_dead_ocean,1,174.549,174.978,0.429
ZVZ3,slot_fish,slot_algae,0,176.289,176.603,0.314
ZVZ3,slot_algae,slot_fish,1,177.419,177.993,0.574
ZVZ3,slot_fish,slot_decomposers_ocean,0,178.794,179.399,0.605
ZVZ3,slot_decomposers_ocean,slot_algae,0,180.179,180.749,0.57
ZVZ3,slot_algae,slot_decomposers_ocean,0,181.507,182.094,0.587
ZVZ3,slot_algae,slot_dead_land,0,189.165,189.603,0.438
ZVZ3,slot_algae,slot_decomposers_land,0,190.682,191.213,0.531
ZVZ3,slot_decomposers_land,slot_dead_land,1,196.139,196.906,0.767
ZVZ3,slot_dead_land,slot_algae,0,198.103,198.689,0.586
ZVZ3,slot_dead_land,slot_fish,0,199.875,200.677,0.802
ZVZ3,slot_dead_land,slot_dead_ocean,0,201.981,202.71,0.729
ZVZ3,slot_dead_land,slot_decomposers_ocean,0,203.896,205.881,1.985
ZVZ3,slot_dead_ocean,slot_dead_land,0,211.389,212.375,0.986
ZVZ3,slot_algae,slot_dead_ocean,1,222.205,223.127,0.922
ZVZ3,slot_dead_land,slot_decomposers_land,1,232.608,233.163,0.555
ZVZ3,slot_fish,slot_decomposers_ocean,0,234.714,235.049,0.335
ZVZ3,slot_decomposers_ocean,slot_fish,0,235.792,236.192,0.4
ZVZ3,slot_dead_ocean,slot_fish,0,237.322,237.668,0.346
ZVZ3,slot_dead_ocean,slot_decomposers_ocean,1,238.534,239.167,0.633
ZVZ3,slot_fish,slot_dead_ocean,1,241.104,241.546,0.442
